,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,2173,4057,1836,1900,3057,2321,2267,1880,1593,1862,1807,1709,2234,2092,2148,2016,1580
1,2109,3897,1758,1836,2913,2249,2197,1812,1530,1809,1747,1645,2139,1989,2051,1974,1537
2,2108,3912,1760,1839,2915,2259,2202,1812,1534,1815,1756,1640,2127,1953,2056,2012,1532
3,2147,3952,1750,1865,2910,2316,2274,1849,1569,1822,1787,1662,2134,1943,2053,2034,1542
4,2197,4026,1782,1914,2967,2394,2305,1863,1597,1826,1826,1685,2174,1974,2079,2043,1561
5,2287,4182,1836,2001,3108,2497,2355,1927,1656,1889,1912,1733,2245,2053,2166,2102,1613
6,2402,4380,1922,2097,3284,2617,2459,2033,1745,1994,2023,1833,2373,2166,2289,2230,1697
7,2521,4597,1989,2233,3475,2752,2552,2146,1858,2069,2144,1935,2521,2326,2414,2331,1793
8,2595,4663,2029,2301,3572,2796,2590,2232,1937,2164,2234,1994,2560,2430,2422,2318,1814
9,2699,4848,2093,2390,3749,2853,2645,2338,2056,2269,2323,2099,2649,2516,2543,2398,1890
10,2761,4996,2173,2465,3840,2937,2725,2423,2133,2387,2404,2167,2752,2593,2611,2469,1938
11,2839,5107,2247,2533,4029,3025,2807,2507,2203,2478,2466,2248,2825,2697,2710,2557,2022
12,2893,5266,2315,2553,4148,3044,2826,2514,2237,2517,2490,2282,2903,2734,2805,2621,2068
13,2764,5184,2259,2423,4105,2853,2774,2466,2161,2438,2404,2207,2802,2597,2726,2484,1973
14,2637,4964,2177,2283,3912,2723,2683,2400,2089,2372,2287,2113,2644,2478,2597,2347,1884
15,2503,4812,2088,2156,3768,2577,2567,2289,2027,2221,2179,1969,2500,2359,2518,2245,1797
16,2546,4888,2125,2190,3849,2624,2615,2337,2063,2250,2195,1986,2555,2417,2597,2282,1837
17,2552,4951,2195,2270,3945,2673,2652,2376,2115,2227,2233,2026,2605,2485,2636,2326,1876
18,2761,5345,2395,2443,4279,2884,2833,2538,2262,2375,2413,2167,2802,2735,2926,2580,2075
19,2756,5308,2383,2423,4241,2878,2872,2506,2233,2355,2399,2166,2814,2715,2920,2584,2045
20,2681,5153,2288,2373,4056,2845,2856,2475,2197,2364,2343,2139,2809,2665,2807,2538,1989
21,2657,5046,2245,2341,3934,2793,2851,2399,2093,2294,2267,2111,2766,2616,2695,2456,1944
22,2567,4883,2158,2276,3765,2705,2683,2304,2003,2225,2159,2044,2658,2511,2553,2368,1883
23,2399,4535,2013,2116,3511,2570,2494,2156,1855,2095,2010,1912,2461,2311,2358,2235,1771
24,2200,4111,1828,1964,3172,2376,2321,2001,1693,1938,1885,1771,2242,2101,2106,2077,1615
25,2142,3989,1769,1950,3049,2356,2281,1966,1647,1921,1849,1731,2177,1989,2007,2049,1571
26,2078,3917,1730,1940,2971,2332,2266,1961,1626,1921,1849,1724,2155,1914,1945,2121,1569
27,2082,3957,1719,1975,2947,2399,2338,1989,1654,1958,1904,1776,2175,1913,1943,2093,1554
28,2132,4034,1760,2020,2988,2447,2326,2012,1692,1978,1957,1825,2190,1936,1972,2037,1544
29,2266,4229,1832,2083,3081,2517,2344,2082,1755,2030,2082,1879,2234,2009,2059,2039,1571
30,2393,4432,1932,2133,3233,2586,2421,2180,1849,2118,2234,1983,2324,2130,2193,2118,1649
31,2534,4697,2058,2209,3474,2661,2543,2328,1978,2213,2383,2103,2470,2328,2405,2293,1788
