,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,1671,3154,1442,1448,2444,1783,1715,1490,1281,1446,1415,1314,1757,1682,1730,1590,1267
1,1590,2984,1359,1376,2292,1697,1632,1415,1209,1382,1340,1240,1649,1572,1619,1520,1209
2,1568,2963,1350,1368,2265,1692,1619,1408,1209,1381,1338,1219,1623,1538,1611,1523,1188
3,1582,2974,1329,1378,2237,1724,1677,1424,1230,1376,1347,1228,1616,1524,1599,1529,1188
4,1617,3035,1352,1403,2269,1782,1711,1430,1251,1380,1379,1244,1641,1542,1615,1531,1199
5,1696,3192,1406,1477,2400,1874,1765,1498,1304,1438,1455,1287,1709,1613,1694,1589,1250
6,1800,3374,1489,1556,2561,1987,1872,1591,1386,1532,1558,1382,1827,1711,1808,1710,1327
7,1904,3590,1562,1681,2736,2115,1974,1701,1493,1607,1669,1483,1960,1849,1929,1805,1417
8,1971,3660,1599,1739,2827,2151,2022,1779,1569,1696,1758,1534,1994,1936,1936,1802,1440
9,2070,3842,1661,1820,3004,2205,2080,1881,1682,1803,1845,1642,2080,2018,2060,1882,1516
10,2128,3995,1745,1893,3087,2287,2163,1962,1753,1921,1929,1711,2185,2094,2131,1954,1565
11,2211,4121,1819,1969,3283,2382,2249,2049,1826,2012,1993,1800,2269,2207,2232,2049,1654
12,2287,4297,1894,2015,3409,2430,2283,2084,1877,2064,2039,1845,2362,2265,2327,2131,1709
13,2195,4212,1841,1929,3385,2289,2226,2049,1811,2003,1981,1783,2296,2170,2258,2041,1638
14,2112,4033,1770,1832,3230,2208,2145,2001,1759,1964,1904,1719,2179,2085,2165,1944,1580
15,2030,3968,1716,1755,3131,2119,2066,1928,1727,1868,1844,1624,2089,2002,2113,1881,1518
16,2097,4085,1776,1813,3238,2189,2137,1991,1774,1911,1882,1657,2165,2079,2213,1936,1568
17,2121,4177,1853,1899,3355,2246,2187,2030,1833,1899,1930,1699,2218,2156,2260,1985,1615
18,2338,4579,2057,2072,3694,2463,2362,2194,1979,2047,2106,1840,2413,2413,2552,2244,1817
19,2325,4532,2044,2042,3656,2446,2387,2157,1951,2021,2081,1833,2412,2393,2544,2240,1781
20,2237,4356,1936,1976,3471,2389,2350,2099,1897,1989,2002,1782,2379,2319,2435,2163,1709
21,2188,4209,1880,1924,3334,2313,2300,2016,1786,1912,1909,1736,2314,2244,2327,2076,1658
22,2090,4021,1780,1843,3142,2206,2137,1913,1687,1823,1787,1653,2203,2131,2184,1977,1589
23,1911,3659,1628,1673,2879,2057,1959,1762,1538,1683,1628,1517,1998,1925,1980,1826,1472
24,1699,3204,1435,1500,2529,1840,1775,1591,1368,1512,1480,1364,1768,1703,1719,1644,1308
25,1634,3078,1371,1463,2405,1791,1720,1544,1313,1483,1427,1311,1689,1590,1615,1585,1250
26,1571,2999,1329,1444,2330,1756,1696,1530,1294,1475,1416,1294,1659,1526,1555,1609,1229
27,1568,3027,1310,1463,2305,1798,1758,1547,1312,1500,1448,1326,1662,1523,1549,1588,1216
28,1603,3086,1346,1488,2337,1837,1754,1569,1345,1523,1489,1365,1675,1540,1571,1555,1215
29,1719,3277,1414,1556,2442,1923,1785,1646,1409,1587,1601,1421,1731,1615,1655,1585,1255
30,1839,3468,1513,1621,2612,2016,1872,1741,1505,1676,1754,1530,1831,1738,1788,1677,1338
31,1991,3754,1652,1729,2860,2130,2006,1889,1635,1778,1907,1657,1986,1937,1996,1852,1481
32,2066,3911,1689,1816,2991,2195,2073,2005,1734,1900,1963,1720,2076,1989,2058,1952,1571
33,2138,4001,1738,1880,3119,2247,2148,2056,1812,1981,2009,1771,2149,2071,2148,2056,1629
34,2165,4089,1802,1924,3226,2296,2230,2101,1868,2034,2043,1813,2220,2092,2190,2089,1621
35,2264,4238,1879,1986,3345,2386,2282,2156,1927,2090,2087,1875,2271,2207,2282,2162,1702
36,2270,4323,1914,1993,3433,2373,2289,2152,1909,2084,2069,1853,2295,2230,2334,2164,1728
37,2146,4153,1817,1888,3321,2234,2193,2056,1827,1994,1952,1750,2226,2120,2223,2026,1621
38,2055,3995,1763,1806,3209,2150,2113,1988,1759,1941,1870,1679,2122,2060,2174,1941,1570
39,2076,4113,1797,1836,3281,2171,2106,1969,1779,1915,1872,1636,2118,2086,2227,1977,1617
40,2215,4430,1927,1952,3552,2330,2244,2091,1895,2007,2007,1743,2291,2255,2440,2156,1729
41,2421,4752,2130,2143,3853,2519,2426,2285,2079,2136,2143,1886,2515,2486,2656,2336,1874
42,2404,4651,2093,2102,3755,2492,2391,2209,2004,2043,2068,1814,2484,2525,2674,2335,1868
43,2135,4189,1859,1889,3385,2224,2150,1996,1776,1833,1883,1657,2271,2233,2374,2063,1652
44,2033,3979,1775,1814,3179,2178,2084,1910,1699,1706,1782,1592,2172,2149,2252,1992,1592
45,1922,3797,1680,1740,2961,2050,1964,1820,1600,1609,1686,1512,2062,2046,2148,1893,1516
46,1793,3535,1552,1634,2740,1903,1837,1700,1487,1477,1590,1405,1935,1911,1972,1776,1433
47,1634,3243,1422,1505,2501,1750,1689,1598,1358,1352,1448,1279,1774,1732,1798,1649,1314
48,1524,3008,1328,1412,2311,1644,1597,1569,1296,1272,1374,1232,1639,1638,1688,1554,1235
49,1442,2836,1252,1332,2178,1591,1544,1496,1221,1229,1321,1163,1558,1561,1598,1470,1172
50,1388,2762,1215,1293,2117,1531,1485,1480,1198,1216,1288,1137,1522,1515,1559,1426,1127
51,1378,2753,1187,1289,2102,1548,1507,1494,1187,1223,1281,1136,1520,1519,1560,1438,1141
52,1393,2791,1211,1301,2133,1588,1535,1504,1204,1247,1309,1145,1534,1550,1591,1470,1167
53,1490,2986,1287,1392,2286,1699,1678,1590,1277,1332,1412,1216,1622,1652,1698,1575,1239
54,1740,3474,1503,1603,2701,1990,1956,1790,1471,1568,1663,1421,1898,1947,2037,1885,1469
55,2066,4159,1815,1905,3229,2355,2328,2075,1774,1913,1992,1741,2285,2375,2502,2271,1790
56,2157,4331,1881,1991,3384,2426,2466,2149,1823,2033,2076,1817,2365,2524,2607,2353,1856
57,2161,4309,1892,2028,3443,2400,2465,2162,1832,2050,2083,1820,2362,2517,2578,2406,1853
58,2140,4282,1873,2003,3408,2407,2409,2166,1833,2072,2093,1841,2352,2463,2561,2337,1796
59,2192,4331,1900,2043,3458,2447,2462,2181,1880,2094,2112,1905,2375,2526,2585,2389,1856
60,2181,4326,1926,2004,3465,2393,2455,2110,1824,2094,2072,1885,2358,2476,2619,2382,1847
61,2074,4131,1828,1892,3317,2228,2277,2001,1736,2013,1967,1755,2238,2368,2482,2226,1747
62,2001,4007,1757,1821,3208,2128,2171,1936,1677,1969,1887,1656,2128,2308,2416,2122,1690
63,2027,4085,1803,1847,3260,2173,2167,1924,1712,2002,1926,1641,2159,2351,2457,2180,1727
64,2190,4397,1962,1976,3525,2351,2326,2048,1858,2145,2066,1781,2313,2500,2696,2355,1860
