,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,1113,2213,1014,1003,1735,1216,1181,926,870,901,935,798,1244,1255,1332,1154,905
1,1033,2013,917,915,1561,1125,1076,847,797,818,915,714,1139,1144,1196,1050,833
2,984,1972,889,896,1493,987,931,805,755,790,812,679,1092,1091,1144,1013,780
3,950,1916,858,880,1449,958,908,778,727,751,772,651,1050,1041,1102,987,754
4,947,1910,858,881,1429,939,891,772,703,734,771,635,1043,1029,1085,970,744
5,990,1990,894,923,1502,980,925,798,734,762,767,663,1093,1065,1135,1010,777
6,1039,2138,944,968,1575,1040,967,831,782,792,810,703,1131,1114,1190,1060,814
7,1116,2362,1024,1054,1713,1133,1057,919,861,855,897,769,1232,1203,1279,1138,879
8,1208,2229,1019,1020,1853,1230,1169,1004,950,950,1001,849,1239,1182,1351,1130,900
9,1183,2402,1104,1110,2072,1336,1272,1110,1051,1057,1094,942,1323,1416,1502,1230,991
10,1375,2558,1190,1163,2176,1370,1327,1179,1105,1141,1161,1015,1393,1502,1585,1257,1033
11,1444,2672,1257,1229,2291,1438,1399,1245,1180,1251,1253,1076,1520,1593,1680,1339,1101
12,1511,3143,1409,1422,2419,1655,1595,1325,1288,1322,1372,1150,1695,1675,1753,1532,1220
13,1497,3052,1356,1369,2368,1643,1589,1325,1279,1309,1422,1158,1651,1648,1725,1495,1203
14,1508,3038,1335,1357,2372,1623,1588,1360,1261,1317,1396,1168,1629,1611,1713,1494,1185
15,1492,3012,1307,1341,2365,1598,1538,1374,1300,1307,1400,1140,1596,1560,1688,1469,1172
16,1573,3110,1365,1387,2476,1695,1585,1434,1365,1346,1428,1201,1630,1633,1752,1524,1216
17,1603,3151,1416,1437,2549,1723,1624,1451,1414,1355,1475,1226,1686,1681,1823,1548,1228
18,1805,3536,1614,1637,2863,1911,1849,1624,1540,1507,1652,1366,1884,1947,2112,1799,1414
19,1787,3539,1612,1609,2850,1910,1812,1545,1504,1485,1629,1335,1888,1949,2094,1807,1412
20,1711,3407,1555,1554,2708,1741,1666,1453,1367,1413,1445,1230,1861,1798,2023,1654,1323
21,1635,3259,1481,1367,2575,1645,1615,1361,1287,1325,1345,1156,1685,1704,1896,1568,1272
22,1387,2784,1311,1257,2368,1545,1472,1233,1169,1217,1230,1044,1556,1574,1772,1439,1169
23,1201,2417,1149,1101,1944,1343,1294,1083,1022,1075,1074,917,1356,1384,1493,1279,1015
24,1003,2003,961,944,1620,1119,1069,899,837,883,898,770,1159,1169,1238,1069,852
25,938,1871,891,879,1515,1080,1012,851,789,837,849,726,1081,1087,1122,992,792
26,895,1797,858,846,1462,1063,978,824,768,818,835,709,1047,1046,1084,949,755
27,895,1803,863,851,1415,1067,986,844,779,831,847,727,1047,1022,1073,963,756
28,910,1799,869,850,1422,1087,1011,842,788,827,866,732,1040,1023,1071,966,761
29,975,1931,926,913,1507,1148,1076,897,841,883,938,797,1111,1096,1144,1000,808
30,1083,2163,1015,1008,1663,1269,1188,999,945,978,1049,900,1210,1228,1280,1127,888
31,1225,2465,1155,1144,1928,1421,1354,1136,1097,1116,1215,1031,1384,1419,1483,1293,1021
32,1278,2530,1189,1186,2000,1486,1444,1220,1165,1192,1277,1082,1441,1470,1545,1359,1094
33,1344,2650,1232,1243,2172,1533,1518,1285,1224,1259,1325,1134,1522,1542,1618,1427,1145
34,1391,2748,1300,1288,2262,1579,1556,1328,1273,1297,1358,1179,1552,1581,1643,1459,1170
35,1451,2873,1373,1349,2330,1650,1626,1375,1305,1346,1418,1234,1638,1661,1742,1553,1240
36,1506,2955,1412,1384,2450,1671,1650,1389,1324,1390,1446,1236,1690,1712,1804,1607,1279
37,1473,2900,1356,1337,2545,1620,1607,1345,1275,1357,1399,1173,1645,1692,1859,1578,1266
38,1417,2853,1337,1316,2511,1615,1569,1327,1261,1339,1350,1135,1609,1700,1872,1555,1257
39,1612,3252,1450,1508,2624,1701,1626,1381,1325,1413,1404,1164,1773,1800,1981,1625,1323
40,1756,3521,1572,1625,2861,1829,1762,1505,1426,1520,1563,1289,1915,1981,2186,1810,1443
41,1978,3900,1773,1788,3186,2013,1951,1703,1619,1690,1778,1456,2163,2214,2445,2011,1614
42,1938,3881,1777,1784,3136,1979,1917,1633,1528,1624,1707,1396,2165,2220,2448,2030,1607
43,1724,3515,1557,1609,2758,1752,1703,1404,1324,1411,1504,1229,1957,1924,2120,1752,1397
44,1625,3303,1463,1516,2605,1659,1615,1335,1245,1296,1351,1158,1783,1815,2021,1661,1348
45,1520,3113,1362,1307,2435,1540,1502,1246,1153,1217,1265,1093,1637,1709,1926,1560,1261
