,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,1226,2368,1235,1078,1922,1344,1294,1019,957,986,1030,906,1350,1330,1473,1260,1026
1,1147,2198,1157,1016,1787,1267,1225,959,893,916,958,845,1250,1231,1369,1173,968
2,1113,2143,1133,987,1741,1248,1192,934,874,894,933,817,1211,1192,1341,1135,932
3,1096,2104,1102,968,1681,1245,1193,917,870,865,915,801,1191,1167,1310,1119,922
4,1105,2122,1123,966,1670,1264,1198,915,872,857,923,801,1199,1156,1306,1103,923
5,1162,2236,1168,1015,1763,1321,1241,967,912,900,979,839,1250,1205,1368,1139,957
6,1243,2395,1242,1079,1894,1409,1334,1032,977,963,1053,907,1345,1282,1462,1245,1017
7,1327,2578,1302,1172,2029,1506,1419,1128,1074,1023,1140,984,1441,1386,1559,1318,1088
8,1358,2607,1323,1199,2074,1521,1464,1186,1125,1085,1206,1006,1446,1436,1546,1320,1105
9,1443,2778,1384,1275,2235,1576,1536,1272,1220,1176,1283,1104,1523,1501,1662,1392,1176
10,1489,2899,1459,1326,2306,1646,1603,1335,1278,1275,1357,1161,1615,1565,1727,1446,1211
11,1559,3020,1537,1407,2485,1741,1694,1412,1336,1364,1418,1247,1703,1671,1823,1536,1298
12,1641,3177,1612,1464,2605,1814,1743,1485,1406,1437,1480,1314,1799,1751,1925,1638,1360
13,1613,3151,1568,1441,2623,1748,1720,1479,1379,1412,1463,1272,1771,1721,1886,1609,1326
14,1598,3063,1524,1408,2544,1734,1670,1465,1370,1411,1444,1259,1721,1686,1835,1572,1311
15,1576,3074,1501,1385,2509,1700,1638,1460,1390,1397,1451,1231,1697,1658,1819,1553,1284
16,1643,3223,1562,1451,2626,1761,1713,1518,1440,1447,1487,1264,1767,1730,1891,1602,1329
17,1677,3313,1631,1528,2716,1817,1758,1565,1501,1444,1539,1297,1817,1804,1933,1654,1370
18,1898,3732,1832,1704,3069,2033,1937,1727,1651,1596,1714,1443,2018,2063,2220,1915,1572
19,1887,3683,1804,1675,3038,2016,1948,1690,1629,1566,1680,1429,2008,2047,2211,1904,1539
20,1785,3481,1692,1592,2848,1942,1894,1602,1550,1491,1590,1352,1942,1955,2102,1801,1449
21,1707,3290,1621,1510,2691,1845,1787,1506,1423,1409,1482,1283,1861,1847,1983,1716,1393
22,1575,3079,1507,1407,2478,1704,1633,1383,1308,1289,1335,1173,1727,1713,1836,1592,1308
23,1391,2679,1345,1223,2188,1520,1447,1226,1155,1126,1159,1028,1507,1493,1626,1421,1182
24,1163,2236,1143,1039,1834,1296,1251,1037,973,945,990,867,1289,1269,1374,1252,1018
25,1089,2089,1070,980,1710,1213,1191,981,914,911,928,820,1202,1172,1276,1148,943
26,1036,2002,1029,941,1636,1162,1126,951,889,888,896,793,1155,1126,1207,1094,892
27,1018,1987,1000,924,1595,1155,1121,940,885,885,889,793,1137,1108,1187,1062,869
28,1022,1990,1021,923,1581,1159,1120,950,895,893,896,804,1140,1101,1192,1055,877
29,1090,2119,1069,987,1672,1231,1169,1007,943,953,962,850,1202,1167,1265,1102,917
30,1186,2295,1146,1071,1845,1339,1267,1084,1030,1039,1080,944,1295,1285,1385,1202,998
31,1346,2598,1292,1214,2101,1491,1411,1224,1154,1155,1234,1065,1447,1473,1574,1387,1138
32,1387,2730,1323,1268,2174,1525,1464,1295,1212,1233,1266,1098,1514,1513,1634,1431,1196
33,1444,2811,1369,1318,2265,1571,1562,1331,1270,1298,1317,1146,1581,1588,1699,1515,1240
34,1460,2880,1429,1353,2356,1614,1604,1369,1316,1339,1364,1182,1639,1597,1718,1516,1213
35,1533,3019,1501,1416,2455,1694,1663,1417,1365,1369,1412,1239,1675,1696,1801,1588,1286
36,1569,3128,1547,1460,2534,1741,1684,1453,1382,1408,1446,1260,1717,1742,1859,1631,1333
37,1536,3085,1500,1435,2488,1691,1653,1398,1341,1379,1405,1211,1696,1717,1818,1596,1284
38,1524,3047,1492,1419,2469,1675,1644,1373,1315,1377,1399,1202,1680,1725,1846,1585,1288
39,1576,3174,1512,1457,2599,1727,1685,1436,1374,1442,1445,1216,1704,1810,1940,1664,1365
40,1712,3481,1620,1565,2916,1874,1836,1551,1491,1552,1582,1330,1868,1986,2151,1848,1484
41,1926,3803,1812,1740,3127,2069,2017,1756,1683,1701,1728,1471,2088,2218,2379,2038,1636
42,1924,3746,1776,1712,3083,2056,1999,1689,1613,1641,1667,1427,2084,2252,2401,2051,1642
43,1676,3298,1557,1509,2692,1800,1759,1461,1393,1439,1486,1266,1869,1953,2103,1782,1433
44,1575,3087,1470,1421,2516,1728,1662,1347,1308,1333,1381,1188,1744,1853,1963,1691,1356
45,1447,2877,1367,1326,2307,1589,1531,1253,1205,1240,1269,1103,1627,1741,1849,1581,1274
46,1303,2614,1234,1200,2095,1434,1393,1134,1083,1118,1155,994,1493,1582,1664,1447,1179
47,1149,2301,1103,1067,1866,1288,1256,1036,964,999,1016,878,1334,1397,1483,1315,1056
48,1050,2098,1012,980,1689,1186,1157,975,906,928,947,839,1210,1291,1371,1225,978
49,985,1958,948,911,1577,1126,1100,916,854,890,904,790,1126,1200,1276,1141,915
50,947,1886,915,878,1521,1073,1067,901,841,872,876,778,1091,1149,1228,1102,877
51,951,1884,908,880,1503,1076,1072,906,838,878,885,776,1090,1147,1226,1106,880
52,964,1915,940,892,1522,1091,1076,918,852,893,904,781,1102,1161,1248,1092,890
53,1053,2085,1013,970,1650,1180,1171,1000,924,971,996,854,1185,1254,1352,1160,951
54,1291,2569,1217,1175,2060,1463,1374,1202,1124,1195,1231,1046,1447,1533,1677,1427,1167
55,1613,3232,1514,1464,2589,1808,1679,1496,1421,1528,1538,1330,1813,1935,2119,1791,1468
56,1673,3351,1563,1510,2719,1846,1769,1559,1457,1612,1591,1366,1859,2032,2200,1862,1518
57,1663,3308,1564,1535,2754,1816,1768,1559,1443,1608,1580,1339,1844,2001,2163,1860,1496
58,1630,3241,1525,1487,2686,1795,1733,1545,1436,1597,1565,1327,1800,1930,2137,1821,1446
59,1669,3311,1557,1525,2731,1836,1779,1551,1470,1608,1583,1365,1828,1988,2157,1844,1493
60,1687,3341,1609,1541,2801,1843,1800,1554,1454,1642,1589,1398,1860,1988,2222,1874,1507
61,1646,3257,1557,1495,2732,1794,1751,1494,1407,1621,1553,1353,1815,1973,2156,1844,1484
62,1640,3274,1544,1494,2739,1774,1744,1490,1397,1633,1547,1339,1798,1982,2161,1833,1490
