,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,1135,2142,1246,984,1768,1292,1274,936,884,884,963,826,1254,1267,1429,1228,1024
1,1052,1961,1166,918,1619,1213,1197,876,826,807,888,765,1151,1165,1317,1140,966
2,1020,1903,1149,881,1568,1180,1168,844,804,776,856,731,1104,1123,1286,1110,929
3,1007,1857,1117,855,1495,1165,1196,820,797,740,838,709,1075,1093,1249,1087,920
4,1001,1865,1141,846,1472,1174,1208,813,795,729,839,703,1075,1078,1249,1062,915
5,1049,1950,1182,888,1544,1226,1260,865,833,772,885,742,1119,1128,1304,1100,948
6,1121,2102,1250,943,1666,1304,1355,922,891,833,949,800,1204,1202,1399,1205,1007
7,1202,2266,1315,1030,1787,1397,1436,1007,983,878,1028,866,1293,1303,1489,1275,1081
8,1237,2296,1348,1059,1830,1424,1464,1049,1028,938,1091,881,1296,1358,1479,1266,1092
9,1311,2470,1408,1130,1987,1472,1528,1131,1115,1028,1166,969,1370,1417,1599,1336,1154
10,1357,2574,1486,1181,2056,1550,1611,1199,1174,1127,1237,1028,1460,1473,1663,1396,1192
11,1416,2687,1562,1255,2226,1636,1691,1272,1224,1212,1288,1105,1544,1572,1754,1487,1275
12,1496,2841,1640,1319,2347,1699,1726,1330,1284,1274,1347,1168,1640,1641,1856,1576,1340
13,1468,2824,1582,1298,2358,1634,1682,1322,1263,1264,1338,1126,1616,1616,1815,1542,1304
14,1475,2757,1530,1280,2320,1632,1625,1316,1261,1270,1329,1129,1586,1586,1772,1510,1291
15,1460,2784,1509,1262,2308,1611,1590,1322,1289,1262,1343,1112,1564,1575,1765,1498,1265
16,1523,2936,1562,1328,2423,1674,1682,1376,1335,1323,1381,1151,1637,1648,1852,1558,1322
17,1565,3043,1645,1412,2511,1734,1720,1434,1400,1324,1442,1190,1690,1739,1908,1609,1373
18,1791,3469,1848,1593,2877,1959,1905,1607,1557,1478,1615,1339,1905,1996,2198,1874,1575
19,1792,3428,1812,1564,2838,1949,1918,1576,1535,1445,1590,1327,1899,1980,2194,1868,1536
20,1694,3235,1711,1487,2670,1889,1872,1479,1462,1376,1508,1258,1836,1892,2079,1767,1456
21,1615,3042,1658,1405,2524,1791,1788,1392,1334,1292,1399,1186,1758,1796,1955,1682,1406
22,1482,2820,1545,1300,2320,1643,1626,1264,1220,1176,1256,1076,1613,1661,1803,1547,1312
23,1302,2439,1386,1119,2033,1467,1442,1105,1069,1006,1082,927,1391,1437,1603,1370,1170
24,1076,2005,1191,943,1681,1252,1243,924,885,829,917,773,1185,1220,1347,1183,1005
25,1011,1886,1122,894,1570,1190,1194,874,834,784,860,727,1099,1124,1264,1101,938
26,965,1798,1086,855,1495,1144,1175,843,811,757,831,700,1054,1075,1193,1080,904
27,950,1789,1064,841,1439,1150,1227,827,813,749,836,701,1047,1063,1180,1065,894
28,956,1782,1097,837,1424,1154,1211,833,818,752,840,707,1043,1056,1187,1043,898
29,1030,1919,1154,891,1507,1212,1247,899,863,807,912,756,1100,1124,1263,1075,927
30,1130,2098,1239,961,1665,1320,1332,982,957,890,1027,851,1190,1240,1388,1159,1004
31,1289,2379,1377,1102,1921,1447,1456,1126,1076,1006,1170,958,1332,1422,1582,1338,1148
32,1327,2493,1409,1147,1996,1506,1497,1193,1148,1092,1209,1005,1399,1451,1626,1389,1212
33,1400,2591,1458,1202,2113,1559,1591,1235,1210,1158,1262,1050,1471,1540,1706,1486,1268
34,1414,2661,1528,1236,2227,1602,1676,1278,1256,1196,1294,1086,1531,1548,1749,1526,1262
35,1494,2812,1606,1306,2320,1670,1730,1334,1305,1241,1341,1136,1584,1652,1838,1599,1338
36,1515,2906,1642,1353,2435,1704,1730,1361,1315,1283,1364,1159,1627,1694,1902,1629,1385
37,1495,2856,1561,1322,2394,1646,1665,1329,1285,1271,1320,1122,1617,1655,1852,1579,1327
38,1482,2837,1540,1317,2385,1633,1639,1311,1270,1274,1313,1130,1591,1656,1851,1562,1326
39,1569,3039,1598,1397,2528,1715,1694,1385,1349,1355,1389,1162,1658,1742,1947,1651,1406
40,1713,3364,1723,1516,2788,1869,1842,1499,1460,1470,1527,1278,1826,1914,2143,1827,1519
41,1931,3708,1929,1699,3070,2054,2021,1715,1666,1627,1678,1423,2053,2143,2363,2012,1672
42,1930,3654,1894,1668,3009,2062,2003,1646,1592,1565,1621,1377,2041,2178,2390,2025,1669
43,1673,3200,1648,1466,2644,1803,1775,1405,1372,1360,1439,1215,1813,1892,2090,1766,1454
44,1578,2983,1575,1385,2474,1751,1700,1301,1287,1254,1342,1141,1702,1808,1961,1682,1383
45,1445,2778,1474,1298,2256,1619,1569,1208,1184,1154,1247,1051,1587,1705,1855,1583,1311
46,1297,2518,1351,1164,2048,1464,1426,1091,1063,1028,1134,939,1455,1546,1682,1440,1210
47,1145,2192,1212,1028,1798,1300,1278,994,939,907,991,820,1285,1355,1501,1304,1088
48,1040,2008,1129,943,1633,1192,1173,936,890,841,924,780,1168,1258,1397,1206,1009
49,978,1866,1064,879,1525,1143,1121,878,837,803,880,735,1096,1178,1311,1121,948
50,945,1810,1032,844,1476,1093,1065,856,818,784,848,722,1061,1138,1263,1086,908
51,943,1797,1008,835,1450,1098,1083,854,819,790,854,719,1060,1139,1260,1097,916
52,953,1807,1043,840,1462,1102,1094,864,823,804,865,726,1067,1154,1279,1099,942
53,1029,1955,1111,916,1564,1190,1209,938,892,884,949,798,1139,1237,1367,1173,988
54,1259,2432,1295,1116,1968,1464,1450,1138,1088,1104,1181,986,1389,1521,1695,1452,1210
