,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,144833,84911,14525,42909,30909,27370,43318,13510,85321,75410,481253,89818,0,15684,109502,0,0,0,0,0,154704,94767,29243
1,150457,88207,15089,44575,32381,28674,45382,15700,99151,87634,559261,104377,0,17085,119278,0,0,0,0,0,194403,107244,33094
2,142760,83695,14317,42294,32312,28612,45284,13574,85726,75768,483535,90244,0,16452,114860,0,0,0,0,0,166377,95391,29436
3,133701,78384,13409,39610,30782,27257,43140,11405,72028,63662,406275,75825,0,13745,95962,0,0,0,0,0,112436,80009,24689
4,159053,93247,15951,47121,32394,28684,45399,16003,101063,89324,570047,106390,0,17097,119367,0,0,0,0,0,194838,111786,34495
5,165960,97297,16644,49168,34007,30113,47660,17385,109788,97036,619260,115575,0,17990,125599,0,0,0,0,0,212968,119073,36744
6,194999,114321,19556,57771,38106,33742,53404,22927,144791,127973,816693,152423,0,21336,148962,0,0,0,0,0,296586,136854,42231
7,192048,112591,19260,56897,41748,36968,58509,25022,158019,139664,891301,166347,0,24557,171444,0,0,0,0,0,311736,178435,55062
8,206520,121075,20712,61184,43451,38476,60896,28797,181861,160737,1025784,191447,0,28448,198608,0,0,0,0,0,368626,202714,62554
9,226534,132808,22719,67113,43883,38858,61501,30866,194927,172285,1099484,205202,0,28461,198705,0,0,0,0,0,420701,201300,62118
10,212617,124650,21323,62991,42297,37453,59278,28217,178195,157496,1005103,187587,0,26066,181984,0,0,0,0,0,377836,180079,55570
11,178491,104643,17901,52880,37070,32826,51953,20353,128534,113604,724994,135309,0,20579,143673,0,0,0,0,0,255900,132672,40940
12,171871,100762,17237,50919,36921,32693,51744,19423,122661,108413,691869,129126,0,19981,139496,0,0,0,0,0,237132,144508,44593
13,221020,129576,22166,65480,44796,39667,62781,30686,193789,171279,1093061,204003,0,28936,202021,0,0,0,0,0,402645,211248,65188
14,227221,133212,22788,67317,45422,40221,63657,31000,195770,173030,1104238,206089,0,29349,204899,0,0,0,0,0,419346,215147,66391
15,242778,142332,24348,71926,45686,40455,64028,34539,218120,192783,1230299,229616,0,30213,210933,0,0,0,0,0,459119,209063,64514
16,201338,118037,20192,59649,38853,34404,54451,25429,160589,141935,905799,169053,0,23229,162177,0,0,0,0,0,321890,162786,50233
17,177726,104194,17824,52653,35802,31703,50176,19792,124992,110473,705014,131580,0,19637,137100,0,0,0,0,0,248481,131293,40515
18,190565,111722,19112,56457,36237,32088,50786,22457,141823,125349,799948,149298,0,21403,149428,0,0,0,0,0,285296,145022,44752
19,202885,118944,20347,60107,37554,33254,52631,25376,160252,141637,903897,168698,0,23228,162166,0,0,0,0,0,328809,156285,48227
20,199845,117162,20042,59207,36874,32652,51678,24056,151921,134274,856906,159928,0,22219,155121,0,0,0,0,0,312262,152023,46912
21,187578,109970,18812,55572,37092,32845,51983,21308,134565,118934,759012,141658,0,21229,148211,0,0,0,0,0,270760,142318,43917
22,205099,120242,20569,60763,38402,34005,53819,24687,155903,137793,879366,164120,0,23057,160974,0,0,0,0,0,315153,164821,50861
23,212888,124809,21350,63071,41716,36940,58464,27301,172408,152382,972465,181495,0,25540,178307,0,0,0,0,0,356402,186378,57513
24,223140,130819,22379,66108,44021,38981,61695,29992,189406,167405,1068342,199389,0,27631,192905,0,0,0,0,0,392383,193859,59822
25,206839,121262,20744,61279,42995,38072,60256,27078,171001,151138,964527,180014,0,25515,178135,0,0,0,0,0,357872,196411,60609
26,202005,118428,20259,59847,40555,35911,56836,24346,153752,135893,867237,161856,0,23706,165505,0,0,0,0,0,336084,183049,56486
27,191761,112423,19232,56812,38155,33786,53474,21465,135559,119812,764616,142704,0,20777,145055,0,0,0,0,0,281410,150602,46473
28,195085,114371,19565,57796,37427,33142,52454,23158,146248,129261,824912,153957,0,21280,148568,0,0,0,0,0,292972,143658,44331
29,202704,118838,20329,60054,37622,33314,52726,24795,156588,138399,883230,164841,0,22483,156969,0,0,0,0,0,318043,153766,47450
30,201312,118022,20189,59641,38629,34206,54138,24039,151809,134176,856278,159811,0,22167,154763,0,0,0,0,0,312864,151564,46770
31,184900,108400,18543,54779,36820,32604,51602,22645,143009,126398,806641,150547,0,20955,146301,0,0,0,0,0,292475,138126,42623
32,176208,103304,17672,52204,34036,30139,47701,19883,125563,110978,708236,132181,0,19075,133173,0,0,0,0,0,250388,132879,41004
33,175103,102657,17561,51876,34524,30571,48384,19944,125948,111318,710410,132587,0,19837,138497,0,0,0,0,0,257742,132547,40902
34,154394,90515,15484,45741,31387,27793,43988,15704,99174,87654,559390,104401,0,16413,114591,0,0,0,0,0,175302,114850,35441
35,166870,97830,16735,49437,34196,30280,47925,18856,119077,105246,671655,125354,0,19398,135427,0,0,0,0,0,218381,129589,39989
36,167067,97945,16755,49496,35189,31159,49316,18791,118667,104883,669340,124922,0,19484,136028,0,0,0,0,0,231273,136086,41994
37,154210,90408,15465,45686,32982,29206,46224,16755,105812,93521,596829,111389,0,17159,119799,0,0,0,0,0,196478,114266,35261
38,183949,107842,18448,54497,37277,33008,52242,22878,144480,127698,814940,152096,0,22395,156354,0,0,0,0,0,280275,154129,47562
