1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0.279,0.361,0.212,0.212,0.279,0.279,0.279,0.279,0.279,0.391,0.415,0.415,0.415,0.415,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.264,0.264,0.264,0.264,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.217,0.217,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.334,0.334,0.334,0.334,0.334,0.503,0.503,0.503,0.494,0.2,0.2,0.2,0.2
0.19,0.37,0.246,0.246,0.19,0.19,0.19,0.19,0.19,0.392,0.333,0.333,0.333,0.333,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.241,0.241,0.241,0.241,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.177,0.177,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.323,0.323,0.323,0.323,0.323,0.408,0.408,0.408,0.356,0.143,0.143,0.143,0.143
0.197,0.338,0.28,0.28,0.197,0.197,0.197,0.197,0.197,0.352,0.286,0.286,0.286,0.286,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.198,0.198,0.198,0.198,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.076,0.076,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.29,0.29,0.29,0.29,0.29,0.386,0.386,0.386,0.267,0.125,0.125,0.125,0.125
0.299,0.356,0.322,0.322,0.299,0.299,0.299,0.299,0.299,0.376,0.332,0.332,0.332,0.332,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.302,0.302,0.302,0.302,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.084,0.084,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.322,0.322,0.322,0.322,0.322,0.455,0.455,0.455,0.206,0.175,0.175,0.175,0.175
0.36,0.297,0.257,0.257,0.36,0.36,0.36,0.36,0.36,0.288,0.314,0.314,0.314,0.314,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.219,0.219,0.219,0.219,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.068,0.068,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.255,0.255,0.255,0.255,0.255,0.446,0.446,0.446,0.131,0.111,0.111,0.111,0.111
0.371,0.285,0.222,0.222,0.371,0.371,0.371,0.371,0.371,0.267,0.264,0.264,0.264,0.264,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.246,0.246,0.246,0.246,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.179,0.179,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.233,0.233,0.233,0.233,0.233,0.314,0.314,0.314,0.169,0.084,0.084,0.084,0.084
0.365,0.271,0.186,0.186,0.365,0.365,0.365,0.365,0.365,0.188,0.405,0.405,0.405,0.405,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.212,0.284,0.284,0.284,0.284,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.28,0.28,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.186,0.186,0.186,0.186,0.186,0.459,0.459,0.459,0.291,0.069,0.069,0.069,0.069
0.432,0.342,0.395,0.395,0.432,0.432,0.432,0.432,0.432,0.234,0.301,0.301,0.301,0.301,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.123,0.123,0.123,0.123,0.332,0.332,0.332,0.332,0.332,0.332,0.332,0.332,0.332,0.332,0.332,0.332,0.332,0.332,0.095,0.095,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.29,0.29,0.29,0.29,0.29,0.276,0.276,0.276,0.298,0.142,0.142,0.142,0.142
0.404,0.221,0.324,0.324,0.404,0.404,0.404,0.404,0.404,0.22,0.291,0.291,0.291,0.291,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.068,0.068,0.068,0.068,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.123,0.123,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.24,0.24,0.24,0.24,0.24,0.26,0.26,0.26,0.186,0.104,0.104,0.104,0.104
0.306,0.197,0.222,0.222,0.306,0.306,0.306,0.306,0.306,0.132,0.098,0.098,0.098,0.098,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.122,0.122,0.122,0.122,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.077,0.077,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.168,0.168,0.168,0.168,0.168,0.101,0.101,0.101,0.139,0.102,0.102,0.102,0.102
0.339,0.21,0.249,0.249,0.339,0.339,0.339,0.339,0.339,0.049,0.088,0.088,0.088,0.088,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.233,0.233,0.233,0.233,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.383,0.003,0.003,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.135,0.135,0.135,0.135,0.135,0.137,0.137,0.137,0.066,0.089,0.089,0.089,0.089
0.187,0.119,0.119,0.119,0.187,0.187,0.187,0.187,0.187,0.001,0.219,0.219,0.219,0.219,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.189,0.189,0.189,0.189,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.016,0.016,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.069,0.069,0.069,0.069,0.069,0.298,0.298,0.298,0.057,0.047,0.047,0.047,0.047
0.174,0.046,0.039,0.039,0.174,0.174,0.174,0.174,0.174,0.048,0.189,0.189,0.189,0.189,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.089,0.089,0.089,0.089,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.033,0.033,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.041,0.041,0.041,0.041,0.041,0.312,0.312,0.312,0.025,0.0,0.0,0.0,0.0
0.249,0.043,0.014,0.014,0.249,0.249,0.249,0.249,0.249,0.045,0.297,0.297,0.297,0.297,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.0,0.0,0.0,0.0,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.045,0.045,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.032,0.032,0.032,0.032,0.032,0.404,0.404,0.404,0.082,0.002,0.002,0.002,0.002
0.295,0.006,0.04,0.04,0.295,0.295,0.295,0.295,0.295,0.057,0.205,0.205,0.205,0.205,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.047,0.047,0.047,0.047,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.177,0.177,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.029,0.029,0.029,0.029,0.029,0.225,0.225,0.225,0.103,0.0,0.0,0.0,0.0
0.154,0.0,0.0,0.0,0.154,0.154,0.154,0.154,0.154,0.0,0.116,0.116,0.116,0.116,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.0,0.0,0.0,0.0,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.17,0.17,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.0,0.0,0.0,0.0,0.0,0.174,0.174,0.174,0.085,0.0,0.0,0.0,0.0
0.144,0.0,0.0,0.0,0.144,0.144,0.144,0.144,0.144,0.0,0.092,0.092,0.092,0.092,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.044,0.044,0.044,0.044,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.165,0.165,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.001,0.001,0.001,0.001,0.001,0.073,0.073,0.073,0.106,0.009,0.009,0.009,0.009
0.088,0.076,0.084,0.084,0.088,0.088,0.088,0.088,0.088,0.078,0.196,0.196,0.196,0.196,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.072,0.072,0.072,0.072,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.155,0.155,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.074,0.074,0.074,0.074,0.074,0.285,0.285,0.285,0.106,0.031,0.031,0.031,0.031
0.125,0.073,0.059,0.059,0.125,0.125,0.125,0.125,0.125,0.062,0.198,0.198,0.198,0.198,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.072,0.072,0.072,0.072,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.174,0.174,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.059,0.059,0.059,0.059,0.059,0.258,0.258,0.258,0.237,0.028,0.028,0.028,0.028
0.102,0.011,0.089,0.089,0.102,0.102,0.102,0.102,0.102,0.059,0.169,0.169,0.169,0.169,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.052,0.052,0.052,0.052,0.411,0.411,0.411,0.411,0.411,0.411,0.411,0.411,0.411,0.411,0.411,0.411,0.411,0.411,0.272,0.272,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.035,0.035,0.035,0.035,0.035,0.24,0.24,0.24,0.101,0.0,0.0,0.0,0.0
0.05,0.016,0.109,0.109,0.05,0.05,0.05,0.05,0.05,0.0,0.173,0.173,0.173,0.173,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.118,0.118,0.118,0.118,0.554,0.554,0.554,0.554,0.554,0.554,0.554,0.554,0.554,0.554,0.554,0.554,0.554,0.554,0.272,0.272,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.04,0.04,0.04,0.04,0.04,0.158,0.158,0.158,0.142,0.0,0.0,0.0,0.0
0.042,0.052,0.122,0.122,0.042,0.042,0.042,0.042,0.042,0.035,0.307,0.307,0.307,0.307,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.207,0.207,0.207,0.207,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.22,0.22,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.069,0.069,0.069,0.069,0.069,0.426,0.426,0.426,0.157,0.086,0.086,0.086,0.086
0.018,0.065,0.055,0.055,0.018,0.018,0.018,0.018,0.018,0.107,0.436,0.436,0.436,0.436,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.383,0.383,0.383,0.383,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.212,0.212,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.067,0.067,0.067,0.067,0.067,0.41,0.41,0.41,0.357,0.008,0.008,0.008,0.008
0.052,0.004,0.088,0.088,0.052,0.052,0.052,0.052,0.052,0.049,0.361,0.361,0.361,0.361,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.315,0.315,0.315,0.315,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.229,0.229,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.054,0.054,0.054,0.054,0.054,0.282,0.282,0.282,0.304,0.107,0.107,0.107,0.107
0.01,0.038,0.227,0.227,0.01,0.01,0.01,0.01,0.01,0.14,0.333,0.333,0.333,0.333,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.218,0.218,0.218,0.218,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.337,0.337,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.152,0.152,0.152,0.152,0.152,0.404,0.404,0.404,0.182,0.189,0.189,0.189,0.189
0.075,0.162,0.387,0.387,0.075,0.075,0.075,0.075,0.075,0.314,0.282,0.282,0.282,0.282,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.251,0.251,0.251,0.251,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.213,0.213,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.27,0.27,0.27,0.27,0.27,0.417,0.417,0.417,0.17,0.164,0.164,0.164,0.164
0.096,0.241,0.414,0.414,0.096,0.096,0.096,0.096,0.096,0.459,0.339,0.339,0.339,0.339,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.362,0.362,0.362,0.362,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.23,0.23,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.345,0.345,0.345,0.345,0.345,0.619,0.619,0.619,0.205,0.333,0.333,0.333,0.333
0.098,0.324,0.294,0.294,0.098,0.098,0.098,0.098,0.098,0.492,0.326,0.326,0.326,0.326,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.524,0.524,0.524,0.524,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.288,0.288,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.339,0.339,0.339,0.339,0.339,0.597,0.597,0.597,0.303,0.29,0.29,0.29,0.29
0.136,0.236,0.258,0.258,0.136,0.136,0.136,0.136,0.136,0.458,0.249,0.249,0.249,0.249,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.656,0.656,0.656,0.656,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.332,0.332,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.273,0.273,0.273,0.273,0.273,0.432,0.432,0.432,0.223,0.167,0.167,0.167,0.167
