node_id,type,Pmax,Pmin,GenFuelCost,GenIOB,GenIOC,ramp_30,count
0.0,dfo,6.364,1.449595305,16.471,8.01688,0.006458,3.18,2.0
0.0,ng,542.466,163.868639755,6.42125,4.264815,0.0037582500000000003,256.53999999999996,4.0
0.0,nuclear,1226.313,457.1126794,1.0,8.0,0.0019,0.0,1.0
0.0,solar,25.222,0.0,0.0,0.0,0.0,0.0,6.0
0.0,wind,2.284,0.0,0.0,0.0,0.0,0.0,1.0
1.0,dfo,70.595,18.349755201,16.471,8.01688,0.0070285,35.31,8.0
1.0,hydro,37.699,12.660000261,0.0,0.0,0.0,0.0,5.0
1.0,ng,79.978,15.647357477,5.587,4.62809,0.0034584999999999998,39.98,2.0
1.0,solar,51.639,0.0,0.0,0.0,0.0,0.0,10.0
2.0,dfo,256.096,75.213961269,16.471,8.01688,0.006707,128.07,13.0
2.0,ng,3549.464,1135.905943622,6.249086956521739,4.7909182608695655,0.005180304347826087,1473.28,23.0
2.0,other,97.985,0.0,0.0,0.0,0.0,0.0,1.0
2.0,wind,2.056,0.0,0.0,0.0,0.0,0.0,1.0
3.0,dfo,159.102,49.19195774,16.471,8.01688,0.00726,79.56,3.0
3.0,solar,23.007,0.0,0.0,0.0,0.0,0.0,5.0
4.0,dfo,172.43099999999998,61.18942133,16.471,8.01688,0.00825,86.22,3.0
4.0,ng,283.873,66.974077279,5.97775,4.6722075,0.004776,141.93,4.0
4.0,solar,48.571,0.0,0.0,0.0,0.0,0.0,11.0
4.0,wind,5.711,0.0,0.0,0.0,0.0,0.0,2.0
5.0,nuclear,617.001,298.4075212,1.0,8.0,0.0019,0.0,1.0
5.0,other,64.603,0.0,0.0,0.0,0.0,0.0,1.0
5.0,solar,52.832,0.0,0.0,0.0,0.0,0.0,9.0
5.0,wind,2.284,0.0,0.0,0.0,0.0,0.0,1.0
6.0,dfo,1372.99,449.88131369999996,16.471,8.01688,0.0244975,486.1,2.0
6.0,solar,27.267000000000003,0.0,0.0,0.0,0.0,0.0,5.0
7.0,solar,5.965,0.0,0.0,0.0,0.0,0.0,1.0
7.0,wind_offshore,800.0,0.0,0.0,0.0,0.0,0.0,1.0
9.0,dfo,16.5,4.98519361,16.471,8.01688,0.0056718,8.25,5.0
9.0,hydro,3.5,0.860000018,0.0,0.0,0.0,0.0,1.0
9.0,ng,338.728,116.5601109,6.3165,4.81233,0.007024,169.36,2.0
9.0,other,72.412,0.0,0.0,0.0,0.0,0.0,1.0
