,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,121869,71447,12222,36105,47851,42372,67063,7573,47828,42273,269776,50349,0,14189,99064,0,0,0,0,0,84187,61334,18926
1,119061,69801,11940,35273,43006,38081,60271,7366,46519,41116,262393,48971,0,13380,93417,0,0,0,0,0,72805,56159,17330
2,121270,71096,12162,35928,46383,41072,65005,7445,47020,41558,265216,49498,0,13929,97251,0,0,0,0,0,90491,59614,18396
3,124070,72738,12443,36757,49473,43808,69335,7620,48124,42534,271446,50661,0,14497,101216,0,0,0,0,0,90280,62519,19292
4,122007,71528,12236,36146,45326,40136,63523,7461,47121,41647,265785,49604,0,14029,97947,0,0,0,0,0,76797,58411,18024
5,120308,70532,12065,35643,44955,39807,63003,7466,47151,41674,265956,49636,0,13613,95038,0,0,0,0,0,70652,57797,17835
6,124873,73209,12523,36995,51861,45923,72682,7697,48610,42964,274188,51173,0,14896,103996,0,0,0,0,0,100467,65020,20064
7,123879,72626,12424,36701,49993,44269,70064,7604,48020,42442,270857,50551,0,14764,103075,0,0,0,0,0,88742,62862,19398
8,119928,70309,12027,35530,42044,37230,58924,7348,46409,41018,261768,48855,0,13389,93474,0,0,0,0,0,73091,55292,17062
9,117769,69044,11811,34891,39559,35029,55441,7291,46049,40700,259741,48476,0,12693,88622,0,0,0,0,0,71207,52905,16325
10,118099,69237,11844,34988,39146,34663,54861,7269,45910,40577,258958,48330,0,12676,88497,0,0,0,0,0,65564,52286,16134
11,113597,66597,11392,33654,31334,27746,43914,7063,44608,39426,251610,46959,0,11154,77874,0,0,0,0,0,58779,45173,13939
12,116250,68153,11658,34440,36009,31886,50465,7176,45323,40058,255643,47711,0,12059,84192,0,0,0,0,0,60277,49534,15285
13,112656,66046,11298,33375,30336,26863,42516,7043,44479,39313,250886,46824,0,11007,76846,0,0,0,0,0,57225,44175,13631
14,128359,75252,12873,38028,55142,48828,77280,7778,49125,43418,277088,51714,0,15380,107377,0,0,0,0,0,109633,68633,21179
15,134359,78770,13475,39805,68517,60672,96025,8224,51941,45907,292971,54678,0,17687,123483,0,0,0,0,0,146238,81229,25066
16,126065,73907,12643,37348,53391,47278,74827,7741,48890,43211,275762,51466,0,15234,106359,0,0,0,0,0,102905,65995,20365
17,116891,68529,11723,34630,35464,31403,49701,7188,45394,40121,256046,47787,0,12117,84598,0,0,0,0,0,66847,49343,15226
18,118469,69454,11881,35098,39058,34586,54739,7277,45957,40619,259224,48380,0,12680,88525,0,0,0,0,0,78173,52431,16179
19,115751,67860,11608,34292,33978,30087,47619,7115,44935,39716,253459,47304,0,11646,81308,0,0,0,0,0,61013,47879,14774
20,113982,66823,11431,33768,31804,28163,44573,7074,44678,39488,252008,47033,0,11235,78440,0,0,0,0,0,59810,45627,14079
21,120795,70817,12114,35787,44347,39269,62151,7456,47090,41620,265610,49572,0,13443,93855,0,0,0,0,0,83920,57377,17705
22,122222,71654,12257,36210,48252,42727,67623,7554,47708,42167,269100,50223,0,14428,100728,0,0,0,0,0,86329,61292,18914
23,121228,71072,12158,35915,46405,41092,65036,7476,47215,41730,266315,49703,0,13987,97650,0,0,0,0,0,83471,58899,18175
24,119602,70118,11995,35433,42370,37518,59380,7355,46448,41053,261992,48896,0,13232,92381,0,0,0,0,0,70630,55368,17085
25,122597,71874,12295,36321,48528,42971,68010,7570,47809,42255,269665,50329,0,14224,99307,0,0,0,0,0,95493,61159,18872
26,126146,73955,12651,37372,54177,47974,75928,7744,48908,43227,275864,51485,0,15145,105738,0,0,0,0,0,105867,66722,20589
27,118723,69603,11906,35173,40742,36077,57099,7276,45952,40614,259192,48374,0,12864,89814,0,0,0,0,0,75882,53974,16655
28,116227,68140,11656,34434,35801,31701,50174,7166,45256,39999,255265,47641,0,12085,84372,0,0,0,0,0,65034,49335,15224
