,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,146866,86102,14729,43511,93738,83005,131371,8910,56269,49733,317384,59234,0,22348,156022,0,0,0,0,0,185714,105287,32490
1,154092,90338,15454,45651,106501,94307,149259,9259,58475,51683,329830,61557,0,24815,173247,0,0,0,0,0,196707,117450,36243
2,152598,89462,15304,45209,108125,95744,151534,9271,58553,51751,330268,61639,0,25548,178367,0,0,0,0,0,212955,118296,36504
3,150695,88347,15113,44645,99738,88318,139781,9034,57055,50428,321820,60062,0,23806,166205,0,0,0,0,0,188205,110100,33975
4,149380,87576,14981,44256,100897,89344,141405,9042,57104,50471,322095,60114,0,23937,167116,0,0,0,0,0,183865,111017,34258
5,141339,82862,14175,41873,84714,75014,118725,8507,53724,47484,303032,56556,0,20971,146410,0,0,0,0,0,159179,95142,29359
6,142665,83639,14308,42266,86762,76827,121594,8642,54577,48237,307840,57453,0,21039,146888,0,0,0,0,0,179098,96811,29874
7,140455,82344,14086,41611,79854,70710,111913,8381,52928,46780,298541,55718,0,20166,140791,0,0,0,0,0,143090,90157,27821
8,142221,83379,14263,42135,86646,76725,121432,8646,54605,48262,308000,57483,0,21313,148800,0,0,0,0,0,175008,96751,29856
9,160063,93839,16053,47421,117554,104094,164749,9651,60947,53868,343775,64160,0,26527,185203,0,0,0,0,0,253688,127871,39459
10,150783,88399,15122,44671,100204,88730,140433,9033,57044,50418,321759,60051,0,23544,164373,0,0,0,0,0,199726,110473,34090
11,145851,85507,14627,43210,96337,85306,135014,9058,57205,50561,322668,60221,0,22245,155306,0,0,0,0,0,198876,106229,32780
12,158817,93109,15928,47051,111287,98545,155966,9484,59893,52936,337825,63050,0,25030,174747,0,0,0,0,0,206631,120897,37307
13,143891,84358,14431,42629,86370,76481,121046,8580,54188,47894,305650,57044,0,21328,148905,0,0,0,0,0,170767,96708,29843
14,141401,82898,14181,41892,83486,73926,117003,8571,54130,47842,305321,56983,0,20770,145010,0,0,0,0,0,151509,93902,28976
15,138534,81217,13893,41042,80101,70929,112259,8396,53022,46863,299070,55816,0,19995,139596,0,0,0,0,0,157537,90610,27961
16,136948,80288,13734,40573,76264,67531,106881,8296,52392,46306,295517,55153,0,18630,130068,0,0,0,0,0,149316,86747,26769
17,148602,87120,14903,44025,97709,86521,136936,9111,57538,50854,324541,60570,0,22524,157252,0,0,0,0,0,180752,107837,33277
18,141678,83061,14209,41974,87547,77522,122694,8656,54667,48317,308351,57549,0,21499,150098,0,0,0,0,0,162054,97586,30113
19,145553,85332,14597,43122,92897,82260,130192,8832,55778,49299,314619,58718,0,22213,155084,0,0,0,0,0,193246,103255,31863
20,153593,90046,15404,45504,108376,95967,151886,9364,59136,52267,333559,62253,0,24208,169009,0,0,0,0,0,232748,117704,36321
21,152551,89435,15299,45195,112628,99732,157845,9348,59036,52179,332993,62148,0,26235,183158,0,0,0,0,0,227782,121932,37626
22,152126,89186,15256,45069,104419,92462,146340,9069,57272,50619,323042,60290,0,25153,175609,0,0,0,0,0,191676,113951,35163
23,144829,84908,14525,42907,93994,83231,131729,8740,55197,48786,311341,58107,0,22984,160466,0,0,0,0,0,182778,103706,32002
24,143228,83969,14364,42433,89010,78818,124745,8554,54025,47749,304727,56872,0,21869,152683,0,0,0,0,0,167585,98737,30468
25,150234,88076,15067,44508,98548,87264,138112,9068,57269,50617,323026,60287,0,23273,162482,0,0,0,0,0,196950,108279,33413
26,145486,85293,14591,43102,87183,77200,122185,8644,54593,48252,307934,57471,0,21291,148646,0,0,0,0,0,173339,96500,29778
27,145612,85367,14603,43139,91744,81239,128577,8859,55946,49447,315564,58895,0,21540,150384,0,0,0,0,0,195536,101831,31423
28,149927,87897,15036,44418,93719,82988,131345,9025,56997,50377,321494,60002,0,22062,154026,0,0,0,0,0,194957,103748,32015
