,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,123629,72479,12398,36626,49697,44007,69650,7457,47095,41625,265640,49577,0,14473,101047,0,0,0,0,0,82491,62714,19352
1,139785,81951,14019,41413,84432,74765,118330,8616,54415,48094,306927,57283,0,20334,141961,0,0,0,0,0,153117,95468,29460
2,143210,83959,14362,42428,79775,70641,111803,8464,53453,47244,301505,56271,0,19855,138619,0,0,0,0,0,149318,89879,27735
3,139654,81874,14006,41374,82513,73065,115640,8558,54049,47771,304863,56898,0,20151,140688,0,0,0,0,0,146030,93161,28748
4,139803,81961,14021,41418,83374,73827,116846,8503,53698,47460,302882,56528,0,20900,145915,0,0,0,0,0,156735,93333,28801
5,140629,82445,14103,41663,83190,73664,116588,8465,53461,47251,301545,56278,0,20739,144791,0,0,0,0,0,155743,92988,28694
6,144484,84706,14490,42805,89593,79334,125562,8713,55024,48632,310361,57924,0,21702,151512,0,0,0,0,0,177539,99292,30640
7,144031,84440,14445,42671,88166,78070,123562,8691,54889,48513,309604,57782,0,21520,150243,0,0,0,0,0,172974,97797,30179
8,134069,78600,13446,39720,75730,67059,106134,8341,52679,46560,297135,55455,0,18748,130888,0,0,0,0,0,117295,85272,26313
9,137435,80573,13783,40717,78046,69109,109379,8466,53464,47253,301562,56282,0,19266,134511,0,0,0,0,0,126936,88159,27204
10,148448,87030,14888,43979,93657,82933,131258,8950,56522,49956,318810,59501,0,21957,153293,0,0,0,0,0,186391,103518,31944
11,145071,85050,14549,42979,89109,78905,124883,8790,55510,49062,313106,58436,0,21162,147746,0,0,0,0,0,182500,98582,30421
12,145276,85170,14570,43040,88516,78381,124053,8753,55279,48858,311800,58192,0,21109,147374,0,0,0,0,0,179233,98130,30281
13,151840,89018,15228,44984,102625,90874,143826,9221,58234,51470,328471,61304,0,23476,163902,0,0,0,0,0,207993,112253,34639
14,154116,90353,15456,45659,108274,95877,151743,9427,59536,52621,335815,62674,0,24700,172448,0,0,0,0,0,216389,117279,36190
15,151671,88919,15211,44934,103469,91622,145009,9243,58372,51592,329248,61449,0,23883,166738,0,0,0,0,0,212132,112410,34688
16,147647,86560,14807,43742,94150,83369,131948,8921,56340,49796,317788,59310,0,22253,155359,0,0,0,0,0,189324,103204,31847
17,163640,95936,16411,48480,125897,111481,176441,9864,62294,55058,351372,65578,0,28079,196032,0,0,0,0,0,251193,134507,41507
18,159971,93785,16043,47393,114494,101384,160460,9540,60246,53248,339820,63422,0,26244,183222,0,0,0,0,0,217171,122802,37895
19,153735,90129,15418,45546,106965,94718,149909,9296,58711,51891,331159,61805,0,24389,170276,0,0,0,0,0,218269,115861,35753
20,161323,94578,16179,47794,123699,109536,173361,9837,62124,54908,350409,65398,0,27065,188953,0,0,0,0,0,266160,131999,40733
21,166724,97744,16721,49394,132881,117666,186229,10172,64241,56779,362354,67627,0,28688,200290,0,0,0,0,0,289061,140921,43486
22,166963,97884,16745,49465,134110,118754,187952,10160,64167,56713,361934,67549,0,29181,203726,0,0,0,0,0,289618,142046,43833
23,161884,94907,16235,47960,124229,110004,174103,9821,62021,54816,349828,65290,0,27591,192631,0,0,0,0,0,264123,132328,40834
24,153230,89833,15367,45396,108721,96272,152370,9360,59110,52244,333412,62226,0,25036,174788,0,0,0,0,0,229984,116892,36071
25,143342,84036,14376,42467,88248,78144,123678,8687,54860,48488,309438,57752,0,21576,150637,0,0,0,0,0,173561,96816,29876
26,152989,89692,15343,45325,107687,95356,150920,9302,58744,51921,331347,61841,0,24511,171125,0,0,0,0,0,216207,116528,35958
27,165189,96844,16567,48939,134649,119232,188707,10137,64018,56582,361093,67392,0,29316,204670,0,0,0,0,0,284313,142816,44071
28,146775,86049,14720,43484,98035,86810,137394,8977,56694,50108,319780,59682,0,23007,160626,0,0,0,0,0,190889,106737,32937
29,145489,85295,14591,43103,90576,80205,126940,8718,55055,48660,310536,57956,0,22067,154061,0,0,0,0,0,166749,99350,30658
30,140066,82116,14047,41496,78325,69357,109771,8345,52699,46578,297252,55477,0,19809,138302,0,0,0,0,0,155421,87573,27024
31,130695,76622,13107,38720,78777,69757,110403,8138,51393,45423,289884,54102,0,19629,137042,0,0,0,0,0,150259,86807,26787
32,128120,75112,12849,37957,78323,69355,109768,8041,50780,44882,286426,53457,0,19003,132669,0,0,0,0,0,166736,87253,26925
33,124525,73004,12488,36892,63742,56443,89332,7653,48329,42715,272600,50876,0,16361,114230,0,0,0,0,0,131081,73892,22802
34,122082,71572,12243,36168,56702,50209,79466,7432,46935,41483,264736,49408,0,15664,109361,0,0,0,0,0,110855,67448,20813
35,131584,77143,13196,38983,77958,69032,109256,8193,51745,45735,291870,54473,0,18743,130853,0,0,0,0,0,156163,87138,26889
36,140620,82440,14103,41660,94365,83560,132250,8725,55104,48703,310813,58008,0,22047,153924,0,0,0,0,0,198634,102661,31679
37,137022,80331,13742,40594,89554,79300,125508,8482,53564,47342,302131,56388,0,21658,151209,0,0,0,0,0,189513,98047,30255
38,142234,83386,14264,42138,103483,91634,145028,8870,56017,49510,315964,58969,0,24232,169181,0,0,0,0,0,222446,111088,34280
39,140009,82082,14041,41479,98180,86938,137597,8704,54967,48582,310042,57864,0,23219,162103,0,0,0,0,0,204315,106257,32789
40,135130,79222,13552,40034,89521,79271,125461,8379,52917,46770,298478,55706,0,21721,151649,0,0,0,0,0,175922,96621,29815
41,141035,82683,14144,41783,97370,86221,136461,8697,54926,48546,309812,57821,0,22921,160024,0,0,0,0,0,204537,105297,32493
42,147945,86735,14837,43830,111691,98902,156532,9118,57581,50893,324787,60616,0,25666,179185,0,0,0,0,0,222735,119462,36864
43,155855,91372,15630,46174,129047,114271,180855,9675,61099,54002,344628,64319,0,28623,199835,0,0,0,0,0,270458,135859,41924
44,157754,92485,15821,46737,136602,120961,191444,9936,62749,55460,353934,66056,0,29802,208062,0,0,0,0,0,287146,143469,44272
45,158104,92691,15856,46840,137546,121796,192766,9993,63108,55777,355959,66434,0,29980,209308,0,0,0,0,0,280682,144243,44511
46,164871,96658,16535,48845,149198,132114,209096,10266,64833,57302,365693,68251,0,32331,225718,0,0,0,0,0,314308,155481,47979
47,156699,91867,15715,46424,119192,105544,167044,9376,59211,52334,333982,62332,0,27091,189139,0,0,0,0,0,252369,125854,38837
48,146056,85627,14648,43271,105346,93283,147639,9008,56887,50279,320870,59885,0,24172,168757,0,0,0,0,0,207331,112706,34779
49,133648,78353,13403,39595,87856,77796,123128,8349,52729,46604,297419,55508,0,21665,151256,0,0,0,0,0,179662,95622,29507
50,123298,72285,12365,36529,64223,56869,90007,7697,48607,42961,274168,51169,0,17050,119036,0,0,0,0,0,138817,73801,22774
51,121520,71242,12187,36002,62257,55128,87251,7641,48254,42649,272178,50797,0,16694,116553,0,0,0,0,0,134256,72206,22281
52,125820,73763,12618,37275,71005,62874,99511,7838,49503,43753,279222,52112,0,18258,127471,0,0,0,0,0,140688,80257,24766
53,126921,74409,12729,37602,67401,59683,94461,7810,49322,43593,278201,51922,0,17395,121447,0,0,0,0,0,116676,77038,23773
54,134803,79030,13519,39937,85186,75432,119386,8416,53148,46974,299782,55949,0,20071,140126,0,0,0,0,0,176988,93392,28819
55,140581,82417,14099,41649,94094,83320,131870,8685,54849,48478,309378,57740,0,21727,151692,0,0,0,0,0,192623,102093,31504
56,151880,89042,15232,44996,118775,105175,166459,9433,59575,52654,336031,62715,0,26272,183420,0,0,0,0,0,245758,126375,38997
57,146002,85596,14642,43255,102929,91144,144253,8864,55978,49476,315744,58928,0,23838,166427,0,0,0,0,0,208966,110068,33965
58,139142,81574,13954,41223,92516,81923,129659,8539,53928,47664,304184,56771,0,22118,154416,0,0,0,0,0,189062,100502,31013
59,138618,81267,13902,41067,87709,77666,122921,8931,56405,49853,318154,59378,0,21169,147794,0,0,0,0,0,179840,97155,29980
60,132448,77649,13283,39239,78785,69764,110416,8702,54957,48573,309987,57854,0,19803,138259,0,0,0,0,0,160307,88754,27388
61,150124,88012,15056,44476,110038,97438,154215,9732,61460,54321,346664,64699,0,24863,173582,0,0,0,0,0,228246,119302,36815
62,156248,91602,15670,46290,118342,104792,165853,9942,62787,55494,354153,66097,0,26817,187221,0,0,0,0,0,248265,126735,39108
63,131620,77164,13200,38994,69611,61640,97558,8412,53124,46953,299648,55924,0,17988,125587,0,0,0,0,0,139608,79803,24626
64,139298,81665,13970,41269,88528,78391,124069,8972,56663,50082,319611,59650,0,21685,151399,0,0,0,0,0,186236,98348,30349
65,153619,90061,15406,45511,113117,100165,158531,9682,61143,54041,344878,64366,0,26672,186210,0,0,0,0,0,226553,121891,37614
66,133243,78115,13363,39475,78874,69843,110540,8735,55163,48756,311150,58071,0,19568,136617,0,0,0,0,0,161994,89121,27501
67,130825,76698,13120,38758,65493,57994,91786,8291,52359,46277,295332,55119,0,17223,120246,0,0,0,0,0,127847,76994,23759
68,149161,87447,14959,44191,104521,92553,146483,9450,59679,52747,336619,62824,0,24410,170417,0,0,0,0,0,220854,112878,34832
69,144903,84951,14532,42929,101092,89517,141678,9305,58767,51941,331478,61865,0,23697,165443,0,0,0,0,0,217517,109685,33847
70,127414,74698,12778,37748,66504,58889,93204,8313,52501,46402,296132,55268,0,17529,122381,0,0,0,0,0,146106,77474,23907
71,129712,76046,13009,38429,71574,63378,100309,8427,53222,47040,300201,56028,0,18336,128018,0,0,0,0,0,151694,81330,25097
