,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,148319,86954,14875,43941,101730,90082,142572,9101,57477,50801,324200,60507,0,23676,165294,0,0,0,0,0,178374,115036,35498
1,141906,83194,14232,42041,90233,79901,126460,8660,54690,48338,308481,57573,0,21880,152757,0,0,0,0,0,157942,101995,31474
2,147204,86300,14763,43611,97977,86759,137312,8908,56259,49724,317329,59224,0,23084,161162,0,0,0,0,0,206682,110551,34114
3,154739,90718,15519,45843,106723,94503,149569,9240,58356,51578,329159,61432,0,24710,172511,0,0,0,0,0,204680,118630,36607
4,148876,87281,14931,44106,97774,86578,137027,8895,56174,49649,316851,59135,0,23556,164459,0,0,0,0,0,177216,109478,33783
5,143855,84337,14427,42619,92734,82116,129964,8785,55478,49034,312925,58402,0,22279,155544,0,0,0,0,0,163687,104052,32109
6,157016,92053,15747,46518,113722,100700,159378,9457,59722,52785,336864,62870,0,25762,179858,0,0,0,0,0,224417,125527,38736
7,153969,90266,15441,45615,107403,95105,150522,9165,57880,51157,326474,60931,0,25258,176337,0,0,0,0,0,202108,118865,36680
8,146672,85989,14710,43453,92949,82306,130265,8727,55115,48713,310875,58020,0,22812,159263,0,0,0,0,0,172061,103914,32066
9,140460,82347,14087,41613,85036,75299,119175,8556,54037,47760,304798,56885,0,20751,144877,0,0,0,0,0,163981,96141,29667
10,141820,83144,14223,42016,84777,75069,118812,8544,53958,47691,304353,56802,0,20808,145270,0,0,0,0,0,155368,95828,29571
11,130936,76763,13131,38791,65042,57595,91155,7996,50496,44630,284823,53158,0,16780,117149,0,0,0,0,0,128265,76449,23591
12,135737,79577,13613,40214,74871,66298,104930,8247,52081,46032,293765,54826,0,18967,132417,0,0,0,0,0,139140,86282,26625
13,126576,74207,12694,37500,60813,53849,85227,7890,49828,44040,281056,52454,0,16000,111703,0,0,0,0,0,123792,72500,22372
14,168359,98703,16885,49878,126111,111671,176741,9830,62082,54870,350172,65354,0,27573,192501,0,0,0,0,0,264168,139222,42962
15,183998,107871,18453,54512,161697,143182,226613,10986,69380,61321,391338,73037,0,33792,235917,0,0,0,0,0,360503,173230,53456
16,160330,93995,16079,47500,117905,104404,165240,9595,60598,53559,341803,63792,0,26666,186167,0,0,0,0,0,235221,128985,39803
17,141020,82675,14143,41779,83271,73736,116702,8552,54010,47736,304641,56856,0,20135,140577,0,0,0,0,0,172927,94402,29131
18,144021,84434,14444,42668,89042,78847,124790,8670,54757,48397,308859,57643,0,21403,149424,0,0,0,0,0,190351,100296,30950
19,136164,79828,13656,40340,74852,66281,104903,8261,52170,46110,294266,54920,0,18691,130492,0,0,0,0,0,143951,86217,26605
20,132837,77877,13322,39354,67744,59987,94942,8066,50943,45025,287343,53628,0,17278,120629,0,0,0,0,0,136070,79056,24395
21,145921,85548,14634,43231,93527,82817,131075,8820,55704,49233,314197,58640,0,21934,153132,0,0,0,0,0,185576,104810,32342
22,149591,87700,15002,44318,103064,91263,144442,9051,57158,50518,322399,60170,0,24368,170125,0,0,0,0,0,203052,114643,35377
23,146509,85893,14693,43405,96788,85706,135646,8830,55765,49287,314541,58704,0,23280,162529,0,0,0,0,0,183928,107609,33206
24,143650,84217,14406,42558,89700,79429,125712,8639,54557,48220,307728,57432,0,21735,151748,0,0,0,0,0,170031,100731,31084
