,0,1,2,3,4,5
0,6427,2183,1054,1581,1493,3660
1,5780,2022,965,1440,1383,3294
2,5507,2002,945,1390,1351,3147
3,5245,2050,913,1373,1308,2997
4,5007,2050,893,1351,1310,2966
5,5131,2172,945,1414,1392,3084
6,5260,2297,1001,1456,1464,3180
7,5527,2420,1035,1540,1513,3332
8,5564,2388,1051,1570,1512,3280
9,6090,2542,1120,1726,1624,3540
10,6471,2691,1230,1861,1662,3750
11,7148,2772,1309,2001,1776,4093
12,7853,2897,1376,2104,1811,4429
13,7959,2835,1331,2095,1798,4445
14,8177,2763,1314,2089,1704,4545
15,8172,2788,1310,2070,1676,4556
16,8416,2910,1372,2143,1773,4708
17,8429,3115,1433,2232,1890,4735
18,10041,3531,1641,2563,2187,5668
19,10055,3504,1648,2535,2207,5673
20,9532,3347,1548,2400,2098,5401
21,9037,3168,1481,2260,2019,5101
22,8362,2988,1382,2095,1878,4724
23,7373,2670,1230,1819,1713,4198
24,5831,2177,1020,1520,1505,3439
25,5382,2120,982,1413,1399,3146
26,5099,2110,966,1383,1368,2992
27,5008,2180,964,1395,1387,2972
28,4917,2262,1006,1428,1434,2974
29,5264,2460,1077,1548,1578,3192
30,5649,2719,1204,1715,1746,3489
31,6594,3062,1388,1976,1971,4030
32,6948,3273,1470,2112,2066,4252
33,7393,3381,1529,2245,2183,4513
34,7696,3487,1602,2332,2286,4645
35,8331,3600,1669,2443,2369,5004
36,8838,3662,1717,2509,2419,5226
37,8885,3505,1626,2426,2303,5145
38,9053,3322,1582,2372,2181,5158
39,9805,3402,1621,2458,2209,5550
40,10644,3703,1746,2641,2423,6091
41,11882,4098,1929,2935,2666,6772
42,11446,4017,1899,2876,2684,6736
43,9588,3638,1709,2540,2506,5739
44,9014,3453,1632,2420,2385,5483
45,8330,3307,1553,2284,2260,5132
46,7567,3068,1444,2110,2122,4710
47,6865,2821,1318,1909,1944,4292
48,6268,2653,1227,1829,1795,4018
49,5815,2512,1174,1724,1693,3771
50,5578,2466,1146,1683,1647,3608
51,5516,2457,1133,1679,1610,3620
52,5492,2475,1152,1682,1631,3650
53,5958,2671,1238,1828,1718,3934
54,7471,3097,1465,2194,2007,4875
55,9830,3716,1804,2761,2370,6234
56,10247,3790,1869,2829,2453,6439
57,10099,3707,1864,2794,2491,6307
58,9760,3680,1830,2734,2407,6098
59,10087,3710,1840,2814,2422,6228
60,10374,3720,1917,2857,2438,6331
61,10437,3693,1882,2832,2395,6276
62,10638,3644,1848,2809,2403,6376
63,11392,3736,1908,2926,2412,6778
64,12497,4008,2061,3167,2575,7403
65,13904,4391,2195,3515,2812,8221
66,13984,4401,2207,3510,2928,8461
67,12574,4049,2045,3212,2783,7791
68,12089,3912,1969,3091,2657,7581
69,9281,3294,1621,2447,2246,5847
70,8143,2874,1419,2119,2083,5200
71,7508,2629,1299,1937,1908,4794
72,6880,2530,1233,1838,1696,4322
73,6463,2408,1181,1748,1615,4084
74,6315,2396,1164,1723,1603,4002
75,6292,2420,1159,1745,1632,4029
76,6349,2497,1180,1787,1697,4099
77,6870,2660,1273,1926,1817,4408
78,8669,3175,1542,2368,2155,5523
79,11315,4015,1915,3042,2559,6988
80,11953,4089,1999,3197,2685,7377
81,11724,4016,1968,3151,2700,7189
82,11132,3968,1929,3088,2632,6768
83,11277,4012,1948,3109,2675,6838
84,11437,4050,1953,3119,2657,6922
85,11305,3900,1899,3033,2515,6642
86,11412,3766,1858,2966,2425,6721
87,12228,3881,1888,3101,2453,7186
88,13469,4151,2025,3387,2698,7901
89,14835,4513,2198,3690,2990,8604
90,14727,4459,2197,3672,3044,8656
91,13151,4068,2032,3354,2861,7845
92,12507,3919,1942,3207,2743,7514
93,9307,3213,1573,2480,2256,5663
94,8047,2878,1425,2168,1988,4893
95,7342,2639,1282,1962,1817,4485
96,6464,2399,1158,1753,1652,4043
97,6023,2271,1106,1648,1562,3818
98,5798,2260,1079,1612,1512,3660
99,5740,2269,1067,1615,1502,3626
