,0,1,2,3,4,5
0,6473,2338,1126,1666,1555,3740
1,5821,2161,1034,1517,1440,3369
2,5550,2126,1014,1461,1415,3229
3,5303,2111,968,1417,1375,3122
4,5096,2157,972,1401,1390,3057
5,5248,2318,1034,1484,1506,3197
6,5392,2490,1107,1564,1638,3349
7,5701,2715,1183,1699,1774,3545
8,5808,2818,1260,1795,1839,3550
9,6376,3048,1351,1973,1982,3815
10,6782,3222,1478,2125,2036,4044
11,7478,3322,1570,2281,2177,4411
12,8175,3467,1633,2385,2236,4737
13,8247,3355,1563,2345,2195,4703
14,8418,3191,1501,2293,2044,4742
15,8395,3211,1481,2259,1981,4723
16,8638,3331,1543,2335,2085,4883
17,8633,3506,1598,2418,2209,4908
18,10210,3859,1785,2726,2465,5827
19,10177,3766,1754,2662,2435,5794
20,9638,3567,1639,2514,2308,5503
21,9136,3362,1563,2369,2208,5213
22,8448,3163,1463,2203,2055,4842
23,7447,2810,1300,1909,1849,4319
24,5946,2373,1105,1598,1602,3582
25,5457,2251,1039,1497,1497,3252
26,5143,2188,1003,1442,1442,3065
27,5024,2208,982,1426,1419,3019
28,4926,2272,1014,1434,1419,3013
29,5268,2457,1082,1548,1521,3239
30,5634,2679,1190,1700,1670,3541
31,6565,3000,1361,1952,1869,4090
32,6901,3180,1427,2056,1941,4283
33,7342,3274,1482,2180,2034,4538
34,7649,3352,1544,2258,2125,4676
35,8291,3442,1615,2357,2198,5049
36,8820,3551,1680,2440,2267,5311
37,8944,3509,1652,2427,2240,5310
38,9177,3456,1662,2438,2209,5422
39,9988,3676,1754,2579,2308,5886
40,10840,3997,1884,2766,2516,6473
41,12068,4374,2059,3060,2742,7163
42,11629,4271,2026,2993,2743,7155
43,9738,3835,1807,2615,2526,6146
44,9162,3599,1711,2473,2378,5877
45,8495,3447,1632,2330,2250,5538
46,7731,3196,1520,2145,2100,5112
47,7033,2955,1398,1944,1915,4719
48,6462,2834,1327,1881,1772,4484
49,6020,2717,1286,1791,1662,4260
50,5821,2721,1287,1782,1625,4136
51,5805,2805,1310,1823,1617,4175
52,5833,2926,1378,1879,1652,4228
53,6335,3210,1494,2072,1793,4519
54,7886,3725,1762,2486,2126,5471
55,10274,4383,2118,3093,2532,6842
56,10785,4531,2212,3203,2638,7049
57,10676,4513,2228,3202,2759,6896
58,10357,4509,2216,3176,2770,6653
59,10682,4551,2229,3250,2879,6745
60,10972,4586,2310,3290,2973,6828
61,10944,4496,2262,3221,2979,6755
62,11129,4469,2235,3196,2994,6831
63,11823,4522,2262,3276,2972,7205
64,12929,4809,2420,3521,3151,7866
65,14334,5186,2560,3888,3399,8711
66,14419,5181,2563,3876,3492,8959
67,13010,4859,2399,3588,3356,8291
68,12543,4734,2333,3477,3227,8102
69,9769,4148,2008,2843,2840,6387
70,8651,3842,1851,2580,2697,5767
71,8030,3585,1729,2413,2536,5375
72,7475,3472,1660,2327,2379,4934
73,7086,3394,1624,2266,2311,4730
74,6920,3382,1610,2260,2293,4664
75,6902,3404,1604,2330,2314,4716
76,6974,3473,1641,2375,2394,4795
77,7515,3663,1738,2541,2549,5128
78,9331,4211,2016,2993,2895,6272
79,11986,5031,2378,3679,3334,7719
80,12596,5075,2442,3814,3438,8062
81,12350,4990,2398,3747,3424,7853
82,11759,4912,2359,3673,3354,7395
83,11884,4943,2370,3670,3386,7425
84,12041,4959,2364,3663,3334,7464
85,11762,4709,2268,3467,3070,7153
86,11804,4498,2173,3322,2864,7113
87,12572,4543,2159,3404,2813,7534
88,13802,4785,2286,3666,3004,8249
89,15152,5101,2454,3955,3254,8945
90,15012,4953,2420,3904,3284,8959
91,13402,4492,2216,3551,3063,8115
92,12728,4283,2099,3377,2904,7759
93,9507,3560,1717,2640,2387,5914
94,8235,3189,1565,2311,2096,5148
95,7520,2928,1423,2099,1897,4735
96,6630,2660,1290,1880,1723,4284
97,6176,2506,1227,1764,1614,4052
98,5934,2455,1187,1711,1552,3928
99,5864,2448,1168,1704,1539,3892
100,5853,2492,1183,1730,1572,3926
101,6352,2694,1285,1881,1711,4217
102,7957,3233,1557,2337,2034,5250
103,10473,3906,1942,2970,2434,6685
104,11010,4049,2014,3114,2567,6911
105,10860,4067,1969,3064,2576,6790
106,10535,4028,1953,3002,2541,6522
107,10903,4066,1956,3036,2606,6619
108,11017,4081,1942,3031,2551,6556
109,10845,3838,1830,2874,2369,6284
110,11040,3648,1777,2813,2283,6265
111,11906,3716,1802,2932,2342,6724
112,12983,3980,1949,3197,2549,7387
113,14162,4353,2123,3515,2818,8101
114,14129,4263,2097,3492,2889,8232
115,12363,3931,1907,3145,2677,7333
116,11824,3795,1822,2982,2569,7058
117,9134,3107,1507,2347,2099,5473
118,7886,2726,1334,2079,1894,4780
119,7128,2499,1219,1875,1696,4314
120,6360,2298,1131,1653,1487,3711
121,5890,2070,1011,1503,1374,3425
122,5646,2094,981,1475,1327,3271
123,5530,2059,950,1450,1302,3207
124,5455,2068,943,1450,1304,3167
125,5876,2205,1015,1562,1388,3394
126,7260,2594,1215,1929,1633,4254
127,9597,3226,1524,2493,1995,5531
128,10145,3412,1626,2654,2111,5776
129,10176,3419,1626,2650,2195,5701
130,9828,3391,1583,2578,2103,5426
131,10097,3410,1612,2635,2125,5556
132,10297,3430,1638,2675,2158,5679
133,10199,3407,1589,2598,2111,5637
134,10442,3386,1588,2614,2105,5754
135,11293,3555,1670,2768,2154,6180
136,12332,3854,1776,3003,2335,6703
137,13527,4168,1925,3259,2575,7385
138,13040,4077,1908,3239,2580,7327
139,11200,3698,1738,2857,2387,6397
140,10564,3518,1622,2710,2253,6039
141,8585,2877,1355,2176,1935,4955
142,7631,2532,1220,1929,1730,4423
143,7029,2362,1106,1748,1591,4071
144,6440,2261,1034,1610,1484,3817
145,5692,2111,963,1447,1420,3386
146,5460,2097,945,1408,1406,3259
147,5302,2113,926,1389,1401,3185
148,5156,2167,939,1392,1417,3138
149,5483,2304,1007,1496,1518,3418
150,5829,2540,1104,1636,1660,3740
151,6352,2926,1268,1866,1875,4074
152,6753,3263,1403,2098,2090,4266
153,7508,3623,1582,2322,2370,4727
154,8104,3887,1736,2509,2554,5051
155,8780,4027,1848,2673,2710,5335
156,9477,4208,1911,2802,2871,5664
157,9404,4017,1880,2721,2741,5566
158,9503,3978,1870,2695,2632,5471
159,9386,3938,1826,2657,2534,5357
160,9689,4133,1867,2781,2626,5518
161,9533,4191,1878,2772,2747,5474
162,10881,4463,2059,3057,2973,6305
163,10760,4391,2014,3024,3004,6268
164,10139,4185,1902,2849,2891,5973
165,9651,4071,1839,2717,2839,5722
166,8997,3777,1735,2520,2671,5378
167,7980,3464,1581,2279,2444,4791
168,6625,3171,1434,1993,2176,4015
169,5913,2974,1349,1831,2065,3610
170,5650,2959,1328,1791,2030,3484
171,5434,2955,1302,1782,2003,3419
172,5307,2998,1321,1790,2029,3416
173,5490,3128,1383,1871,2117,3553
174,5684,3287,1449,1972,2248,3732
175,6062,3568,1528,2088,2366,3983
176,6210,3616,1579,2162,2444,4102
177,6747,3800,1654,2331,2526,4410
178,7207,3882,1760,2452,2572,4675
179,7835,3948,1824,2587,2654,5037
180,8504,4025,1872,2689,2721,5297
181,8488,3856,1800,2645,2596,5214
182,8661,3690,1723,2568,2426,5193
183,8660,3659,1670,2514,2366,5145
184,8950,3808,1753,2590,2427,5325
185,8911,3900,1775,2638,2547,5321
186,10421,4218,1960,2957,2768,6167
187,10355,4138,1916,2919,2749,6111
188,9841,3930,1826,2776,2634,5829
189,9239,3708,1753,2631,2573,5545
190,8527,3412,1623,2440,2379,5116
