,0,1,2,3,4,5
0,6379,2162,1139,1602,1443,3680
1,5736,1999,1053,1461,1338,3317
2,5467,1955,1032,1398,1312,3169
3,5216,1919,984,1340,1263,3046
4,4997,1941,995,1313,1263,2961
5,5138,2051,1050,1382,1355,3081
6,5272,2209,1110,1453,1465,3220
7,5572,2418,1176,1575,1580,3401
8,5663,2499,1249,1656,1621,3403
9,6214,2716,1334,1827,1749,3665
10,6614,2860,1458,1968,1795,3892
11,7291,2951,1551,2119,1920,4248
12,7989,3080,1610,2232,1985,4581
13,8093,3045,1552,2222,1973,4570
14,8297,2948,1502,2200,1878,4638
15,8296,2982,1489,2179,1843,4636
16,8530,3104,1539,2254,1938,4786
17,8527,3260,1594,2334,2047,4809
18,10106,3622,1780,2645,2309,5728
19,10079,3533,1742,2586,2281,5705
20,9535,3331,1633,2436,2155,5414
21,9022,3123,1561,2280,2048,5123
22,8320,2912,1457,2103,1893,4738
23,7315,2546,1290,1809,1675,4205
24,5810,2117,1098,1501,1432,3475
25,5326,2009,1031,1407,1336,3147
26,5019,1944,998,1350,1286,2966
27,4899,1945,977,1322,1257,2909
28,4786,1979,1018,1321,1248,2883
29,5115,2126,1078,1421,1325,3085
30,5469,2334,1171,1562,1454,3371
31,6396,2642,1336,1806,1644,3907
32,6713,2806,1402,1902,1691,4103
33,7153,2893,1453,2019,1792,4350
34,7457,2955,1517,2093,1878,4479
35,8084,3053,1590,2190,1937,4843
36,8600,3143,1651,2278,2018,5104
37,8734,3108,1625,2269,1997,5107
38,8981,3078,1647,2289,1983,5222
39,9804,3297,1745,2435,2090,5681
40,10658,3608,1869,2625,2293,6255
41,11888,3984,2042,2915,2520,6936
42,11447,3902,2012,2846,2535,6929
43,9563,3459,1788,2479,2328,5926
44,8983,3223,1699,2333,2184,5653
45,8304,3060,1617,2183,2055,5309
46,7523,2816,1507,1986,1910,4874
47,6827,2543,1380,1778,1714,4465
48,6252,2440,1320,1717,1583,4221
49,5812,2324,1281,1633,1485,3989
50,5614,2309,1282,1610,1453,3861
51,5584,2356,1303,1626,1434,3876
52,5592,2430,1378,1659,1455,3898
53,6070,2650,1487,1824,1563,4165
54,7601,3150,1739,2225,1884,5110
55,9984,3781,2091,2818,2264,6474
56,10466,3904,2184,2908,2350,6697
57,10346,3858,2196,2894,2437,6549
58,10017,3833,2184,2857,2418,6319
59,10324,3883,2192,2929,2486,6416
60,10607,3879,2274,2973,2559,6516
61,10597,3807,2233,2919,2559,6460
62,10803,3811,2208,2916,2588,6552
63,11540,3929,2246,3036,2616,6964
64,12658,4230,2395,3291,2781,7620
65,14067,4603,2531,3649,3013,8454
66,14154,4629,2530,3643,3117,8713
67,12753,4297,2357,3359,2977,8052
68,12275,4140,2295,3238,2859,7860
69,9481,3547,1972,2592,2449,6140
70,8337,3233,1812,2314,2289,5506
71,7705,2958,1690,2131,2106,5102
72,7138,2841,1626,2041,1953,4655
73,6745,2760,1590,1971,1874,4440
74,6580,2723,1573,1945,1845,4362
75,6551,2735,1563,1978,1837,4387
76,6610,2782,1606,2005,1885,4436
77,7127,2933,1700,2147,1999,4739
78,8928,3466,1968,2587,2324,5867
79,11577,4271,2341,3269,2745,7311
80,12184,4318,2400,3398,2836,7664
81,11933,4215,2352,3338,2826,7459
82,11342,4126,2315,3255,2752,7011
83,11461,4153,2317,3256,2779,7054
84,11630,4192,2309,3275,2763,7115
85,11416,4008,2208,3144,2585,6854
86,11527,3909,2135,3078,2490,6874
87,12341,4031,2133,3200,2495,7332
88,13585,4297,2256,3477,2692,8044
89,14950,4638,2424,3771,2961,8743
90,14825,4534,2387,3737,3021,8780
91,13229,4100,2173,3399,2813,7954
92,12565,3912,2071,3232,2677,7607
93,9344,3184,1696,2488,2169,5762
94,8063,2818,1541,2159,1888,4993
95,7351,2564,1399,1949,1693,4574
96,6469,2329,1273,1742,1541,4133
97,6023,2194,1212,1631,1450,3905
98,5792,2143,1173,1577,1402,3782
99,5724,2131,1157,1567,1378,3736
100,5706,2155,1184,1583,1402,3746
101,6196,2316,1278,1717,1505,4007
102,7785,2837,1533,2159,1802,5026
103,10294,3498,1907,2780,2192,6444
104,10815,3609,1979,2908,2311,6671
105,10658,3604,1928,2842,2300,6545
106,10320,3538,1911,2775,2257,6272
107,10667,3583,1908,2805,2305,6366
108,10788,3608,1893,2826,2276,6326
109,10665,3443,1799,2713,2153,6106
110,10902,3358,1762,2696,2116,6132
111,11798,3457,1786,2829,2193,6616
112,12883,3735,1929,3097,2394,7262
113,14084,4102,2101,3416,2663,7979
114,14154,4068,2084,3401,2782,8128
115,12397,3718,1886,3063,2571,7237
116,11738,3586,1805,2903,2471,6969
117,9037,2888,1487,2263,2009,5390
118,7799,2515,1316,1988,1920,4692
119,7049,2281,1200,1786,1717,4225
120,6388,2097,1120,1571,1514,3627
121,5924,1913,1007,1440,1406,3351
122,5679,2148,1036,1509,1364,3298
123,5567,2106,1003,1479,1338,3238
124,5490,2112,1002,1476,1339,3192
125,5911,2238,1070,1583,1413,3414
126,7293,2623,1265,1950,1651,4269
127,9626,3251,1569,2510,2011,5542
128,10170,3428,1665,2659,2121,5782
129,10196,3422,1657,2652,2197,5706
130,9846,3389,1613,2578,2099,5429
131,10112,3403,1644,2632,2115,5557
132,10310,3423,1669,2672,2156,5678
133,10211,3399,1617,2596,2119,5635
134,10457,3385,1615,2610,2117,5760
135,11307,3565,1698,2767,2176,6183
136,12343,3857,1799,3003,2350,6708
137,13539,4164,1945,3262,2581,7394
138,13052,4088,1930,3247,2601,7343
139,11225,3726,1767,2875,2413,6425
140,10595,3557,1659,2738,2293,5998
141,8627,2935,1406,2212,1970,4907
142,7581,2415,1221,1884,1772,4371
143,6966,2215,1109,1701,1599,4009
144,6369,2101,1044,1560,1398,3754
145,5616,1957,975,1400,1326,3321
146,5386,1930,956,1351,1303,3195
147,5224,1930,937,1317,1281,3109
148,5065,1946,954,1310,1275,3044
149,5380,2051,1017,1395,1346,3295
150,5705,2255,1107,1520,1470,3581
151,6206,2571,1264,1719,1648,3881
152,6571,2844,1392,1919,1809,4053
153,7292,3131,1566,2116,2030,4486
154,7867,3336,1710,2281,2164,4785
155,8520,3434,1816,2434,2276,5050
156,9204,3593,1884,2555,2419,5378
157,9149,3462,1858,2499,2323,5313
158,9275,3486,1860,2503,2278,5252
159,9187,3482,1823,2486,2214,5165
160,9482,3659,1861,2601,2285,5313
161,9319,3704,1860,2582,2391,5250
162,10660,3978,2038,2868,2612,6083
163,10540,3927,1984,2835,2634,6056
164,9918,3717,1874,2654,2528,5763
165,9425,3572,1810,2515,2455,5514
166,8754,3280,1706,2310,2287,5163
167,7730,2947,1551,2061,2042,4563
168,6368,2667,1407,1781,1785,3787
169,5661,2472,1323,1619,1669,3382
170,5402,2447,1300,1572,1635,3256
171,5183,2417,1271,1544,1590,3166
172,5048,2443,1298,1537,1592,3135
173,5221,2534,1352,1603,1652,3244
174,5406,2681,1401,1700,1768,3416
175,5782,2947,1483,1809,1882,3654
176,5908,2985,1521,1876,1942,3779
177,6442,3163,1592,2035,2013,4087
178,6903,3220,1703,2152,2050,4349
179,7515,3299,1763,2294,2121,4707
180,8186,3385,1809,2412,2212,4994
181,8215,3290,1746,2404,2141,4954
182,8445,3226,1692,2376,2053,4975
183,8479,3245,1654,2348,2042,4961
184,8764,3384,1731,2426,2091,5136
185,8728,3477,1744,2476,2203,5128
186,10242,3836,1933,2798,2439,5985
187,10188,3749,1882,2767,2437,5944
188,9674,3541,1798,2619,2336,5668
189,9061,3315,1726,2464,2256,5377
190,8337,3033,1597,2265,2071,4941
191,7260,2672,1420,1967,1824,4306
192,5993,2306,1257,1641,1593,3685
193,5577,2212,1199,1554,1506,3436
194,5354,2179,1178,1520,1467,3312
195,5313,2185,1156,1507,1457,3302
196,5303,2192,1188,1508,1471,3303
197,5784,2358,1268,1654,1569,3575
198,7291,2870,1502,2066,1851,4535
199,9737,3550,1818,2665,2238,5956
200,10295,3613,1891,2753,2350,6245
201,10150,3577,1879,2725,2390,6091
202,9770,3560,1854,2674,2294,5810
203,10042,3584,1896,2750,2332,5901
204,10257,3637,1897,2798,2383,5875
205,10062,3456,1799,2696,2246,5653
206,10167,3372,1752,2694,2165,5639
207,10853,3505,1814,2831,2191,5956
208,11873,3830,1929,3051,2366,6524
209,13124,4210,2084,3337,2611,7183
210,13286,4179,2126,3379,2728,7401
211,11675,3839,1941,3025,2508,6626
212,11190,3661,1887,2888,2432,6456
213,8763,3045,1591,2311,2084,5111
214,7607,2692,1399,2029,1868,4492
215,6810,2460,1297,1834,1682,4056
216,6038,2319,1219,1688,1540,3685
217,5573,2238,1179,1599,1445,3405
218,5343,2229,1162,1562,1420,3280
219,5272,2244,1151,1546,1404,3263
220,5241,2283,1179,1550,1420,3281
221,5730,2476,1265,1684,1527,3560
222,7120,2863,1458,2034,1786,4457
223,9468,3459,1760,2578,2186,5861
224,10002,3551,1822,2703,2246,6160
225,9874,3481,1783,2668,2233,5970
226,9576,3418,1773,2618,2177,5687
227,9917,3503,1797,2660,2183,5771
228,10169,3576,1826,2690,2241,5804
229,10041,3490,1773,2620,2172,5668
230,10213,3422,1774,2645,2112,5729
231,11025,3484,1839,2802,2172,6198
232,12052,3766,1960,3037,2338,6802
233,13303,4190,2088,3330,2562,7452
234,13089,4135,2079,3280,2637,7513
235,11366,3837,1864,2932,2474,6638
236,10863,3586,1782,2757,2440,6348
237,8605,2952,1490,2210,2075,5012
238,7515,2651,1327,1914,1875,4402
239,6732,2321,1195,1709,1639,3913
240,5824,2097,1068,1540,1432,3424
241,5368,1973,993,1431,1405,3145
242,5129,1921,967,1379,1367,3016
243,5069,1929,954,1368,1351,2980
244,5040,1961,980,1378,1361,2976
245,5516,2123,1063,1508,1454,3262
246,6876,2595,1261,1857,1715,4164
247,9268,3248,1555,2390,2098,5585
248,9960,3596,1701,2640,2177,5921
249,9850,3525,1654,2641,2185,5772
250,9527,3421,1632,2568,2121,5461
251,9846,3432,1667,2610,2176,5577
252,10130,3468,1679,2657,2189,5619
253,10046,3355,1617,2600,2135,5464
254,10292,3299,1611,2621,2103,5533
255,11113,3499,1675,2783,2156,5985
256,12149,3768,1820,3012,2339,6589
257,13333,4151,1976,3283,2567,7231
258,13204,4041,1954,3247,2609,7250
259,11540,3659,1744,2877,2399,6393
260,11004,3458,1640,2698,2310,6104
261,8719,2780,1340,2119,1906,4833
262,7571,2375,1164,1809,1663,4188
263,6759,2115,1023,1597,1461,3691
264,5697,1878,904,1392,1232,3129
265,5243,1778,841,1283,1143,2864
266,4987,1743,809,1237,1111,2753
267,4897,1752,799,1225,1113,2717
268,4836,1804,811,1237,1139,2687
269,5277,1959,890,1364,1249,2958
270,6650,2428,1105,1725,1544,3835
271,8901,3049,1396,2233,1924,5219
272,9578,3259,1484,2364,2008,5546
273,9709,3301,1496,2431,2031,5550
274,9556,3313,1505,2463,2050,5406
275,9968,3456,1592,2593,2105,5624
276,10355,3524,1650,2725,2160,5727
277,10388,3442,1579,2664,2119,5649
278,10668,3451,1570,2673,2110,5745
279,11502,3635,1652,2835,2176,6250
280,12538,3874,1796,3074,2394,6869
281,13604,4207,1937,3327,2585,7493
282,13109,4196,1945,3321,2586,7307
283,11366,3851,1779,2963,2443,6432
284,10792,3669,1687,2803,2357,6170
285,8739,2991,1412,2233,2077,5019
286,7670,2632,1264,1949,1866,4391
287,6915,2388,1139,1738,1661,3917
288,6185,2216,1052,1561,1536,3383
289,5684,1825,911,1346,1267,3111
290,5412,1809,889,1303,1228,2970
291,5148,1840,887,1296,1206,2923
292,5008,1882,907,1299,1201,2864
293,5478,2015,970,1427,1292,3113
294,6567,2381,1131,1731,1471,3802
295,8648,2989,1414,2227,1824,4952
296,9394,3220,1539,2419,1982,5297
297,9543,3299,1572,2516,2074,5341
298,9377,3339,1585,2490,2076,5186
299,9585,3412,1619,2559,2129,5351
300,9833,3432,1649,2596,2068,5502
301,9932,3615,1669,2639,2141,5579
302,10120,3524,1625,2579,2126,5704
303,11008,3549,1647,2676,2184,6229
304,12226,3724,1782,2892,2372,6882
305,13461,4039,1928,3160,2638,7554
306,12880,4003,1906,3135,2626,7401
307,11034,3611,1712,2788,2427,6456
308,10510,3474,1635,2629,2318,6150
309,8589,2919,1378,2131,2029,5086
310,7623,2565,1236,1894,1812,4571
311,6997,2333,1116,1676,1635,4184
312,6760,2216,1072,1610,1547,3993
313,5984,2017,970,1440,1398,3520
314,5690,1979,944,1380,1335,3360
315,5482,1923,912,1340,1287,3264
316,5314,1932,911,1337,1278,3172
317,5534,2035,948,1426,1336,3304
318,5842,2185,1022,1527,1418,3475
