,0,1,2,3,4,5
0,6173,1817,927,1430,1203,3464
1,5532,1669,850,1297,1105,3106
2,5256,1624,825,1237,1069,2948
3,5001,1584,777,1179,1018,2816
4,4780,1604,777,1151,1010,2727
5,4908,1695,817,1200,1107,2833
6,5015,1824,869,1261,1201,2964
7,5314,2033,933,1384,1352,3141
8,5396,2096,997,1457,1427,3132
9,6044,2298,1076,1620,1546,3386
10,6437,2407,1175,1751,1579,3611
11,7119,2722,1325,1892,1709,3942
12,7832,2869,1396,2118,1767,4388
13,7966,2876,1378,2136,1797,4418
14,8205,2843,1371,2147,1763,4516
15,8221,2905,1379,2142,1770,4534
16,8444,3005,1420,2204,1833,4672
17,8419,3143,1460,2257,1905,4667
18,9982,3450,1622,2548,2145,5561
19,9945,3332,1578,2471,2101,5526
20,9386,3100,1447,2301,1963,5238
21,8854,2849,1353,2128,1838,4920
22,8148,2606,1233,1938,1661,4518
23,7136,2248,1060,1637,1442,3978
24,5630,1817,867,1326,1197,3233
25,5153,1718,810,1238,1096,2919
26,4852,1673,783,1192,1042,2746
27,4723,1687,767,1179,1022,2698
28,4599,1708,785,1179,1027,2660
29,4916,1857,834,1272,1125,2848
30,5266,2046,930,1403,1249,3126
31,6195,2348,1101,1653,1454,3644
32,6517,2497,1156,1746,1509,3823
33,6950,2585,1211,1863,1604,4063
34,7256,2677,1271,1941,1687,4187
35,7886,2782,1333,2040,1763,4537
36,8408,2863,1396,2126,1826,4797
37,8512,2796,1355,2097,1783,4789
38,8733,2713,1350,2095,1748,4868
39,9533,2877,1422,2220,1820,5302
40,10384,3193,1550,2408,2024,5850
41,11623,3589,1725,2698,2267,6524
42,11172,3483,1674,2621,2269,6481
43,9289,3035,1470,2256,2064,5465
44,8713,2841,1387,2128,1947,5179
45,8023,2670,1298,1976,1801,4817
46,7240,2230,1134,1701,1649,4288
47,6441,1977,1000,1495,1471,3862
48,5858,1848,926,1426,1334,3592
49,5426,1732,886,1333,1210,3348
50,5211,1698,870,1304,1134,3198
51,5161,1695,871,1299,1126,3195
52,5136,1720,902,1309,1151,3209
53,5597,1908,986,1449,1255,3478
54,7106,2338,1213,1835,1552,4432
55,9477,2989,1558,2422,1902,5806
56,9946,3099,1645,2502,2002,6046
57,9816,3033,1647,2471,2036,5927
58,9483,3010,1620,2422,1980,5726
59,9807,3070,1636,2508,2006,5868
60,10187,3014,1685,2540,2144,5968
61,10139,3123,1668,2559,2052,5984
62,10332,3069,1636,2536,2017,6074
63,11094,3215,1724,2686,2058,6507
64,12228,3516,1885,2944,2232,7136
65,13652,3919,2032,3297,2491,7958
66,13743,3956,2042,3301,2615,8211
67,12332,3603,1881,3003,2480,7547
68,11840,3448,1797,2880,2369,7338
69,9024,2799,1439,2208,1928,5597
70,7872,2464,1257,1913,1736,4945
71,7230,2196,1120,1716,1542,4532
72,6650,2046,1034,1599,1373,4062
73,6237,1920,978,1506,1286,3819
74,6054,1878,952,1463,1250,3727
75,6012,1869,939,1467,1240,3726
76,6054,1913,951,1490,1271,3769
77,6565,2067,1040,1625,1381,4064
78,8361,2585,1309,2061,1703,5194
79,11012,3414,1678,2736,2110,6643
80,11645,3482,1759,2880,2225,6936
81,11410,3394,1727,2836,2230,6738
82,10818,3327,1679,2767,2166,6315
83,10961,3373,1695,2779,2207,6479
84,11176,3446,1716,2827,2207,6580
85,10990,3285,1667,2743,2079,6374
86,11147,3269,1674,2733,2053,6453
87,11987,3408,1721,2887,2086,6938
88,13248,3695,1868,3185,2323,7664
89,14626,4099,2052,3496,2604,8378
90,14520,4047,2050,3479,2674,8434
91,12944,3642,1870,3152,2483,7620
92,12287,3465,1767,2992,2373,7274
93,9068,2725,1388,2248,1875,5422
94,7799,2369,1234,1925,1603,4647
95,7093,2125,1086,1711,1430,4231
96,6212,1908,965,1504,1284,3783
97,5774,1776,913,1397,1207,3552
98,5545,1724,877,1347,1157,3428
99,5479,1717,865,1342,1145,3379
100,5458,1731,869,1350,1164,3382
101,5934,1886,950,1470,1266,3626
102,7517,2362,1200,1889,1542,4615
103,10025,3008,1569,2503,1922,6031
104,10525,3105,1621,2625,2021,6246
105,10359,3072,1568,2548,2002,6118
106,10010,2979,1529,2466,1953,5840
107,10358,3023,1520,2496,2010,5930
108,10503,3083,1528,2537,1985,5941
109,10413,3005,1498,2476,1902,5793
110,10696,2983,1518,2488,1907,5870
111,11624,3127,1586,2646,1988,6386
112,12719,3414,1748,2918,2186,7049
