,0,1,2,3,4,5
0,6337,2009,1244,1523,1391,3691
1,5694,1848,1163,1385,1283,3339
2,5424,1802,1146,1319,1246,3182
3,5176,1770,1100,1261,1184,3061
4,4959,1797,1127,1234,1176,2981
5,5089,1882,1172,1288,1247,3091
6,5214,2037,1237,1352,1354,3220
7,5511,2219,1306,1472,1459,3397
8,5607,2296,1385,1557,1486,3410
9,6149,2509,1463,1718,1609,3667
10,6547,2638,1591,1856,1656,3895
11,7215,2722,1678,2003,1777,4245
12,7916,2857,1751,2128,1848,4568
13,8027,2833,1683,2119,1855,4551
14,8254,2774,1623,2117,1800,4624
15,8258,2829,1600,2100,1779,4619
16,8491,2959,1647,2177,1874,4776
17,8485,3114,1711,2266,1970,4802
18,10059,3464,1890,2572,2230,5733
19,10037,3377,1830,2506,2192,5710
20,9494,3158,1721,2354,2073,5434
21,8970,2929,1660,2191,1974,5125
22,8254,2695,1548,2004,1818,4717
23,7244,2325,1375,1708,1598,4172
24,5733,1905,1185,1408,1358,3445
25,5251,1821,1124,1324,1272,3150
26,4946,1755,1094,1269,1216,2981
27,4817,1760,1072,1248,1161,2940
28,4700,1766,1111,1240,1148,2900
29,5017,1906,1165,1322,1210,3069
30,5366,2099,1258,1445,1331,3331
31,6282,2369,1405,1688,1515,3818
32,6598,2525,1472,1781,1559,4021
33,7049,2620,1522,1893,1660,4251
34,7345,2685,1597,1964,1755,4374
35,7966,2787,1667,2069,1805,4711
36,8449,2834,1702,2146,1885,4933
37,8562,2755,1610,2106,1843,4887
38,8786,2701,1585,2114,1803,4955
39,9591,2879,1636,2242,1876,5387
40,10438,3181,1757,2432,2077,5942
41,11661,3564,1936,2719,2292,6607
42,11209,3448,1882,2638,2296,6577
43,9314,2989,1637,2268,2087,5549
44,8734,2752,1557,2126,1957,5269
45,8025,2565,1464,1972,1798,4901
46,7229,2309,1349,1758,1640,4442
47,6527,2022,1214,1548,1432,3998
48,5938,1915,1146,1478,1300,3725
49,5496,1793,1097,1386,1217,3481
50,5279,1753,1073,1347,1186,3334
51,5222,1743,1059,1335,1161,3336
52,5199,1757,1101,1338,1173,3338
53,5647,1914,1174,1472,1243,3599
54,7146,2358,1379,1845,1546,4533
55,9520,2982,1721,2422,1894,5905
56,9980,3076,1806,2505,1966,6150
57,9861,3025,1811,2475,1995,6024
58,9534,2991,1800,2429,1948,5841
59,9837,3049,1817,2513,1967,5971
60,10107,3015,1868,2550,2001,6062
61,10086,2929,1792,2488,1951,5984
62,10299,2932,1758,2493,1940,6082
63,11083,3104,1829,2649,2001,6528
64,12225,3422,1995,2919,2178,7172
65,13652,3818,2149,3278,2435,7999
66,13739,3865,2150,3286,2547,8257
67,12324,3495,1955,2978,2404,7577
68,11836,3326,1884,2859,2297,7402
69,9007,2689,1543,2192,1842,5668
70,7844,2360,1366,1898,1651,5013
71,7203,2078,1234,1697,1460,4598
72,6627,1955,1167,1596,1290,4143
73,6223,1861,1117,1511,1216,3911
74,6057,1818,1102,1469,1180,3833
75,6015,1816,1083,1466,1165,3817
76,6056,1844,1100,1478,1179,3836
77,6565,1955,1179,1605,1285,4113
78,8343,2462,1415,2025,1591,5221
79,10989,3264,1786,2687,1987,6660
80,11605,3326,1851,2807,2096,7037
81,11375,3213,1815,2760,2114,6856
82,10783,3121,1765,2676,2056,6433
83,10906,3165,1778,2689,2107,6507
84,11125,3271,1827,2754,2116,6620
85,10982,3171,1814,2706,2029,6451
86,11174,3212,1847,2739,2052,6583
87,12060,3463,1944,2937,2137,7104
88,13350,3795,2127,3251,2371,7816
89,14732,4183,2312,3559,2665,8525
90,14615,4103,2284,3529,2753,8594
91,13028,3694,2072,3208,2574,7803
92,12363,3488,1959,3039,2448,7439
93,9137,2747,1591,2289,1949,5578
94,7858,2373,1437,1956,1679,4804
95,7154,2131,1294,1745,1503,4371
96,6279,1927,1185,1539,1365,3926
97,5843,1815,1131,1440,1295,3694
98,5614,1764,1095,1389,1255,3567
99,5549,1757,1067,1373,1222,3509
100,5533,1766,1090,1374,1237,3501
101,6007,1895,1167,1495,1315,3737
102,7586,2387,1399,1915,1582,4749
