,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,1198,2399,1087,1108,1803,1274,1220,1190,985,1031,1083,949,1283,1257,1324,1153,912
1,1131,2251,1014,1055,1681,1195,1141,1166,917,960,1012,888,1190,1146,1203,1069,848
2,1097,2212,989,1028,1654,1173,1115,1155,898,954,983,864,1157,1109,1171,1025,805
3,1034,2153,945,1003,1590,1170,1108,1131,874,927,947,841,1132,1083,1139,1012,791
4,1029,2175,942,1007,1597,1197,1111,1112,867,902,957,833,1127,1069,1121,1034,800
5,1073,2276,980,1046,1698,1248,1146,1126,876,937,1010,855,1182,1100,1164,1056,828
6,1199,2410,1044,1103,1804,1326,1218,1165,928,997,1086,920,1255,1166,1246,1152,877
7,1281,2543,1080,1187,1921,1417,1275,1231,1011,1052,1171,992,1370,1258,1331,1212,939
8,1320,2684,1140,1188,1979,1373,1352,1270,1070,1113,1225,1012,1380,1290,1324,1202,945
9,1385,2811,1182,1296,2133,1451,1395,1336,1148,1195,1300,1111,1441,1348,1414,1257,1006
10,1413,2910,1233,1327,2180,1496,1436,1337,1196,1268,1358,1151,1510,1388,1450,1281,1027
11,1477,3010,1302,1394,2362,1566,1515,1407,1258,1349,1415,1236,1579,1470,1537,1358,1100
12,1552,3141,1361,1429,2455,1629,1554,1457,1320,1427,1484,1298,1663,1545,1619,1444,1156
13,1542,3136,1348,1434,2472,1612,1560,1475,1317,1427,1465,1284,1660,1542,1614,1438,1141
14,1544,3054,1340,1403,2412,1608,1528,1488,1333,1422,1489,1272,1619,1529,1608,1429,1146
15,1533,3059,1339,1387,2411,1597,1530,1505,1360,1424,1499,1248,1607,1530,1623,1436,1141
16,1567,3146,1378,1427,2489,1632,1579,1542,1403,1475,1516,1282,1662,1596,1697,1470,1182
17,1572,3216,1423,1478,2552,1693,1646,1579,1449,1462,1552,1324,1689,1670,1735,1519,1215
18,1788,3613,1617,1643,2899,1892,1844,1739,1595,1613,1747,1468,1878,1938,2035,1785,1421
19,1792,3554,1614,1608,2862,1879,1855,1702,1580,1587,1729,1454,1877,1928,2042,1785,1390
20,1702,3378,1506,1514,2674,1802,1786,1606,1509,1510,1626,1368,1806,1839,1943,1666,1299
21,1644,3207,1436,1439,2498,1698,1672,1502,1387,1418,1509,1300,1710,1736,1835,1571,1241
22,1546,3035,1340,1352,2267,1569,1540,1371,1275,1299,1361,1192,1576,1609,1697,1460,1155
23,1371,2699,1195,1185,1990,1409,1367,1224,1124,1134,1185,1043,1373,1400,1502,1300,1038
24,1147,2265,999,1005,1661,1193,1163,1027,944,942,1033,850,1154,1185,1260,1117,883
25,1082,2126,936,961,1564,1115,1074,966,872,884,956,801,1078,1085,1170,1019,809
26,1037,2069,900,936,1514,1072,1033,944,844,854,920,763,1045,1040,1109,980,768
27,1030,2075,883,934,1496,1091,1044,955,844,852,908,766,1055,1035,1104,980,765
28,1030,2083,891,945,1513,1112,1047,948,852,865,913,768,1072,1044,1112,986,775
29,1100,2229,941,1007,1662,1193,1115,1010,898,931,982,808,1134,1129,1205,1042,826
30,1211,2419,1038,1092,1824,1311,1222,1083,984,1028,1113,903,1247,1266,1335,1145,915
31,1398,2764,1210,1242,2111,1472,1393,1213,1109,1169,1269,1042,1416,1476,1549,1335,1060
32,1459,2880,1237,1295,2203,1517,1478,1290,1180,1268,1317,1099,1493,1528,1632,1400,1139
33,1487,2906,1258,1319,2265,1577,1546,1324,1223,1329,1354,1146,1546,1606,1710,1468,1187
34,1479,2935,1286,1323,2322,1603,1582,1358,1254,1385,1370,1183,1570,1588,1707,1456,1152
35,1534,3004,1320,1346,2401,1641,1593,1394,1298,1413,1397,1240,1587,1649,1760,1503,1199
36,1551,3051,1351,1356,2440,1647,1584,1437,1321,1459,1418,1240,1600,1664,1787,1519,1231
37,1501,2996,1319,1328,2379,1595,1533,1429,1296,1441,1373,1205,1578,1618,1725,1485,1178
38,1488,2943,1323,1319,2377,1586,1542,1453,1289,1446,1362,1196,1548,1619,1747,1492,1177
39,1580,3140,1413,1410,2540,1688,1628,1559,1384,1523,1441,1254,1621,1719,1861,1602,1281
40,1743,3532,1565,1553,2821,1863,1807,1708,1543,1635,1611,1379,1818,1925,2083,1809,1419
41,2011,3981,1802,1794,3165,2117,2067,1965,1763,1820,1791,1560,2108,2203,2339,2043,1599
42,2049,4017,1807,1810,3150,2147,2099,1912,1719,1783,1761,1546,2148,2268,2395,2088,1632
