,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,1041,2072,933,913,1656,1097,1046,927,840,905,901,785,1157,1150,1234,1067,842
1,936,1855,831,833,1486,985,935,833,759,802,798,699,1031,1028,1105,955,760
2,892,1792,803,803,1430,947,886,807,732,764,763,661,976,982,1067,907,719
3,871,1749,769,787,1372,928,868,781,714,719,736,635,944,953,1034,887,701
4,859,1753,758,783,1357,935,865,771,710,701,738,622,932,941,1020,875,694
5,908,1877,804,835,1447,997,923,807,743,742,790,645,989,998,1077,921,733
6,983,2021,873,896,1565,1085,1019,858,793,805,862,700,1088,1074,1162,1030,789
7,1070,2224,940,992,1700,1185,1085,945,877,870,949,776,1183,1175,1252,1097,856
8,1102,2255,964,1020,1756,1195,1126,993,923,939,1006,809,1197,1217,1255,1100,871
9,1137,2314,990,1044,1848,1193,1165,1052,991,1015,1050,890,1229,1242,1321,1119,905
10,1132,2326,1014,1038,1844,1216,1186,1095,1031,1102,1090,932,1256,1246,1328,1120,906
11,1186,2403,1070,1090,1988,1292,1253,1154,1081,1193,1137,1004,1311,1309,1404,1196,970
12,1256,2534,1137,1136,2060,1366,1302,1220,1145,1268,1189,1066,1401,1381,1485,1288,1024
13,1237,2522,1126,1140,2077,1336,1299,1235,1138,1264,1186,1041,1395,1376,1473,1278,1007
14,1253,2477,1132,1134,2049,1358,1292,1256,1142,1277,1191,1052,1387,1375,1472,1289,1019
15,1263,2532,1159,1140,2074,1374,1309,1276,1181,1273,1227,1054,1393,1382,1498,1309,1024
16,1344,2716,1231,1218,2207,1457,1404,1350,1247,1341,1283,1091,1481,1478,1590,1368,1086
17,1403,2895,1315,1324,2328,1541,1474,1406,1318,1348,1360,1132,1562,1573,1651,1448,1143
18,1657,3382,1543,1531,2725,1778,1693,1599,1481,1516,1557,1291,1790,1864,1977,1743,1367
19,1676,3366,1553,1519,2726,1770,1703,1580,1462,1504,1547,1289,1815,1876,1998,1762,1351
20,1602,3235,1459,1436,2580,1712,1659,1504,1399,1436,1454,1226,1763,1803,1915,1642,1269
21,1528,3044,1386,1379,2446,1632,1570,1423,1285,1360,1352,1174,1697,1693,1802,1562,1227
22,1440,2875,1287,1295,2253,1518,1449,1340,1193,1275,1235,1091,1585,1581,1670,1461,1145
23,1273,2525,1138,1123,1975,1368,1279,1200,1055,1129,1075,963,1388,1377,1473,1289,1031
24,1067,2113,950,950,1653,1150,1094,1032,893,954,922,809,1173,1166,1232,1102,871
25,1002,1980,887,905,1548,1082,1021,976,834,911,860,754,1094,1077,1146,1015,804
26,961,1909,851,877,1491,1038,978,966,813,890,835,729,1056,1036,1091,974,768
27,959,1935,839,883,1482,1049,996,991,823,899,840,745,1063,1030,1085,979,767
28,968,1961,855,896,1495,1072,1014,1017,848,923,865,763,1067,1043,1099,991,778
29,1071,2158,933,997,1645,1190,1112,1117,925,1012,968,831,1162,1147,1196,1071,847
30,1192,2359,1033,1085,1823,1321,1238,1219,1031,1112,1107,942,1283,1284,1329,1183,943
31,1374,2698,1200,1235,2109,1495,1398,1380,1164,1242,1275,1081,1459,1486,1541,1370,1089
32,1434,2817,1227,1286,2198,1530,1453,1476,1239,1329,1318,1132,1525,1528,1607,1413,1156
33,1446,2824,1240,1300,2234,1546,1478,1478,1272,1365,1340,1151,1547,1572,1649,1446,1173
34,1409,2801,1249,1281,2246,1519,1473,1453,1276,1345,1338,1143,1540,1539,1627,1415,1121
35,1463,2868,1284,1303,2318,1552,1486,1466,1306,1346,1352,1170,1544,1598,1682,1458,1161
36,1479,2931,1316,1324,2363,1559,1493,1482,1312,1373,1375,1185,1566,1619,1729,1478,1196
37,1433,2879,1286,1299,2305,1516,1456,1440,1285,1353,1333,1147,1550,1605,1681,1472,1155
38,1435,2865,1304,1305,2312,1524,1480,1435,1272,1370,1332,1145,1532,1618,1715,1486,1165
39,1536,3099,1407,1402,2480,1634,1568,1517,1359,1464,1422,1204,1611,1730,1848,1594,1277
40,1692,3463,1548,1535,2762,1806,1751,1659,1487,1587,1580,1330,1805,1923,2065,1794,1405
41,1934,3841,1763,1739,3076,2022,1960,1875,1680,1742,1743,1486,2061,2158,2295,2001,1564
42,1945,3826,1744,1720,3035,2036,1966,1814,1622,1693,1701,1455,2063,2199,2329,2025,1582
43,1709,3407,1540,1526,2690,1797,1729,1575,1404,1496,1521,1296,1862,1912,2031,1765,1374
44,1614,3214,1455,1448,2532,1724,1641,1459,1323,1388,1421,1227,1743,1816,1906,1671,1304
45,1503,3012,1352,1354,2334,1590,1510,1366,1225,1297,1320,1146,1625,1701,1799,1561,1227
46,1344,2740,1219,1218,2117,1431,1389,1229,1115,1169,1203,1040,1501,1540,1615,1428,1133
47,1215,2382,1060,1106,1880,1292,1231,1121,992,1048,1059,916,1335,1353,1427,1282,1008
48,1096,2190,959,989,1691,1165,1122,1029,916,960,971,845,1187,1238,1309,1168,920
49,1014,2017,881,903,1556,1094,1036,954,846,906,921,780,1086,1140,1210,1069,846
50,958,1924,841,860,1488,1017,965,930,823,884,880,752,1037,1092,1158,1021,803
51,944,1893,814,845,1460,1007,957,924,805,886,867,752,1020,1083,1156,1018,802
52,942,1898,820,848,1467,1019,959,923,816,890,876,747,1016,1096,1168,1021,805
53,1021,2063,893,923,1599,1112,1069,995,884,967,967,815,1097,1180,1263,1092,863
54,1260,2509,1103,1124,1987,1391,1279,1188,1074,1194,1208,1007,1363,1457,1578,1353,1077
55,1573,3175,1399,1412,2514,1726,1586,1480,1366,1533,1511,1303,1723,1868,2020,1718,1378
56,1631,3310,1450,1464,2632,1760,1675,1552,1413,1623,1563,1347,1778,1960,2109,1788,1429
57,1605,3231,1436,1469,2652,1721,1659,1532,1387,1613,1540,1309,1755,1927,2062,1777,1397
58,1539,3112,1369,1400,2559,1680,1607,1491,1355,1587,1503,1272,1696,1829,2005,1710,1338
59,1568,3129,1378,1419,2589,1693,1627,1486,1385,1583,1508,1299,1697,1846,2005,1704,1359
60,1569,3129,1423,1416,2620,1689,1629,1484,1362,1611,1497,1318,1704,1841,2043,1708,1366
61,1530,3066,1390,1381,2585,1642,1575,1442,1329,1578,1468,1281,1673,1837,1986,1663,1337
62,1535,3088,1394,1385,2596,1626,1576,1455,1326,1590,1481,1276,1660,1853,2002,1676,1344
63,1632,3283,1504,1480,2729,1741,1687,1550,1421,1683,1594,1338,1760,1971,2106,1802,1433
64,1823,3649,1677,1625,3017,1926,1869,1705,1577,1842,1755,1495,1940,2163,2343,1984,1571
65,2065,4106,1863,1846,3366,2193,2091,1909,1776,2009,1987,1674,2171,2448,2630,2238,1764
66,2108,4246,1920,1895,3449,2251,2136,1917,1782,2007,2015,1678,2255,2554,2735,2344,1836
67,1949,3914,1788,1757,3171,2061,1966,1736,1614,1839,1849,1546,2118,2373,2548,2171,1711
68,1875,3743,1703,1675,3003,1974,1891,1670,1540,1733,1752,1492,2051,2291,2472,2120,1650
69,1513,3020,1388,1350,2400,1588,1538,1374,1231,1378,1381,1177,1659,1802,1959,1667,1302
70,1339,2680,1204,1194,2135,1406,1361,1240,1088,1213,1214,1035,1495,1594,1740,1489,1165
71,1206,2390,1070,1061,1914,1258,1222,1144,1000,1099,1082,926,1326,1449,1568,1341,1063
72,1105,2209,979,961,1723,1151,1126,1067,919,1009,997,869,1185,1307,1401,1214,950
73,1038,2059,917,908,1621,1084,1048,1014,865,966,934,809,1104,1235,1309,1140,897
74,1004,2011,896,891,1587,1058,1007,993,855,958,910,777,1070,1198,1296,1118,880
75,1004,2009,887,898,1581,1075,1019,994,859,960,917,784,1073,1195,1295,1123,883
76,1025,2078,901,925,1623,1128,1057,1017,887,976,949,800,1105,1223,1323,1142,901
77,1131,2258,1000,1025,1773,1239,1152,1114,964,1051,1039,869,1217,1329,1426,1224,968
78,1411,2800,1258,1265,2224,1501,1426,1349,1184,1302,1334,1092,1506,1672,1801,1549,1220
79,1757,3625,1599,1593,2839,1881,1801,1710,1515,1644,1692,1436,1915,2096,2280,1942,1550
80,1847,3742,1673,1668,2996,1969,1887,1765,1585,1731,1776,1494,1994,2218,2398,2045,1630
81,1829,3644,1639,1649,2961,1935,1878,1719,1576,1710,1742,1481,1997,2175,2367,1999,1597
82,1729,3485,1559,1594,2845,1858,1780,1643,1513,1623,1667,1440,1920,2060,2271,1909,1529
83,1717,3464,1547,1575,2875,1843,1767,1645,1497,1639,1659,1446,1904,2074,2241,1900,1517
84,1731,3531,1555,1577,2865,1835,1747,1652,1507,1660,1673,1453,1925,2077,2240,1913,1527
85,1690,3415,1536,1527,2755,1765,1676,1610,1492,1612,1646,1411,1833,1969,2132,1846,1448
86,1700,3427,1566,1531,2771,1759,1692,1636,1506,1616,1645,1400,1817,1958,2155,1848,1446
87,1821,3670,1655,1638,2938,1899,1789,1741,1601,1736,1761,1482,1920,2106,2292,1958,1544
88,2004,4056,1820,1825,3281,2131,2000,1896,1746,1888,1949,1624,2119,2330,2499,2168,1724
89,2240,4493,2038,2023,3661,2361,2231,2098,1935,2066,2156,1804,2406,2595,2775,2407,1905
90,2288,4504,2075,2051,3680,2414,2272,2092,1927,2043,2168,1804,2454,2655,2848,2475,1933
91,2080,4122,1905,1882,3350,2205,2101,1888,1744,1882,1967,1664,2273,2447,2636,2296,1780
92,1981,3941,1789,1776,3194,2093,2008,1776,1672,1797,1876,1598,2167,2358,2508,2193,1689
93,1601,3152,1429,1440,2514,1676,1616,1420,1305,1407,1463,1253,1717,1831,1951,1707,1313
94,1423,2771,1265,1262,2166,1457,1402,1266,1150,1242,1296,1093,1501,1600,1699,1497,1150
95,1269,2512,1120,1129,1956,1307,1263,1173,1039,1141,1154,990,1355,1437,1546,1382,1046
96,1129,2232,985,1004,1739,1178,1126,1075,941,1034,1022,884,1210,1306,1396,1250,959
97,1073,2029,909,935,1625,1105,1048,1007,873,990,957,831,1148,1234,1313,1152,892
98,998,1987,884,886,1562,1074,1009,991,856,973,935,801,1116,1201,1281,1132,874
99,990,2021,887,905,1566,1091,1020,1000,860,973,933,802,1119,1163,1246,1095,862
100,1030,2065,891,923,1600,1121,1045,1023,888,996,951,821,1121,1169,1264,1101,871
101,1156,2250,989,1018,1732,1227,1149,1124,983,1088,1049,896,1233,1278,1362,1196,942
102,1408,2736,1234,1247,2139,1486,1405,1371,1195,1317,1313,1118,1514,1594,1697,1487,1171
103,1747,3418,1579,1558,2684,1881,1742,1695,1494,1669,1669,1439,1878,2028,2171,1874,1479
104,1823,3592,1629,1649,2847,1927,1840,1754,1540,1739,1723,1484,1954,2133,2258,1947,1557
105,1796,3598,1607,1643,2862,1917,1830,1727,1510,1714,1692,1469,1945,2098,2239,1940,1532
106,1786,3508,1585,1596,2808,1884,1789,1681,1483,1675,1664,1432,1928,2015,2158,1890,1477
107,1834,3597,1607,1638,2911,1926,1844,1688,1529,1676,1669,1462,1993,2067,2190,1903,1508
108,1830,3667,1611,1655,2937,1945,1853,1723,1559,1718,1717,1485,2000,2081,2187,1896,1521
109,1775,3616,1607,1634,2908,1903,1826,1684,1517,1682,1700,1454,1957,2006,2137,1854,1473
110,1794,3640,1647,1657,2958,1916,1852,1679,1501,1683,1693,1452,1973,2025,2153,1856,1499
111,1924,3873,1741,1775,3153,2047,1968,1792,1596,1787,1770,1523,2096,2182,2302,2009,1608
112,2086,4247,1919,1949,3461,2264,2151,1980,1747,1970,1950,1665,2258,2351,2507,2215,1740
113,2310,4657,2118,2144,3804,2482,2362,2170,1950,2138,2146,1848,2478,2597,2762,2417,1915
114,2353,4746,2155,2165,3823,2524,2382,2154,1916,2123,2177,1861,2542,2663,2858,2484,1970
115,2146,4284,1925,1953,3442,2273,2179,1980,1760,1941,2005,1705,2372,2447,2597,2253,1788
116,2079,4106,1843,1858,3281,2186,2074,1911,1692,1858,1902,1645,2346,2359,2489,2183,1722
117,1718,3411,1538,1559,2680,1846,1728,1618,1384,1546,1544,1344,1901,1912,2014,1776,1408
118,1525,3031,1355,1404,2378,1663,1547,1501,1242,1395,1370,1216,1672,1708,1795,1576,1270
119,1364,2773,1236,1267,2150,1482,1401,1391,1133,1287,1253,1100,1527,1529,1615,1452,1158
120,1238,2484,1127,1128,1936,1337,1283,1329,1057,1183,1113,994,1346,1346,1415,1269,1012
121,1164,2317,1032,1060,1803,1269,1209,1272,998,1133,1041,930,1259,1261,1327,1189,945
122,1121,2258,997,1034,1746,1236,1168,1274,989,1112,1011,897,1229,1219,1292,1150,914
123,1105,2235,974,1034,1734,1249,1179,1282,997,1115,1013,906,1227,1216,1294,1149,913
124,1120,2274,983,1047,1752,1279,1202,1299,1014,1130,1027,918,1242,1229,1301,1165,925
125,1222,2444,1068,1136,1886,1380,1304,1389,1083,1199,1126,988,1334,1317,1400,1251,999
126,1420,2841,1254,1328,2244,1606,1530,1597,1287,1419,1378,1190,1568,1591,1694,1505,1190
127,1762,3516,1565,1616,2793,1966,1870,1910,1596,1710,1732,1499,1919,1992,2108,1852,1470
128,1866,3752,1666,1730,2994,2105,2014,2011,1694,1799,1830,1603,2012,2109,2221,1957,1551
129,1911,3813,1698,1759,3079,2134,2050,1995,1698,1804,1838,1621,2073,2138,2248,1983,1572
130,1862,3784,1664,1720,2975,2054,2035,1915,1649,1742,1805,1572,2036,2087,2193,1913,1534
131,1889,3809,1697,1735,3024,2108,2044,1924,1682,1776,1853,1608,2072,2107,2218,1937,1556
132,1904,3836,1713,1756,3069,2103,2050,1920,1679,1803,1882,1641,2065,2111,2249,1960,1582
133,1900,3812,1684,1709,3002,2059,2007,1897,1666,1759,1827,1607,2032,2107,2193,1931,1572
134,1921,3821,1708,1726,3041,2080,2007,1923,1684,1779,1821,1623,2021,2129,2190,1953,1537
135,2008,4028,1811,1814,3193,2172,2090,1996,1800,1861,1908,1696,2142,2240,2300,2055,1615
