,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,1182,2343,1075,1073,1865,1137,1195,925,866,921,958,804,1255,1199,1369,1101,900
1,1079,2133,980,990,1700,1036,1108,849,790,837,919,729,1090,1075,1263,997,822
2,1028,2064,943,951,1640,998,957,819,764,806,830,710,1112,1025,1220,1045,810
3,1013,1751,833,807,1575,988,947,800,751,768,761,675,999,992,1179,928,755
4,873,1737,825,792,1548,989,936,792,746,747,762,664,1024,1079,1158,1003,781
5,947,1871,886,850,1470,1050,991,837,779,790,815,698,1044,1032,1111,957,767
6,1028,2014,949,910,1595,1130,1078,890,832,845,883,757,1136,1106,1209,1059,829
7,1112,2210,1010,999,1737,1215,1149,977,919,898,964,827,1208,1202,1303,1124,896
8,1139,2234,1035,1021,1797,1221,1188,1018,965,957,1027,847,1216,1243,1296,1123,908
9,1184,2346,1061,1068,1918,1246,1232,1085,1042,1035,1080,926,1264,1281,1380,1154,951
10,1176,2383,1086,1202,2056,1299,1369,1125,1066,1128,1132,968,1429,1411,1419,1271,1014
11,1353,2710,1212,1249,2189,1343,1419,1188,1117,1207,1218,1038,1476,1471,1576,1339,1078
12,1414,2815,1259,1271,2252,1514,1449,1258,1185,1280,1320,1114,1560,1517,1638,1411,1137
13,1398,2792,1238,1258,2270,1487,1453,1254,1177,1280,1273,1094,1537,1506,1616,1402,1109
14,1415,2740,1239,1245,2223,1517,1440,1268,1192,1296,1284,1106,1507,1488,1586,1394,1112
15,1424,2802,1261,1258,2239,1435,1451,1291,1215,1299,1319,1091,1510,1489,1600,1402,1099
16,1514,2993,1343,1343,2379,1501,1546,1363,1288,1359,1328,1130,1612,1590,1700,1468,1160
17,1484,2971,1396,1372,2421,1608,1545,1434,1368,1366,1413,1180,1621,1623,1769,1487,1207
18,1734,3444,1625,1577,2791,1847,1761,1614,1533,1530,1604,1344,1851,1904,2020,1768,1430
19,1746,3426,1632,1566,2781,1847,1782,1588,1519,1510,1586,1338,1866,1906,2031,1776,1394
20,1655,3250,1531,1491,2627,1772,1728,1502,1442,1433,1498,1260,1811,1829,1944,1673,1309
21,1585,3081,1466,1413,2481,1677,1624,1417,1320,1354,1392,1197,1744,1731,1842,1587,1260
22,1466,2890,1357,1324,2278,1552,1487,1304,1213,1256,1259,1100,1607,1617,1706,1476,1184
23,1286,2505,1200,1142,2000,1379,1291,1147,1064,1094,1084,959,1398,1412,1509,1304,1065
24,1052,2069,998,957,1657,1156,1080,954,879,907,913,788,1183,1188,1253,1108,889
25,979,1929,933,901,1542,1077,1005,891,813,863,844,737,1093,1092,1163,1007,813
26,929,1832,887,854,1481,1013,970,859,786,836,806,708,1038,1045,1099,969,769
27,919,1828,866,852,1449,1014,990,872,790,839,804,716,1037,1030,1091,973,765
28,918,1821,889,853,1435,1021,986,872,795,837,813,719,1029,1019,1086,966,769
29,987,1951,937,913,1535,1097,1025,926,837,886,873,750,1085,1078,1148,1001,811
30,1083,2135,1019,1001,1702,1192,1115,1012,928,960,991,841,1179,1198,1267,1085,887
31,1253,2448,1170,1136,1953,1348,1268,1161,1052,1075,1138,960,1348,1380,1460,1261,1021
32,1286,2548,1191,1173,2023,1393,1321,1234,1115,1153,1172,996,1410,1416,1512,1299,1077
33,1335,2619,1230,1227,2110,1448,1398,1265,1169,1211,1223,1043,1479,1490,1581,1378,1127
34,1343,2684,1275,1248,2192,1476,1450,1287,1211,1245,1263,1070,1523,1600,1708,1390,1101
35,1423,2834,1352,1312,2308,1551,1499,1336,1257,1271,1304,1118,1568,1673,1777,1456,1192
36,1462,2940,1398,1360,2406,1599,1528,1381,1282,1321,1345,1149,1614,1717,1831,1606,1282
37,1444,2921,1373,1355,2381,1570,1506,1369,1274,1311,1323,1133,1619,1691,1794,1583,1244
38,1457,2931,1406,1368,2392,1581,1523,1373,1271,1326,1337,1146,1608,1681,1808,1584,1253
39,1565,3148,1501,1453,2653,1688,1614,1461,1360,1417,1429,1202,1671,1767,1912,1675,1348
40,1702,3466,1616,1564,2895,1834,1761,1585,1476,1527,1568,1318,1878,1945,2117,1856,1463
41,1928,3819,1820,1760,3189,2046,1960,1806,1675,1685,1726,1469,2089,2191,2360,2060,1620
42,1922,3761,1785,1730,3186,2042,1965,1741,1607,1628,1676,1428,2076,2236,2396,1992,1603
43,1651,3309,1561,1523,2811,1792,1723,1496,1383,1429,1491,1260,1861,1947,2107,1734,1395
44,1684,3096,1469,1433,2632,1724,1640,1382,1297,1324,1386,1182,1745,1864,1992,1664,1334
45,1554,2895,1362,1339,2422,1591,1506,1293,1192,1228,1273,1096,1640,1753,1882,1562,1258
46,1411,2616,1227,1217,2077,1437,1368,1176,1070,1107,1158,985,1510,1603,1701,1431,1145
47,1247,2301,1087,1077,1840,1283,1221,1071,949,990,1015,863,1349,1423,1437,1293,1023
48,1140,2084,983,987,1689,1174,1113,998,886,914,941,814,1229,1215,1333,1198,948
49,1070,1933,919,916,1578,1112,1048,932,826,872,889,761,1143,1223,1240,1104,883
50,1023,1866,892,881,1523,1055,990,906,809,852,858,744,1105,1176,1193,1060,840
51,1019,1855,875,872,1501,1052,992,902,803,860,856,741,1095,1175,1193,1061,841
52,1030,1871,898,882,1517,1063,1009,908,811,868,870,742,1096,1188,1204,1064,856
53,1107,2026,962,955,1618,1148,1110,974,879,946,959,817,1177,1271,1295,1134,912
54,1343,2494,1166,1162,2009,1433,1318,1166,1074,1172,1194,1014,1436,1550,1703,1393,1118
55,1674,3174,1466,1457,2605,1774,1633,1465,1369,1511,1506,1305,1799,1960,2147,1756,1443
56,1740,3301,1524,1505,2804,1813,1729,1524,1404,1597,1559,1343,1841,2055,2228,1825,1487
57,1721,3240,1510,1515,2817,1777,1721,1513,1377,1585,1542,1309,1807,2026,2177,1798,1452
58,1672,3402,1517,1437,2724,1743,1686,1466,1386,1568,1511,1291,1869,1925,2123,1855,1432
59,1716,3458,1540,1605,2758,1778,1690,1469,1424,1578,1537,1329,1885,1957,2125,1847,1460
60,1740,3482,1588,1614,2811,1889,1833,1488,1414,1609,1540,1345,1905,1943,2161,1871,1482
61,1717,3437,1565,1582,2772,1853,1783,1453,1370,1588,1526,1315,1865,1931,2090,1840,1464
62,1729,3473,1573,1592,2795,1841,1789,1470,1354,1605,1540,1317,1862,1942,2099,1841,1468
63,1830,3672,1675,1680,2943,1957,1890,1567,1449,1719,1696,1390,1960,2034,2187,1959,1552
64,1997,4002,1833,1811,3217,2132,2054,1699,1597,1906,1900,1562,2123,2209,2417,2131,1685
65,2230,4414,2008,2012,3538,2363,2253,1892,1811,2035,2055,1718,2337,2501,2700,2369,1871
66,2264,4520,2058,2046,3619,2393,2283,1904,1817,2020,2078,1719,2413,2602,2809,2458,1936
67,2090,4162,1902,1884,3329,2192,2097,1719,1656,1842,1899,1585,2259,2422,2631,2277,1801
68,2002,3976,1815,1786,3151,2089,2020,1654,1583,1762,1802,1517,2178,2330,2560,2216,1731
69,1637,3247,1497,1461,2555,1696,1644,1342,1270,1392,1426,1192,1785,1842,2039,1758,1382
70,1442,2885,1305,1298,2288,1497,1452,1178,1097,1211,1297,1041,1610,1637,1813,1571,1240
71,1295,2561,1165,1158,2060,1336,1299,1070,1015,1092,1164,925,1432,1482,1632,1411,1129
72,1182,2366,1066,1052,1864,1211,1181,989,926,999,1070,898,1286,1327,1457,1264,1008
73,1107,2199,998,987,1754,1141,1101,933,867,953,1001,834,1193,1240,1355,1174,943
74,1072,2149,970,957,1700,1101,1053,908,853,936,971,804,1153,1196,1330,1145,915
75,1063,2118,946,945,1685,1100,1052,905,868,933,967,800,1139,1187,1324,1140,912
76,1078,2154,954,960,1710,1128,1074,917,882,952,981,810,1150,1196,1336,1155,925
77,1167,2293,1038,1045,1845,1230,1160,1011,955,1033,1072,871,1247,1299,1443,1230,987
78,1434,2818,1285,1268,2280,1517,1428,1247,1172,1277,1352,1098,1515,1643,1811,1544,1232
79,1776,3616,1618,1582,2876,1891,1804,1606,1501,1620,1715,1431,1915,2063,2277,1928,1555
80,1860,3737,1688,1657,3017,1983,1897,1647,1564,1701,1799,1494,1988,2173,2389,2034,1635
81,1834,3635,1649,1632,2968,1939,1875,1602,1538,1678,1747,1470,1985,2120,2342,1971,1589
82,1727,3445,1560,1562,2828,1825,1788,1570,1493,1595,1650,1418,1869,2009,2242,1867,1509
83,1736,3478,1567,1564,2856,1843,1809,1587,1493,1608,1653,1427,1859,2054,2227,1889,1510
84,1749,3562,1581,1571,2867,1866,1826,1597,1502,1640,1674,1444,1898,2083,2254,1932,1539
85,1717,3458,1561,1534,2786,1833,1793,1567,1487,1616,1659,1411,1832,2027,2188,1900,1488
86,1739,3485,1604,1552,2835,1852,1835,1605,1509,1631,1666,1411,1844,2056,2242,1925,1508
87,1862,3750,1706,1674,3021,2014,1946,1717,1610,1756,1800,1507,1978,2229,2409,2055,1624
88,2057,4155,1880,1875,3361,2250,2152,1828,1745,1907,1990,1663,2187,2480,2633,2277,1811
89,2297,4606,2102,2085,3738,2471,2379,2023,1913,2056,2198,1805,2491,2650,2902,2509,1994
90,2358,4622,2151,2119,3766,2398,2404,2014,1904,2021,2148,1794,2540,2702,2964,2561,2001
