,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,944,1883,890,858,1528,1025,977,848,790,825,845,729,1078,1105,1198,997,796
1,870,1730,819,785,1398,939,885,770,719,745,762,644,981,1002,1080,903,731
2,836,1674,793,758,1344,908,841,751,704,720,733,616,940,962,1030,908,718
3,814,1629,761,734,1299,878,817,731,686,682,708,597,902,929,998,891,693
4,802,1603,756,723,1303,850,853,730,677,668,698,583,896,916,980,868,682
5,846,1685,795,764,1338,905,852,764,701,704,742,614,935,917,1021,865,693
6,893,1796,843,815,1419,963,899,802,745,734,791,659,973,969,1078,916,734
7,982,1990,915,905,1546,1062,988,883,833,802,880,734,1071,1070,1173,1011,794
8,1044,2113,960,971,1655,1139,1081,954,911,892,979,790,1165,1137,1240,1050,848
9,1100,2253,1033,1011,1863,1183,1215,1058,991,1005,1064,882,1280,1281,1358,1218,944
10,1210,2445,1086,1113,1925,1276,1233,1111,1037,1099,1174,943,1321,1295,1396,1196,946
11,1261,2543,1132,1127,1991,1341,1286,1160,1124,1180,1224,1016,1362,1346,1448,1243,995
12,1320,2633,1177,1181,2088,1409,1359,1268,1189,1293,1275,1082,1422,1428,1521,1328,1050
13,1314,2606,1170,1157,2076,1423,1361,1254,1183,1275,1276,1055,1400,1401,1507,1309,1027
14,1323,2630,1175,1159,2130,1400,1360,1264,1195,1266,1289,1066,1414,1416,1530,1328,1045
15,1331,2650,1184,1175,2160,1390,1350,1312,1225,1257,1275,1075,1425,1424,1552,1327,1053
16,1420,2722,1247,1239,2263,1497,1422,1331,1283,1318,1329,1128,1489,1510,1641,1397,1111
17,1483,2873,1308,1314,2359,1558,1500,1371,1346,1331,1376,1173,1557,1569,1665,1460,1140
18,1690,3292,1519,1497,2709,1783,1703,1548,1466,1477,1571,1294,1776,1841,2001,1704,1349
19,1670,3302,1513,1488,2674,1792,1692,1510,1440,1467,1538,1286,1776,1848,1992,1714,1348
20,1575,3107,1425,1408,2526,1686,1603,1413,1357,1372,1429,1224,1685,1747,1883,1625,1285
