,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,946,1870,933,843,1570,1033,1002,816,773,808,833,711,1084,1098,1202,1031,828
1,860,1677,845,774,1412,946,919,749,707,726,752,646,973,994,1082,930,756
2,820,1607,812,733,1348,901,874,715,677,695,713,614,919,931,1038,886,713
3,799,1548,776,704,1270,867,847,688,660,656,686,587,882,897,985,864,689
4,780,1544,779,692,1234,865,834,680,654,641,684,574,871,872,969,835,682
5,821,1615,813,727,1305,913,873,727,693,684,724,612,910,918,1012,868,715
6,891,1757,868,780,1417,984,955,779,744,740,785,665,991,986,1098,967,766
7,969,1919,922,860,1521,1068,1024,863,830,783,860,727,1067,1076,1177,1024,835
8,993,1934,944,878,1561,1078,1058,899,871,838,918,742,1068,1113,1163,1023,841
9,1048,2080,977,937,1706,1105,1110,977,948,920,978,824,1133,1161,1267,1063,888
10,1069,2142,1017,970,1763,1168,1161,1029,990,1016,1036,870,1196,1206,1322,1091,907
11,1120,2252,1085,1051,1933,1247,1229,1090,1034,1095,1083,944,1286,1300,1406,1192,982
12,1221,2425,1156,1108,2018,1324,1279,1152,1100,1163,1150,1004,1366,1371,1489,1276,1044
13,1207,2447,1144,1113,2030,1306,1283,1153,1092,1164,1163,983,1366,1373,1479,1284,1028
14,1236,2415,1157,1110,2027,1346,1291,1170,1109,1174,1173,997,1365,1374,1476,1297,1047
15,1249,2474,1186,1120,2052,1363,1300,1187,1144,1180,1209,995,1378,1392,1508,1313,1051
16,1318,2605,1233,1175,2167,1426,1402,1243,1199,1244,1244,1036,1450,1463,1595,1359,1107
17,1353,2729,1319,1256,2269,1491,1451,1307,1265,1246,1312,1073,1508,1558,1659,1421,1169
18,1587,3179,1534,1447,2642,1720,1658,1489,1427,1408,1496,1232,1736,1825,1963,1706,1385
19,1607,3153,1530,1431,2614,1720,1677,1461,1408,1379,1470,1224,1736,1824,1977,1702,1358
20,1517,2974,1439,1358,2445,1655,1627,1365,1329,1302,1387,1152,1678,1743,1883,1596,1271
21,1437,2777,1376,1268,2300,1555,1516,1270,1207,1225,1277,1082,1603,1634,1768,1514,1225
22,1306,2552,1261,1162,2086,1402,1368,1142,1089,1102,1130,967,1451,1501,1622,1379,1131
23,1131,2178,1103,987,1799,1236,1186,982,941,933,959,824,1237,1280,1421,1201,997
24,898,1742,892,800,1460,1009,963,795,757,747,787,660,1030,1052,1156,997,820
25,836,1611,824,747,1343,935,890,740,702,700,722,613,944,966,1070,903,748
26,792,1533,793,710,1283,885,852,713,677,667,693,587,891,920,1000,859,704
27,778,1512,769,694,1241,872,850,702,672,660,685,581,879,902,982,856,693
28,770,1505,789,688,1223,864,842,703,674,657,685,581,869,892,978,845,702
29,838,1622,835,743,1319,932,896,768,721,712,746,626,927,961,1051,892,740
30,928,1786,905,819,1478,1039,994,846,813,791,854,714,1012,1082,1174,977,820
31,1094,2082,1060,962,1727,1193,1143,992,932,914,999,826,1159,1262,1364,1152,964
32,1125,2188,1087,999,1793,1234,1184,1057,996,988,1032,867,1226,1293,1420,1191,1018
33,1171,2254,1101,1037,1882,1269,1251,1078,1043,1054,1074,908,1278,1361,1478,1250,1051
34,1163,2303,1132,1056,1961,1291,1294,1110,1073,1084,1098,928,1316,1359,1488,1258,1024
35,1229,2439,1187,1111,2053,1344,1334,1155,1120,1116,1138,972,1352,1439,1568,1328,1080
36,1280,2567,1236,1173,2148,1392,1353,1186,1139,1173,1176,1006,1404,1480,1621,1375,1134
37,1269,2542,1207,1170,2119,1366,1341,1167,1121,1171,1157,992,1419,1468,1596,1371,1104
38,1283,2563,1232,1178,2150,1388,1376,1171,1122,1184,1178,1005,1415,1500,1640,1390,1124
39,1393,2783,1335,1278,2329,1504,1455,1259,1214,1279,1267,1064,1505,1601,1763,1508,1233
40,1540,3089,1456,1384,2594,1656,1627,1378,1334,1398,1410,1183,1665,1776,1965,1683,1353
