,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,34504,20228,3460,10222,115417,102202,161754,6102,38540,34063,217383,40571,0,10807,75451,0,0,0,0,0,60120,58165,17948
1,53414,31314,5357,15824,116195,102890,162844,8910,56270,49734,317390,59236,0,12114,84576,0,0,0,0,0,78920,60263,18596
2,45554,26707,4568,13496,116075,102784,162675,7689,48556,42916,273883,51116,0,11559,80699,0,0,0,0,0,71246,59361,18318
3,45950,26939,4608,13613,115831,102568,162334,7346,46391,41003,261671,48836,0,11160,77916,0,0,0,0,0,70254,58006,17900
4,39606,23220,3972,11734,115748,102495,162218,7089,44769,39569,252521,47129,0,11564,80734,0,0,0,0,0,66512,58123,17936
5,49363,28939,4950,14624,116025,102740,162606,8494,53640,47409,302557,56467,0,11665,81441,0,0,0,0,0,75556,59527,18369
6,69294,40624,6949,20529,116952,103560,163905,11265,71141,62877,401269,74890,0,13105,91498,0,0,0,0,0,93867,62531,19296
7,48008,28145,4814,14223,116128,102831,162750,8591,54254,47952,306023,57114,0,12192,85117,0,0,0,0,0,75370,60048,18530
8,43270,25368,4339,12819,115763,102508,162239,7298,46091,40737,259978,48521,0,11370,79381,0,0,0,0,0,67214,59016,18211
9,64433,37775,6462,19089,116216,102909,162873,9772,61712,54543,348085,64964,0,12233,85408,0,0,0,0,0,84849,60930,18802
10,75727,44396,7594,22435,117127,103716,164150,12144,76691,67782,432573,80733,0,13612,95033,0,0,0,0,0,96965,63893,19716
11,73591,43143,7380,21802,117389,103948,164518,12433,78519,69398,442884,82657,0,13916,97160,0,0,0,0,0,99788,64229,19820
12,71493,41914,7170,21180,117204,103783,164258,11791,74466,65816,420026,78391,0,13587,94863,0,0,0,0,0,97361,64342,19855
13,71802,42095,7201,21272,117003,103606,163977,10980,69345,61290,391139,73000,0,13204,92188,0,0,0,0,0,94658,63956,19735
14,66827,39178,6702,19798,116578,103229,163380,10393,65636,58012,370220,69096,0,12678,88511,0,0,0,0,0,90959,61639,19021
15,61877,36276,6205,18332,116426,103095,163168,9617,60733,53679,342566,63934,0,12219,85307,0,0,0,0,0,86534,60338,18619
16,65866,38615,6605,19513,117002,103605,163975,10840,68456,60504,386126,72064,0,13147,91788,0,0,0,0,0,89395,63625,19633
17,58786,34464,5895,17416,116431,103100,163175,9436,59590,52668,336116,62730,0,12408,86625,0,0,0,0,0,82008,61439,18959
18,59823,35072,5999,17723,116696,103334,163546,9850,62206,54980,350873,65485,0,12525,87447,0,0,0,0,0,84068,64146,19794
19,73785,43257,7400,21860,117480,104029,164645,11143,70371,62196,396925,74080,0,13839,96617,0,0,0,0,0,88869,65303,20151
20,119154,69856,11950,35301,117815,104325,165114,17502,110531,97692,623446,116356,0,15654,109288,0,0,0,0,0,133486,67352,20784
21,93355,54731,9362,27657,117508,104053,164684,14436,91167,80577,514226,95972,0,14327,100026,0,0,0,0,0,112502,65121,20095
22,60162,35270,6033,17823,116517,103175,163295,9702,61271,54154,345600,64501,0,12334,86112,0,0,0,0,0,82683,61222,18892
23,39331,23058,3944,11652,115309,102106,161602,6295,39754,35136,224231,41849,0,10523,73470,0,0,0,0,0,62392,57610,17777
24,57917,33954,5808,17158,115922,102648,162461,8554,54024,47749,304725,56872,0,11701,81693,0,0,0,0,0,76852,59861,18472
25,66151,38782,6634,19598,116379,103053,163101,9958,62887,55582,354716,66202,0,12491,87208,0,0,0,0,0,87338,61785,19066
26,54758,32103,5491,16223,116238,102928,162904,8733,55151,48744,311078,58058,0,12033,84012,0,0,0,0,0,77956,61899,19101
27,63592,37282,6377,18840,116429,103097,163172,9617,60734,53680,342573,63936,0,12375,86400,0,0,0,0,0,81686,63622,19633
28,67483,39563,6767,19992,117113,103703,164130,10348,65351,57760,368612,68795,0,13157,91856,0,0,0,0,0,88195,63182,19497
29,75032,43989,7525,22229,116330,103010,163034,10136,64013,56577,361066,67387,0,12542,87562,0,0,0,0,0,87494,61766,19060
30,106648,62524,10695,31596,117535,104077,164722,15106,95399,84318,538100,100428,0,14691,102570,0,0,0,0,0,121162,64754,19982
31,102451,60063,10275,30352,113171,100212,158605,14403,90961,80395,513066,95756,0,14427,100725,0,0,0,0,0,117227,63670,19647
32,88626,51958,8888,26256,112816,99898,158108,12622,79713,70454,449621,83914,0,13589,94873,0,0,0,0,0,105134,63328,19542
33,53175,31175,5333,15754,112179,99334,157216,9001,56844,50241,320628,59840,0,12155,84859,0,0,0,0,0,78483,60128,18554
34,43247,25354,4337,12812,111066,98349,155656,6897,43558,38499,245692,45854,0,10724,74873,0,0,0,0,0,67031,56970,17580
35,36971,21674,3707,10953,110710,98033,155157,5714,36088,31896,203554,37990,0,10286,71814,0,0,0,0,0,57800,56519,17441
36,45950,26938,4608,13613,111386,98632,156104,7742,48891,43212,275771,51468,0,11283,78777,0,0,0,0,0,68855,59778,18446
37,44340,25995,4446,13136,111376,98623,156090,7301,46111,40755,260090,48542,0,11280,78755,0,0,0,0,0,70568,57883,17862
38,42243,24765,4236,12515,111245,98507,155906,7123,44984,39759,253733,47355,0,11176,78025,0,0,0,0,0,66449,57783,17831
39,70259,41190,7046,20815,112352,99487,157458,10979,69339,61284,391105,72993,0,12705,88705,0,0,0,0,0,90710,61480,18972
40,66874,39206,6706,19812,112282,99425,157360,10458,66046,58374,372533,69527,0,12545,87583,0,0,0,0,0,89697,60994,18822
41,58946,34558,5911,17463,112239,99387,157299,9738,61502,54358,346903,64744,0,12313,85967,0,0,0,0,0,82921,61455,18964
42,75496,44261,7571,22367,112586,99695,157786,11662,73649,65094,415415,77531,0,13278,92702,0,0,0,0,0,97002,62920,19416
43,55752,32686,5591,16517,111870,99061,156783,8193,51743,45733,291859,54471,0,11744,81990,0,0,0,0,0,75531,59280,18293
44,56174,32932,5633,16642,111879,99069,156796,8979,56707,50120,319858,59696,0,12008,83837,0,0,0,0,0,77800,59884,18479
45,40939,24001,4105,12128,111529,98759,156305,7337,46338,40955,261370,48780,0,11439,79866,0,0,0,0,0,66991,58564,18072
46,48957,28702,4910,14504,111321,98574,156013,7282,45988,40646,259398,48412,0,11237,78455,0,0,0,0,0,66926,59139,18249
47,60783,35635,6096,18007,111975,99154,156930,9629,60813,53750,343019,64019,0,12352,86237,0,0,0,0,0,82139,61344,18930
48,62610,36706,6279,18549,112254,99400,157321,10110,63848,56431,360133,67213,0,12604,87999,0,0,0,0,0,86538,62243,19207
49,75068,44009,7528,22239,112639,99741,157860,11560,73003,64523,411771,76850,0,13249,92501,0,0,0,0,0,94852,62559,19304
50,79128,46390,7935,23442,112459,99582,157608,11272,71184,62916,401515,74936,0,13009,90826,0,0,0,0,0,96649,61812,19074
51,48405,28378,4854,14340,111476,98712,156231,8036,50752,44857,286270,53427,0,11459,80003,0,0,0,0,0,72860,58416,18026
52,45341,26582,4547,13432,111310,98564,155997,7312,46177,40813,260464,48611,0,11134,77735,0,0,0,0,0,65821,58461,18040
53,54198,31774,5435,16057,111668,98882,156500,8407,53095,46928,299484,55894,0,11795,82353,0,0,0,0,0,73279,59041,18219
54,45476,26661,4560,13473,111491,98725,156252,7544,47645,42111,268743,50156,0,11306,78936,0,0,0,0,0,70095,58540,18064
55,61339,35961,6151,18172,111737,98943,156597,9455,59711,52775,336801,62858,0,11933,83315,0,0,0,0,0,80887,59926,18492
56,71618,41987,7182,21217,112923,99993,158258,11775,74365,65727,419457,78285,0,13319,92992,0,0,0,0,0,94413,62858,19397
57,79571,46650,7980,23574,113112,100161,158524,12841,81096,71676,457422,85370,0,13976,97573,0,0,0,0,0,102447,63727,19665
58,67078,39325,6727,19873,112564,99675,157756,11120,70225,62068,396104,73926,0,13052,91128,0,0,0,0,0,93317,62230,19203
59,64968,38088,6515,19247,120487,106691,168859,10569,66745,58992,376478,70263,0,13069,91246,0,0,0,0,0,89979,60483,18664
60,58741,34437,5891,17402,120143,106386,168377,10231,64610,57105,364431,68015,0,12561,87694,0,0,0,0,0,87810,58266,17980
61,52385,30712,5253,15520,119763,106050,167845,8948,56512,49948,318759,59491,0,11959,83497,0,0,0,0,0,78080,57424,17720
62,58827,34488,5899,17428,119733,106024,167803,9366,59148,52277,333625,62266,0,12135,84723,0,0,0,0,0,81239,58386,18017
63,77574,45479,7780,22982,120251,106482,168528,11549,72934,64462,411382,76778,0,13168,91935,0,0,0,0,0,97770,60561,18688
64,87839,51497,8809,26023,120769,106940,169254,13122,82867,73241,467411,87235,0,13883,96928,0,0,0,0,0,106885,61698,19039
65,89811,52653,9007,26607,121018,107161,169603,13427,84798,74948,478305,89268,0,14028,97936,0,0,0,0,0,109963,62108,19165
66,78891,46251,7912,23372,120427,106638,168775,11674,73728,65164,415863,77614,0,13241,92442,0,0,0,0,0,99251,60150,18561
67,58267,34160,5843,17262,119889,106161,168021,9376,59213,52335,333991,62334,0,12205,85209,0,0,0,0,0,80981,58934,18186
68,63475,37213,6366,18805,120187,106426,168439,9782,61780,54604,348470,65036,0,12541,87557,0,0,0,0,0,84919,58728,18122
69,44762,26242,4489,13261,119271,105614,167155,7319,46223,40854,260721,48659,0,11322,79045,0,0,0,0,0,66976,56312,17377
70,52932,31032,5308,15682,119513,105828,167494,8328,52596,46486,296668,55368,0,11792,82325,0,0,0,0,0,73469,57858,17854
71,50924,29855,5107,15087,119606,105910,167624,8445,53336,47141,300844,56148,0,11987,83691,0,0,0,0,0,73949,57767,17826
