,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,50694,29720,5084,15018,115956,102678,162509,8141,51413,45441,289998,54123,0,11600,80985,0,0,0,0,0,75003,59405,18331
1,64435,37776,6462,19089,116552,103207,163345,10131,63980,56548,360880,67352,0,12698,88650,0,0,0,0,0,88915,61427,18955
2,69087,40503,6928,20468,116767,103397,163646,11350,71677,63351,404295,75455,0,13249,92502,0,0,0,0,0,95428,62413,19259
3,57475,33695,5764,17027,116352,103030,163064,9283,58627,51817,330686,61717,0,12202,85194,0,0,0,0,0,82785,59437,18341
4,49657,29112,4980,14711,115871,102603,162390,7922,50028,44217,282182,52665,0,11605,81026,0,0,0,0,0,73205,59045,18220
5,47777,28010,4791,14154,116128,102831,162750,7841,49517,43765,279300,52127,0,11753,82053,0,0,0,0,0,73067,59394,18328
6,48161,28235,4830,14268,116189,102885,162836,8191,51727,45718,291764,54453,0,11787,82294,0,0,0,0,0,72749,59789,18450
7,47295,27727,4743,14012,115819,102557,162317,7716,48729,43069,274858,51298,0,11648,81324,0,0,0,0,0,71370,59046,18220
8,45383,26606,4551,13445,115647,102405,162076,7430,46925,41474,264680,49398,0,11499,80285,0,0,0,0,0,69743,58424,18029
9,39129,22940,3924,11592,115368,102158,161686,6532,41251,36460,232679,43426,0,10738,74967,0,0,0,0,0,63617,57343,17695
10,46084,27017,4621,13653,115719,102469,162177,7623,48143,42551,271554,50681,0,11473,80099,0,0,0,0,0,73052,58726,18122
11,36007,21109,3611,10667,115277,102077,161557,6312,39862,35232,224842,41963,0,10896,76073,0,0,0,0,0,62497,56513,17439
12,35103,20580,3520,10399,115199,102008,161448,5910,37327,32991,210546,39295,0,10530,73516,0,0,0,0,0,59973,56309,17376
13,33156,19438,3325,9823,115022,101851,161200,5569,35173,31087,198392,37026,0,10301,71922,0,0,0,0,0,57445,56350,17388
14,41862,24542,4198,12402,115384,102172,161707,6434,40635,35915,229202,42777,0,10883,75980,0,0,0,0,0,64594,57802,17837
15,51453,30165,5160,15243,115757,102502,162230,7902,49903,44107,281481,52534,0,11619,81121,0,0,0,0,0,74824,58558,18070
16,46251,27115,4638,13702,115796,102537,162284,7643,48271,42664,272274,50815,0,11454,79970,0,0,0,0,0,70655,59299,18298
17,60091,35229,6026,17802,116501,103162,163273,9669,61065,53972,344437,64283,0,12469,87055,0,0,0,0,0,83029,61193,18883
18,48397,28373,4853,14338,115940,102664,162486,7931,50086,44268,282509,52726,0,11558,80695,0,0,0,0,0,71929,58950,18191
19,40271,23609,4038,11930,115492,102268,161859,6643,41955,37082,236651,44167,0,10918,76229,0,0,0,0,0,63231,57947,17881
20,57748,33856,5791,17108,116187,102883,162833,9150,57788,51075,325952,60834,0,12122,84635,0,0,0,0,0,81207,60854,18778
21,69586,40796,6978,20616,116482,103144,163246,10192,64363,56887,363042,67756,0,12470,87060,0,0,0,0,0,88833,61998,19132
22,80740,47335,8097,23920,117266,103838,164344,12636,79801,70531,450116,84007,0,13644,95255,0,0,0,0,0,102830,64144,19794
23,83621,49024,8386,24774,117358,103921,164474,13109,82786,73170,466954,87149,0,13934,97282,0,0,0,0,0,105329,64068,19770
24,75865,44477,7608,22476,116949,103558,163901,11559,72998,64519,411745,76845,0,13241,92444,0,0,0,0,0,96482,62358,19243
25,71665,42015,7187,21232,116659,103301,163494,10919,68955,60945,388939,72589,0,12864,89813,0,0,0,0,0,92340,61856,19088
26,68441,40124,6864,20276,116671,103311,163510,11014,69558,61478,392339,73224,0,12831,89585,0,0,0,0,0,92632,61579,19002
27,63932,37481,6411,18941,116426,103095,163168,10180,64291,56823,362635,67680,0,12510,87340,0,0,0,0,0,88473,61209,18888
28,49842,29220,4998,14766,115943,102667,162491,8280,52293,46219,294959,55049,0,11817,82500,0,0,0,0,0,74783,59211,18271
29,36866,21613,3697,10922,115296,102094,161583,6422,40557,35846,228765,42695,0,10842,75693,0,0,0,0,0,62789,56751,17512
30,37680,22090,3779,11163,115249,102052,161518,5934,37474,33121,211371,39449,0,10507,73354,0,0,0,0,0,59620,57530,17753
31,60870,35686,6104,18033,111600,98822,156405,9052,57167,50526,322450,60180,0,11840,82664,0,0,0,0,0,81381,59799,18453
32,65376,38328,6556,19368,111869,99059,156781,9923,62669,55389,353482,65972,0,12251,85535,0,0,0,0,0,87260,60620,18706
33,61913,36297,6209,18342,111692,98903,156534,9430,59556,52638,335924,62695,0,12039,84054,0,0,0,0,0,83454,60133,18556
34,64935,38069,6512,19238,111890,99078,156811,9923,62670,55390,353488,65973,0,12279,85728,0,0,0,0,0,85310,60365,18627
35,62772,36801,6295,18597,111951,99133,156897,9795,61859,54674,348919,65120,0,12270,85669,0,0,0,0,0,86705,60579,18694
36,54395,31890,5455,16115,111694,98905,156536,8456,53405,47202,301232,56220,0,11761,82111,0,0,0,0,0,76910,59945,18498
37,60392,35405,6056,17892,112125,99286,157140,9593,60583,53545,341717,63776,0,12299,85870,0,0,0,0,0,82264,61899,19101
38,64938,38071,6512,19238,112293,99435,157376,9889,62454,55199,352272,65746,0,12349,86220,0,0,0,0,0,86712,61363,18935
39,73943,43350,7415,21906,112836,99916,158136,11744,74165,65550,418329,78074,0,13063,91200,0,0,0,0,0,98014,61876,19094
40,68035,39886,6823,20156,111865,99056,156776,9795,61857,54672,348906,65118,0,12328,86072,0,0,0,0,0,91374,61494,18976
41,51659,30286,5181,15304,111460,98698,156208,7732,48828,43156,275415,51402,0,11743,81985,0,0,0,0,0,77017,59854,18470
42,43230,25344,4335,12807,110893,98195,155413,6590,41622,36787,234770,43816,0,10712,74790,0,0,0,0,0,64013,57824,17843
43,47567,27887,4770,14092,110990,98281,155549,7417,46845,41403,264228,49314,0,11009,76860,0,0,0,0,0,70304,57744,17819
44,46402,27204,4653,13747,111018,98306,155589,7053,44543,39369,251243,46890,0,10930,76308,0,0,0,0,0,68542,58260,17978
45,42666,25013,4279,12640,110822,98132,155314,6586,41596,36764,234623,43788,0,10873,75910,0,0,0,0,0,65352,57508,17746
46,49592,29074,4973,14692,111172,98442,155804,7456,47090,41620,265610,49572,0,11175,78021,0,0,0,0,0,71095,58729,18123
47,72178,42315,7238,21383,112104,99267,157110,11007,69514,61439,392092,73178,0,12647,88294,0,0,0,0,0,92350,61632,19018
48,73025,42812,7323,21634,112105,99269,157113,11037,69700,61604,393145,73374,0,12691,88606,0,0,0,0,0,92250,61590,19005
49,47726,27980,4786,14139,111327,98580,156021,7578,47855,42297,269930,50378,0,11280,78756,0,0,0,0,0,68614,59639,18403
50,54038,31681,5419,16009,110934,98232,155471,7855,49609,43847,279821,52224,0,11143,77799,0,0,0,0,0,70140,58797,18144
51,65391,38337,6558,19373,111451,98690,156196,9510,60057,53081,338754,63223,0,11975,83603,0,0,0,0,0,80152,60822,18769
52,56300,33006,5646,16679,111223,98488,155876,8254,52130,46075,294042,54878,0,11400,79589,0,0,0,0,0,74198,58654,18099
53,52942,31038,5309,15685,111264,98524,155933,7961,50279,44439,283601,52929,0,11282,78766,0,0,0,0,0,74213,58331,18000
54,51863,30405,5201,15365,111364,98613,156074,8086,51063,45132,288024,53755,0,11382,79469,0,0,0,0,0,73077,57822,17843
55,45735,26813,4586,13549,111210,98476,155858,7688,48552,42912,273857,51111,0,11106,77538,0,0,0,0,0,72265,57771,17827
56,44977,26368,4510,13325,110924,98223,155457,6900,43574,38512,245779,45871,0,10793,75350,0,0,0,0,0,68075,57522,17750
57,42263,24777,4238,12521,111139,98413,155758,6671,42128,37235,237626,44349,0,10822,75555,0,0,0,0,0,63581,57685,17801
58,38272,22437,3838,11338,110854,98161,155359,6108,38573,34093,217575,40607,0,10561,73736,0,0,0,0,0,60619,56922,17565
59,44190,25907,4431,13092,119290,105631,167182,7604,48022,42444,270869,50553,0,11505,80322,0,0,0,0,0,68468,56498,17434
60,49983,29303,5012,14808,119172,105527,167017,7609,48057,42474,271064,50590,0,11431,79809,0,0,0,0,0,72437,57097,17619
61,54244,31801,5440,16070,119159,105515,166997,8107,51202,45255,288806,53901,0,11680,81546,0,0,0,0,0,74686,57611,17778
62,56145,32915,5630,16633,119494,105811,167467,8439,53293,47103,300602,56102,0,11865,82838,0,0,0,0,0,75955,57877,17860
63,47138,27635,4727,13965,119206,105557,167064,7796,49238,43519,277728,51833,0,11407,79642,0,0,0,0,0,71638,56938,17570
64,54521,31964,5468,16152,119350,105684,167265,8535,53899,47638,304019,56740,0,11572,80795,0,0,0,0,0,77589,56106,17313
65,57600,33769,5776,17065,119633,105935,167663,9706,61295,54175,345736,64526,0,11932,83303,0,0,0,0,0,84377,56306,17375
66,59715,35008,5988,17691,119442,105766,167395,9512,60074,53096,338849,63241,0,11796,82359,0,0,0,0,0,85389,56532,17445
67,44773,26249,4490,13264,119208,105558,167067,7906,49931,44131,281638,52563,0,11245,78508,0,0,0,0,0,71135,55981,17275
68,44830,26282,4496,13281,119300,105640,167195,7826,49424,43683,278777,52029,0,11527,80479,0,0,0,0,0,70197,55231,17043
69,38449,22541,3856,11391,119014,105387,166795,6667,42105,37214,237492,44324,0,10891,76037,0,0,0,0,0,63165,53985,16659
70,33504,19642,3360,9926,118801,105198,166497,5758,36365,32141,205117,38282,0,10455,72994,0,0,0,0,0,57775,54178,16718
71,39000,22864,3911,11554,118734,105138,166402,5783,36522,32280,206003,38447,0,10612,74091,0,0,0,0,0,58894,55078,16996
72,53446,31333,5360,15834,119276,105618,167161,8241,52043,45998,293549,54786,0,11671,81483,0,0,0,0,0,76042,57335,17693
73,52447,30748,5260,15538,119599,105905,167615,8871,56021,49514,315986,58974,0,11998,83764,0,0,0,0,0,78676,57809,17839
74,49930,29272,5007,14792,119446,105769,167401,7916,49994,44187,281991,52629,0,11594,80949,0,0,0,0,0,72531,57779,17829
75,54094,31713,5425,16026,119710,106002,167770,8488,53605,47378,302360,56430,0,11937,83341,0,0,0,0,0,76962,58726,18122
76,59219,34718,5939,17544,119675,105972,167721,8822,55713,49242,314252,58650,0,11957,83481,0,0,0,0,0,80080,58007,17900
77,56680,33229,5684,16792,119754,106042,167832,9028,57013,50390,321581,60018,0,12010,83852,0,0,0,0,0,80036,57028,17598
78,53192,31184,5334,15758,119592,105899,167605,8667,54737,48379,308743,57622,0,11920,83220,0,0,0,0,0,77178,56865,17547
79,51977,30472,5212,15399,119409,105736,167349,8506,53716,47476,302984,56547,0,11733,81913,0,0,0,0,0,75196,56858,17545
80,54544,31977,5470,16159,119393,105722,167326,8153,51490,45509,290431,54204,0,11599,80981,0,0,0,0,0,74469,57172,17642
81,49541,29044,4968,14677,119337,105672,167247,8052,50850,44943,286818,53530,0,11537,80550,0,0,0,0,0,72601,56331,17383
82,43957,25770,4408,13022,119078,105443,166884,7234,45685,40379,257689,48093,0,11156,77887,0,0,0,0,0,67473,55854,17235
83,45653,26765,4578,13525,119134,105493,166963,7353,46440,41046,261948,48888,0,11235,78442,0,0,0,0,0,68999,55572,17148
84,40638,23825,4075,12039,118927,105310,166673,6611,41750,36901,235493,43951,0,10855,75786,0,0,0,0,0,64946,55010,16975
85,39407,23103,3952,11675,118935,105316,166684,6311,39860,35230,224830,41961,0,10729,74908,0,0,0,0,0,63309,54613,16852
