,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,90706,53178,9097,26873,117608,104141,164824,13441,84884,75024,478790,89359,0,14037,98004,0,0,0,0,0,116078,63007,19443
1,134529,78869,13492,39856,118924,105307,166669,17989,113606,100410,640793,119594,0,15910,111078,0,0,0,0,0,141987,67953,20969
2,185055,108491,18559,54825,118294,104749,165786,23611,149106,131786,841032,156965,0,17699,123567,0,0,0,0,0,185362,72895,22494
3,142998,83834,14341,42365,117709,104231,164965,18391,116141,102650,655090,122262,0,15684,109501,0,0,0,0,0,147262,69313,21389
4,133745,78410,13413,39624,117929,104426,165275,18150,114622,101307,646522,120663,0,15821,110459,0,0,0,0,0,144048,69676,21501
5,127888,74976,12826,37888,118323,104775,165826,18795,118694,104907,669494,124950,0,16139,112680,0,0,0,0,0,143607,69044,21306
6,110699,64899,11102,32796,118340,104790,165850,17519,110640,97788,624062,116471,0,15701,109618,0,0,0,0,0,130900,68452,21123
7,119317,69951,11966,35349,118895,105281,166628,18756,118447,104688,668099,124690,0,17023,118849,0,0,0,0,0,138061,70137,21643
8,150967,88506,15140,44726,119502,105819,167479,22698,143343,126693,808523,150898,0,18315,127870,0,0,0,0,0,163745,73827,22782
9,162210,95098,16268,48057,120323,106546,168629,24601,155362,137315,876315,163550,0,19323,134904,0,0,0,0,0,179538,74938,23125
10,136461,80002,13685,40428,119229,105577,167096,20288,128125,113242,722685,134878,0,17321,120928,0,0,0,0,0,155887,69341,21397
11,124286,72864,12464,36821,119200,105551,167056,19234,121467,107357,685131,127869,0,16798,117276,0,0,0,0,0,141726,70452,21740
12,140407,82316,14081,41597,120161,106403,168403,22956,144973,128133,817719,152614,0,18553,129529,0,0,0,0,0,164376,73225,22596
13,103292,60556,10359,30601,119579,105887,167586,17989,113607,100411,640800,119595,0,16739,116862,0,0,0,0,0,134757,66901,20644
14,83263,48814,8350,24667,117446,103998,164597,12703,80222,70904,452494,84451,0,13543,94554,0,0,0,0,0,105420,62623,19324
15,77468,45417,7769,22951,117161,103746,164198,12391,78250,69161,441371,82375,0,13281,92724,0,0,0,0,0,103254,62488,19283
16,99731,58469,10002,29546,118068,104548,165468,12942,81733,72239,461013,86041,0,13997,97723,0,0,0,0,0,112540,63824,19695
17,88732,52020,8899,26288,118581,105003,166188,16442,103835,91774,585683,109308,0,15316,106928,0,0,0,0,0,129216,63516,19600
18,80492,47189,8072,23847,118158,104628,165595,14781,93344,82501,526506,98264,0,15283,106704,0,0,0,0,0,118923,63642,19639
19,92793,54401,9306,27491,118049,104532,165442,15009,94788,83777,534649,99784,0,14720,102767,0,0,0,0,0,119137,65833,20315
20,93738,54955,9401,27771,118030,104516,165416,16219,102425,90527,577726,107823,0,15253,106490,0,0,0,0,0,124161,67361,20786
21,98224,57585,9851,29100,118582,105004,166189,17946,113332,100168,639250,119306,0,16315,113906,0,0,0,0,0,132509,70814,21852
22,103638,60759,10394,30704,118967,105345,166728,17873,112874,99763,636664,118823,0,17028,118881,0,0,0,0,0,130952,71830,22166
23,96046,56308,9632,28455,118216,104680,165677,15612,98595,87142,556122,103791,0,16151,112758,0,0,0,0,0,115488,66045,20380
24,52608,30842,5276,15586,116334,103013,163039,8603,54330,48019,306450,57194,0,11844,82693,0,0,0,0,0,76793,58960,18194
25,65327,38299,6551,19354,116364,103040,163081,9642,60894,53821,343475,64104,0,12138,84744,0,0,0,0,0,83959,62993,19438
26,95268,55852,9554,28224,117252,103826,164326,13415,84722,74881,477873,89187,0,13842,96641,0,0,0,0,0,110865,64864,20016
27,126731,74297,12710,37545,117943,104438,165293,17537,110747,97883,624670,116585,0,15696,109587,0,0,0,0,0,138590,68202,21046
28,186463,109317,18700,55242,120987,107133,169560,28064,177227,156641,999645,186568,0,20291,141667,0,0,0,0,0,199426,78492,24221
