,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,109692,64308,11001,32497,117737,104255,165004,15968,100844,89130,568812,106160,0,15114,105521,0,0,0,0,0,127216,66185,20424
1,132280,77551,13266,39190,118362,104809,165881,18163,114705,101381,646994,120751,0,16423,114660,0,0,0,0,0,143042,68352,21092
2,125257,73434,12562,37109,118554,104979,166150,17789,112343,99294,633670,118264,0,16006,111750,0,0,0,0,0,143543,67168,20727
3,119077,69810,11942,35278,118309,104763,165807,16917,106837,94427,602612,112468,0,15931,111222,0,0,0,0,0,133620,66381,20484
4,121375,71158,12172,35959,118521,104950,166104,16784,105997,93684,597873,111583,0,16049,112050,0,0,0,0,0,133307,67912,20956
5,101316,59398,10161,30016,117810,104321,165108,14391,90883,80326,512624,95673,0,14349,100180,0,0,0,0,0,115730,64829,20005
6,103470,60661,10377,30654,117857,104362,165173,14639,92452,81713,521476,97325,0,14668,102404,0,0,0,0,0,116255,65035,20069
7,99951,58597,10024,29611,117872,104375,165194,13567,85679,75727,483273,90195,0,15210,106187,0,0,0,0,0,113579,64849,20011
8,106105,62206,10641,31435,117748,104266,165021,15307,96667,85438,545248,101762,0,14854,103703,0,0,0,0,0,122932,67139,20718
9,138269,81062,13867,40964,119098,105461,166912,20418,128946,113968,727320,135743,0,17330,120990,0,0,0,0,0,153914,71158,21958
10,105477,61837,10578,31249,119087,105451,166897,16732,105665,93391,596003,111235,0,16232,113324,0,0,0,0,0,128656,67458,20816
11,100263,58780,10055,29704,118937,105318,166686,16646,105123,92912,592946,110664,0,16230,113310,0,0,0,0,0,123318,69036,21303
12,116983,68583,11732,34658,119245,105592,167119,18166,114720,101394,647077,120767,0,17327,120974,0,0,0,0,0,137503,69985,21596
13,99004,58042,9929,29331,117824,104333,165127,14577,92057,81364,519246,96909,0,14454,100914,0,0,0,0,0,117679,64873,20019
14,97718,57288,9800,28950,118761,105163,166441,14503,91592,80953,516624,96420,0,15191,106057,0,0,0,0,0,118407,66482,20515
15,81449,47751,8168,24130,118100,104577,165514,13269,83795,74062,472645,88212,0,14258,99547,0,0,0,0,0,107703,64257,19828
16,84226,49379,8447,24953,117784,104298,165071,13220,83488,73790,470912,87888,0,14225,99311,0,0,0,0,0,104132,67085,20701
