,Total electric load (kW),Total NG load (kW),Total fuel oil load (kW)
0,201322.67122917855,59861.610112138915,337875.944179745
1,192142.362778035,60931.67636526573,350813.96089903754
2,202285.7885633788,59452.61584695288,388561.490535726
3,205759.8634635897,64993.1109423355,398720.5059933334
4,214014.142781368,68172.91154568431,451174.7133710226
5,226413.75472538016,73050.62324698168,481917.55000341247
6,259457.6408475515,93636.94161642905,510490.4056221097
7,308583.6432032521,90386.71469901137,529971.0562512097
8,356969.6848655205,96248.54114704637,563053.0694613304
9,377474.98166156455,101940.69524883782,590686.7925955193
10,387588.64077674405,108675.72886930569,634531.1969142547
11,402452.6788616184,118273.49709374848,654701.2099076044
12,403093.813002067,106935.30361946269,660309.5778030655
13,375776.8935421813,83862.74697186776,473246.51685433177
14,377410.76831166097,50568.267661767124,305635.5517021448
15,375346.11816437484,57525.67049539606,249378.199135087
16,414818.50273408997,49658.18412016978,260934.41376510018
17,463710.2514447778,66140.12273666066,255249.45559566535
18,444706.2333410033,61424.15987086972,259413.61739972729
19,444268.2676712334,56992.61110821613,253740.79938618402
20,410369.081458417,64079.803949937996,302591.20064134
21,382393.50242254493,63930.922083774145,298199.6989474959
22,338503.5634566129,56776.641083740964,294598.32948746515
23,288151.49157739774,50284.77231391174,241116.66269226535
24,247280.4450684024,46161.83418445368,223546.72020271543
25,226854.9874284528,36328.99060666634,210560.99004062059
26,218765.2691730242,35134.163884151465,218967.99917590263
27,224367.64901430128,38372.476468638044,216679.88394964827
28,233657.20813620914,38652.47989004224,230426.3063152273
29,258507.29051845413,47198.49029709499,245895.67273364624
30,308062.526225314,59338.7206255025,246938.09719371
31,352246.718165651,53945.548766346685,241630.4480588867
32,347302.56914189237,53610.078104499305,247130.26758561045
33,350272.20904373075,57575.357168955314,267126.44256186555
34,373911.1975772809,50742.711420195395,286188.0682593069
35,375128.7334031161,56282.19081465302,304486.922449064
36,365399.5308640891,55955.817071552396,305188.0759524359
37,344127.75695089076,49938.00458994164,293293.82334789436
38,319201.4732141243,45800.48219376462,268570.8281281526
39,328771.95479976793,47433.50321288716,257922.77279052825
40,366580.5534494725,55667.56156297205,273369.49022445595
41,406472.885590836,66870.78357428873,256446.08351650304
42,444293.3199707356,57318.91954971932,259794.52742833228
43,442436.93130557815,53394.12768762895,259203.90866831556
44,403536.23972742946,65210.37855520935,337348.5786118413
45,356412.650898617,79996.44831650409,461620.32481029123
46,323984.2577545731,78494.88601124426,485085.238946263
47,279083.0683524088,78907.44716285591,495320.38104710745
48,244647.28250215502,79252.22971665247,495369.55085722107
49,232335.14093959067,77564.89841396848,495364.62117176893
50,232603.4351508585,78199.67826269123,521416.3782701454
51,241809.13693319602,79565.96377521422,538753.356017017
52,256184.12271830067,83629.46165124695,584933.2551378951
53,274503.4733881696,91386.70839397838,625958.5315606603
54,332028.47090891405,108098.94748127152,659307.9255354981
55,366775.07804846374,119362.13822151392,674258.968545789
56,386445.62149781757,120559.68451217863,723767.5442946798
57,402043.1526933575,117461.4821772308,795532.7193028729
58,411911.3093369862,117530.8177946724,837172.5786443407
59,406621.9984928912,128522.48542660619,865773.3162654361
60,418384.04311390256,137785.71512992855,908900.9214140641
61,384459.54741292127,114949.82992870484,866385.1670151998
62,371110.9706635892,102143.91329237088,791104.3387036178
63,382462.96168528544,99431.85685932802,772005.2121421918
64,426132.1434032199,116199.90623964943,829330.9840941394
65,485003.57744599204,139657.2735819577,831255.9254639938
66,520319.17903968086,134303.189837637,846399.4944029812
67,527928.6714040205,137426.36271061798,853106.2914800749
68,515274.51357097365,145307.64490992838,920949.1574032387
69,485390.81514289224,152325.29910227377,978563.0681331803
70,446753.47461844154,158367.23804967623,1036387.7716498257
71,394674.1054960462,154756.3573337852,1040225.8517789841
72,375592.26462406915,157856.17433749622,1039810.9077407365
73,370716.2760378663,159069.89615414827,1050926.7335939694
74,372681.2891719213,156682.27001222485,1105331.7880102212
75,384535.9527109979,159782.6362245779,1131301.8716987735
76,398082.1312169299,164185.07787426515,1178243.6501330105
