,Total electric load (kW),Total NG load (kW),Total fuel oil load (kW)
0,418471.1631872501,793157.2403108123,550116.4982606961
1,413168.26136801497,800005.2375891841,572177.0202381859
2,415628.6680985968,826192.2520870715,603203.7005964058
3,432324.5750751245,862129.6866658683,653094.2621526476
4,445108.0427176998,892209.8159550548,700787.0524056116
5,466575.403239034,956252.3324406033,744210.4027762089
6,560760.0000289055,1048254.8547766623,789939.0169671148
7,609550.3019997922,1087656.6458228657,801507.331916268
8,621909.7354277207,1101482.3815373033,835408.4849493828
9,626944.6273922676,1150097.9688795905,883595.1233686646
10,633415.1449634876,1171416.199287735,910883.2856139223
11,636714.4759766917,1187065.8811787162,920085.2434849788
12,639941.2455141126,1181216.7865067127,904654.7133189358
13,594777.2760971386,1065504.3598750655,818372.5086829369
14,531934.8472185436,891652.0031468051,705544.970914452
15,512235.2782486774,801787.5955937555,639141.1027990042
16,531749.4024257275,825623.9759540948,626494.6937779335
17,595647.2851987506,835543.3498769875,622197.0407446193
18,640931.6819944151,842610.5975749234,586962.2492125841
19,642985.6865931969,848436.6891747159,573494.2092751543
20,614019.5772322516,871813.2538437755,593374.78458672
21,585944.864352476,861889.8783975929,594264.803916098
22,548652.884668869,909060.2745639969,649476.997059929
23,493829.6809221781,927889.4182713245,662166.6163026274
24,475990.33036480757,924622.7375389172,644871.2080434979
25,446215.4593662682,906726.5828999574,651412.0267820861
26,434205.1460552214,887826.6868631385,651823.0300350134
27,440013.2869393914,889115.0022190838,685737.3898602116
28,456123.2692524835,934422.8816122774,730006.3755328893
29,468538.63180600177,966788.3084849251,759351.123973956
30,521925.7015504851,1038121.0713467369,788984.4566065599
31,592164.6321462998,1080945.00767119,798375.4070148929
32,601236.3752572775,1122014.0307962254,844368.866997982
33,638755.6882923485,1168919.544598305,893917.4732305395
34,652286.5956984233,1236282.3463741213,935880.6276017365
35,659647.6476873498,1269887.3548716176,964375.5156095362
36,662325.0648279774,1298149.6121820635,999500.286428194
37,662708.7009504795,1303242.663356339,999933.2856808362
38,660300.2380998967,1294449.6153746264,988485.9137488588
39,666316.4520092208,1292954.8432555073,992558.8977913194
40,723389.5075424878,1322206.8507747757,1010089.364408703
41,763982.2280050063,1341673.468651354,1006857.1740156736
42,808212.7217958834,1371539.152016267,973664.9012386987
43,797657.5515370539,1362992.3189267435,973000.5183035493
44,805336.6033492393,1406847.7450293484,1008404.6820830877
45,795830.5480296549,1475221.2177043203,1049426.440186898
46,768500.5681730813,1556831.9382008929,1130067.5580717844
47,736506.5374847371,1635425.3842809286,1167859.3088353802
48,719583.070459558,1648459.2824404037,1184643.9955309283
49,707559.4238706273,1670874.1669032727,1221063.5653539489
50,719050.0729682532,1740919.253847142,1280241.0186784791
51,739721.504083639,1781256.710528206,1336980.0928670173
52,752984.7001321717,1837067.3368412456,1402996.4489320188
53,775528.4287682301,1901240.7203367096,1447564.0324087592
54,838776.5431558294,1982180.3815746645,1476218.9861539558
55,879927.1704495612,1984513.2582779378,1464132.1982695928
56,870795.9722417078,1948149.3722792945,1458220.0767612383
57,888242.7946302097,1943037.4154045947,1467846.841947511
58,886932.4176983713,1904259.7331334238,1435945.1689426897
59,857944.0532461862,1856062.988717855,1400739.1861070648
60,863503.3196046979,1841697.5815269588,1392242.7791544911
61,825369.5147909281,1776422.4366308122,1347793.8541578087
62,775061.1627365116,1688926.5885560913,1284218.2615278075
63,748284.1224587323,1538946.7456785305,1197080.6094273562
64,794901.8170379322,1589539.1118495457,1201960.8399863127
65,852042.5521647037,1609125.2259202418,1208925.5081692452
66,884945.8221239704,1592083.7942128934,1161728.60176238
67,869675.9804707845,1589329.6507779963,1158662.5907359354
68,865718.7101972261,1610493.1339288044,1173379.5395185314
69,857307.5334675091,1651363.487646673,1202573.759100241
70,837955.2416500279,1732344.573901486,1282806.728375527
71,798690.953713119,1845945.8109399867,1343026.6023503353
72,805817.649758138,1887517.0280876628,1379048.0440287022
73,768383.4795928762,1845031.5828231068,1363360.3563965382
74,778271.9488402721,1881598.334353428,1399692.3759121783
75,802243.0212933002,1964347.476963188,1487871.0156211597
76,826271.3500174864,2098633.462357248,1606034.442377779
77,860454.5665133356,2233731.9737529997,1706894.4275967595
78,937081.5708124108,2363421.7541089985,1779310.0005369901
79,993054.3988512921,2435248.7365867295,1810398.8323641964
80,972738.2328192125,2349181.967859736,1756828.9728879782
81,990660.4291873316,2391990.7756088325,1827097.4384249568
82,1009297.190303733,2451017.956750361,1865639.340777482
83,991705.067854853,2375259.8928785557,1807326.0220007962
84,983179.8516756764,2282011.0309169237,1733278.5945820266
85,877314.7685916569,1949941.4466593666,1491403.3654112227
86,748029.1253612898,1598740.8744281896,1234705.24040144
87,668425.4339811448,1374006.7830225064,1075136.1895293768
88,689436.8655113354,1325974.8199569138,1027681.4609064959
89,728818.3342019451,1302396.054359623,996906.6576372939
90,749521.6339433392,1256199.6563006637,914090.1384803611
91,754839.046046201,1212938.3037949102,880278.8222159687
92,724104.1257494924,1211984.9685204893,865371.1308641105
93,704779.2331709684,1266712.250079957,894587.1928446394
94,671243.6354222064,1319912.417981413,948448.1666007244
95,635235.9919479459,1338826.2503192504,963996.4113717627
96,600735.965207873,1296106.2708363964,940599.43527005
97,575985.8566230562,1286254.9562564655,943551.6862951745
98,562827.4823598709,1281342.450500879,954888.5747293762
99,557300.7107290803,1274354.259155182,986517.7437419149
100,567977.2758510244,1310331.0493421226,1033043.6247030268
101,588051.0696629656,1370996.0485967586,1074615.3082184459
102,655194.3259824106,1463644.1935758973,1118998.8228368915
103,730816.653432806,1520339.0308166882,1132910.8891876517
104,743836.9256073548,1516309.1961167532,1148512.7216242885
105,763923.8702292882,1558214.2800164619,1194115.750398841
106,810699.6429205961,1657668.1803695522,1264997.5296960264
107,814609.1160118286,1679126.680211633,1282539.517796516
108,763177.2545540914,1571763.9201935264,1222339.9590466062
109,667044.8167130185,1315075.7634668974,1031108.0473272176
110,553041.134376578,1051973.1593060936,838876.8800075602
111,524681.6304176475,895818.426318491,733802.8263906657
112,558220.5386085202,879209.7532474274,697884.4047414319
113,590192.9852802446,874968.8977947596,667840.7266780642
114,620810.3575957402,871840.8008707464,613951.4342669359
115,601633.2218896167,844170.761075823,596045.2337640481
116,595696.9838294233,822906.7818998952,582153.7084411195
117,574775.3086939151,832882.3929019535,585062.00291458
118,519326.6706810531,856787.3724816119,623358.5526146375
119,480465.9038448072,871494.5238858539,624373.3684624861
120,422056.48873707606,798510.3065878686,570057.3404981606
121,486819.97330113157,388396.446942212,288489.88018099044
122,456287.13275121787,368074.7030266768,279642.20916859317
123,436712.6797527931,348278.78811934654,276212.8196356403
124,425699.742765931,342038.74029113335,267768.6056846487
125,416901.0860952585,332139.9967664711,264902.5137441623
126,442063.1871874957,339349.4129324174,262261.10065999615
127,467860.2250830958,357374.89958787797,252251.70886464615
128,503352.86517834215,331703.47185103246,235072.67292752807
