,Total electric load (kW),Total NG load (kW),Total fuel oil load (kW)
0,594276.1123706638,329631.38882455573,248688.97050979573
1,573884.4209751268,330810.8760270507,249593.013729376
2,568971.8486402225,338203.1222676804,261296.59676757522
3,596775.5107938276,346713.4511177206,272082.87760838144
4,641465.1530603663,375012.15975717676,282546.11515494424
5,696247.388742097,412825.06682237494,299720.8859148836
6,804874.7234602732,445936.0233018181,319745.4328210746
7,871845.5070965145,463970.053989233,333439.1685145331
8,932604.8966221082,490037.5318193495,346450.0163831568
9,952310.1894368083,506129.78578760236,354150.18599278136
10,982289.7664195575,527479.6194854338,355731.65094430745
11,1000391.0428602903,518892.40215030656,358089.6884445953
12,947594.1699510013,509104.224823769,348678.6540734201
13,875109.7614368013,455510.08966406074,313181.52567585086
14,767644.3952096335,394408.1576726988,274118.6152093754
15,721789.3990863089,354074.308020281,248037.0091076354
16,775844.202864066,371095.7531312111,250777.20311174216
17,834862.6323797114,376252.61074743216,255659.22328542086
18,848408.9668226629,371349.20049778733,259568.10748107344
19,869354.605518697,374985.36486396525,260225.70623891283
20,874512.2639654145,365099.47396626323,266475.50438085536
21,845253.0193648499,377781.0182629722,272617.5336390448
22,795635.2608484009,395557.38873266464,280336.3786186007
23,728926.9241186718,388558.33306268195,276032.6004374473
24,683897.0793305769,373305.2425586207,275751.4151326273
25,639428.6231986292,355687.5419021827,267951.1795348981
26,621059.3697210653,352565.8035183427,268910.6771338849
27,651492.2233929759,356695.38585311815,277914.0061697678
28,687161.5595535852,399008.63960245985,288075.76672604197
29,735298.3383803942,428875.3852408782,308011.2909751534
30,841025.4843553632,462526.60339924664,333820.83630293555
31,924434.1327899931,496814.78684138693,354082.9066335555
32,978880.7777916562,532630.5855093169,368429.97227762005
33,1023620.7994706037,553445.5271848541,378563.40506010706
34,1073361.0115720632,572559.0763453942,390429.2703158536
35,1087800.8380758732,599764.96823004,397423.35027160053
36,1091548.2873565662,607242.0779330776,409971.03200018796
37,1074131.038686196,586634.2354163771,405931.685219012
38,1073853.495522969,573334.9830942659,410089.7868166092
39,1078145.1546008382,601465.3085137437,411154.8479123137
40,1157779.6884346912,609694.6675669475,423916.3931898781
41,1230939.31803669,630900.7187192522,433833.5256097154
42,1291634.3638191556,623169.6452049788,442771.7424175034
43,1278809.8056052239,619163.3214627058,441765.8229813155
44,1287736.319884918,635061.1268299524,465663.1688557101
45,1256755.4659268477,657671.7880822142,466187.08676992543
46,1212789.742689819,679999.6819364158,471668.20122056536
47,1149665.0017326525,673112.6328568957,472634.5016497768
48,1123980.760995558,675919.5076917307,487660.28732674866
49,1108724.4026523607,668467.4128772276,489763.1448291674
50,1090646.6403676677,681040.0704761215,499416.02451764233
51,1120321.7236881433,686678.926413319,504433.0789458609
52,1145313.1652662705,707822.6669765976,511493.99436713295
53,1209949.0492473363,749647.6994181785,528849.2149882088
54,1260479.1843059573,774060.8258782235,549008.024959546
55,1308238.0824139735,790451.0391755803,555478.9474529258
56,1344108.6667534334,802373.0009711568,553878.8469279556
57,1345866.024350024,780696.9410225181,543760.0623150845
58,1340313.1821547418,778747.4743731273,536517.04954383
59,1345940.021118068,775250.1224585153,533601.1746256589
60,1335800.5426081456,761746.8141226218,540707.1896378347
61,1292815.1892521414,751621.477413591,520771.7111679121
62,1255563.092113582,718443.1844657678,506536.246841916
63,1198530.4813026947,677729.4998361534,465445.85590459825
64,1261006.130447279,692183.1158638587,476324.2782834912
65,1324734.6762438181,719881.4389366661,486187.50835289573
66,1334299.6471962924,695457.395851885,483653.26285874157
67,1328303.0550775437,663579.6750367595,478208.0607952311
68,1331758.4873980316,681667.2172591456,489830.55609486497
69,1307342.2369463386,712433.8042687578,494439.3019354117
70,1271861.5654451156,729750.2186725548,503853.4446366042
71,1228096.433536984,736633.383649606,520716.38799337903
72,1184724.0516530946,733008.3855016974,527092.2672753865
73,1173790.6817492372,741150.9744568093,532674.2830409585
74,1156544.5981188493,736978.4408693633,537030.3100746463
75,1189134.7914607534,751645.6830349155,555304.5984980862
76,1229126.7220029046,791644.9964567525,573095.3947730432
77,1283408.1315061995,847474.1303698756,604019.5482206371
78,1356571.786504964,882214.1714336157,629350.8927711508
79,1431837.851939946,906069.3236821378,645253.1229366203
80,1444044.0568194722,931413.712081007,649406.8582497254
81,1476224.204641949,925754.9279159333,645847.084839151
82,1476758.545952106,963475.4054873632,653427.3155874226
83,1466525.992285299,959366.1856122937,640126.5072008222
84,1415002.8595221506,902577.0072423093,613249.8919450179
85,1314321.921770856,775344.546919919,533953.3328084147
86,1195498.7040855268,668071.9930362003,458957.63331109943
87,1066942.2167267876,584823.4232734683,399981.1014943712
88,1080560.310603951,573963.079874805,388108.9537885677
89,1109883.3553919517,577131.4369137842,383671.7903441516
90,1094389.478129792,534886.5101944524,366666.58883206954
91,1082094.7397794342,507642.4234872655,360622.2443998848
92,1069269.841705294,495287.1074459306,369877.8197897284
93,1057697.014454126,520930.6560780302,371977.3453923165
94,1001739.0514672331,539282.328132131,371534.4193934474
95,939472.9223277455,525102.2465133298,368876.40377256664
96,910313.6538400648,522767.4525471478,377503.2494237517
97,878677.4824042218,512808.6716953827,376972.437817899
98,859407.6424890457,509530.9160614125,381631.7608528953
99,886235.0026089537,520301.76882360014,390094.6356174139
100,931485.9008071065,545706.5374124232,398726.59944139805
101,993266.4512828107,585104.447370293,417271.6856504813
102,1091843.0202413828,611905.7888294084,440952.5281502
103,1185390.4582463568,642422.1978144067,465244.09154785244
104,1265671.541204477,685891.9015056619,490485.6731867871
105,1289425.0394318684,709482.1700700906,500706.2051169608
106,1285863.2471752183,720968.9195145393,498895.4890763632
107,1305513.794744459,730047.1949032109,498677.0744976441
108,1239775.015154314,693709.7380316226,472582.0202365826
109,1060609.9223572835,579569.047804608,393680.359743417
110,903443.5989675674,468833.5004681413,326833.25398955354
111,787348.7831603653,396046.3587449712,270728.9456939725
112,801275.3652870521,387235.6221844794,258775.77742442046
113,834960.3413412899,398459.8168821805,251359.863067053
114,839634.7528809053,351982.5157867113,245534.30470696636
115,834845.010247857,329947.16812693706,242594.4636940478
116,797754.6913870083,319922.1167429768,242272.81639782153
117,747866.3994823861,327399.26328428637,232796.46930345282
118,692112.0622739843,338876.6321855401,232019.5235229911
119,620230.3144273718,317861.76242976217,222405.34688707595
120,578498.0044385259,304454.7992593263,221088.09992647337
121,531149.6616649549,279103.84959461226,208813.44035238217
122,490094.7319074261,264150.7185851832,205776.97227161634
123,495572.9569167487,173124.6219845818,133194.73691403455
124,490203.3507766458,173457.4238510144,129338.38900709017
125,503857.91469845147,177010.04026438738,126087.44332576885
126,538521.9416242684,177912.91187752888,128727.86541599633
127,574337.2468915032,184413.23402562633,125438.71206961971
128,632548.6741671,205634.23371510132,125852.99968271898
129,652719.6324662772,209549.80274790412,118678.51199231956
130,672584.8158539479,184001.3464701068,114291.62537556648
131,635613.4849768142,177693.85774024043,109811.25855977219
132,620373.6296298892,171145.13421631604,104658.72691884256
133,594886.1481342012,158727.40369848127,98662.8353452086
134,561093.4001460605,148182.28528801937,91435.00618141306
135,554473.2262290325,143712.1136439089,90516.51424335984
136,613660.4478224728,163618.43215822155,95267.622149851
137,709277.9363895307,211113.4238010908,112974.45375470586
138,734521.9455226391,215834.74803133236,121697.1369985783
139,736000.8386551809,218793.72368325063,133975.55736707637
140,750466.0116575188,287139.183098366,197377.6249846617
141,725792.5739188874,302870.917073035,204563.64886415927
142,694105.06560394,303948.10020063195,213947.35304485145
143,589590.1979727059,293681.19487030926,210649.29824849736
144,564781.4060718954,294473.34045058367,222616.39786271338
145,552838.6082242159,294556.6624363796,227580.1610474607
146,551876.3658523529,305967.17483577976,240730.37092612236
147,601332.585227045,337074.9312114064,265357.4190370401
148,693278.580925146,407899.5461311376,309898.1721707092
149,828277.9770581414,508578.3528511061,366702.70381431794
150,962155.634983835,578407.8963480784,416837.7641323045
151,1090912.8650263618,632429.6059059281,452433.3024336215
152,1225848.9424530922,708550.4269475667,485687.0495410828
153,1302767.1335839762,752318.1861983163,520205.3099407478
154,1357545.6852440105,777561.6293607774,539427.5328361458
155,1359885.345604199,785497.7623664413,539983.3795444475
156,1368473.2736903324,792280.9815387935,548571.634986719
157,1317640.8524309855,764464.7836001148,525345.7727480438
158,1245204.932931055,718067.8485088169,487881.0681276429
159,1178317.9700218982,663852.4016107072,453957.7259989224
160,1229235.3998243567,677279.5481019709,453574.1694802267
161,1333878.275580756,692649.6776609267,464053.5387327098
162,1353860.664341814,691020.6898579127,462140.3817770237
163,1344120.760586791,669773.0309652186,464275.7010826392
164,1293422.7450030027,641541.5857103367,461106.2888262683
165,1257539.28706036,651922.4158154895,452651.81854377117
166,1199845.3194688521,651016.47979588,453090.00045078504
167,1111409.8861074839,626499.1708480924,448949.36984550866
168,1070972.3162105235,630952.8064702846,460303.1417238731
169,1040454.1809645877,624491.1242615178,455131.34165964474
170,1032364.004122585,628359.92213104,464266.73042318434
171,1056692.754313449,636236.5655265519,472672.3795423215
172,1090701.938043945,666502.3174150904,480255.2765074491
173,1135703.7213895111,694507.1756958852,492719.09897114267
174,1214239.6109789999,720787.8714266892,511330.6478753898
175,1282275.0141512442,730792.6106518051,516647.0810756583
176,1318848.8451745727,748118.4332790674,521623.18240194855
177,1341774.3092459925,745074.6108075898,523227.4670136302
178,1346199.0033906088,766377.8559272785,526890.9661650517
179,1334183.6360704342,761835.5394478745,517263.76616224437
180,1273087.7519009071,721035.6255460099,496980.06320312235
181,1188616.9856038792,642286.5479600916,448721.86748048174
182,1063774.9796235103,560274.5741092896,396678.3810576727
183,972252.2151869818,514214.1060266805,355178.7039484586
184,1011451.1409569782,509549.49393673654,354550.4023403133
185,1066719.6341055415,520169.5990585177,353989.5854483231
186,1113444.3426174712,512866.58092417003,357873.0329570432
187,1061608.4763559643,488276.4475994425,357339.2407944045
188,1069519.8638758562,505814.37487807305,373070.65080223343
189,1083954.803426715,524542.2773157763,375151.6524677587
190,1048952.8190028106,554886.7877913199,383946.10102139524
191,968519.5032655385,532890.8373034156,375702.9115106471
192,907253.3598754633,517413.51418219984,378241.77435083553
193,867386.4897357343,501976.85464436916,366827.7133894223
194,843199.968434969,497080.6205001431,371127.1144908709
195,863035.0635008212,497585.30557355314,375618.0500367571
196,889304.0307917589,521473.01511417195,380838.0651407037
197,930034.5204024966,552644.6988056616,390998.6988191948
198,1029930.6266439423,578460.2203484139,408256.16539155855
199,1106514.7070630342,598551.8028761365,421793.51201207284
200,1130839.1994354827,625657.5923810318,436570.1506965254
201,1189531.6234358537,630858.6584403819,444587.9373118645
202,1219901.679329323,664579.2206008104,456487.0867135937
203,1207798.2956397652,669926.3732366796,450519.79858276044
204,1137461.5300200726,619408.9190251059,425115.4946736095
205,1003619.7254406041,545584.4253658277,369021.4363454277
206,875964.7900819108,470155.08180840756,319059.68325398833
207,795125.0819273556,418183.8578591515,280029.3512879555
208,806429.0504882669,403450.1861608754,261821.3554184276
209,843698.5118409044,406757.0865885783,262103.21176357815
210,882991.5913167614,389316.8846311165,264774.15273781674
211,886959.4841610236,384515.5144456137,269275.79241718346
212,881472.3969938629,379067.8040232608,286874.2916773274
213,921607.4772579345,432869.3154483632,312202.7079040815
214,939595.2128235031,479702.1026779858,336326.9119483465
215,904812.8669445722,487005.1253715943,342386.41417355946
216,907478.7471966965,506872.19948605803,365866.414010261
217,888842.6638948026,503356.3318037005,372456.8098444734
218,882962.4250425118,512160.7895045133,382790.2808371076
219,926509.7474589391,535112.6942693976,400009.13612376264
220,967516.210624751,573221.4643992506,410387.732332619
221,990139.368727944,579878.2033961444,417034.45185949677
222,1039396.6495744939,603267.2466646222,423423.15976243286
223,1104051.0419685987,594338.6034311049,422802.1798718026
224,1115751.5778842987,601412.9467546986,419433.7342155624
225,1087642.2192261221,582125.5022022072,405175.3401389702
226,1074354.2821717819,577520.5753156862,397179.68807494926
227,1044372.5999537979,573552.9823752979,385991.43610783044
228,1015035.2566746396,556117.399412063,375369.4202208536
229,962602.8710351004,522313.50185176585,353622.9351312679
230,890638.6245498672,464578.7127824527,326028.71682734403
231,847193.9738293582,428503.1398144954,299694.10240963515
232,565925.8489943118,221352.50115789057,127623.52626009885
233,638133.0215943917,251196.0404059183,143158.81013794668
234,721682.1113624548,243012.46335154827,151918.7568232243
235,716853.0960599674,252089.7451118441,163526.4755012331
236,723714.2723140712,273210.1952794458,187744.4311316593
237,705623.8062134543,291384.50827165,198633.19045158764
238,668933.3019395799,305050.55590811034,207907.32571195107
239,590906.649318576,292025.8091133175,202157.06156602388
240,551981.1555324292,281962.6312394773,207438.27887814914
241,515492.4775037835,268054.8545955198,205954.90565808947
242,495941.24743498827,262581.0009758836,206950.74481810554
243,500601.25283338217,257142.69793580234,207811.45818722143
244,517670.1961793541,280024.5120391877,210229.0658019995
245,551179.0233792743,295858.51219092455,221064.19051114196
246,633537.5189438417,307113.8582612845,217400.95033857308
247,701071.2743475579,309604.9211117501,222374.07456719817
248,702735.8974758874,323742.7388247127,221811.78986605775
249,670185.8544754805,320216.17776402074,212456.90267219892
250,732990.3920604392,252345.7112811776,152430.01065873052
251,728628.1689648173,241481.93208069747,149198.6011260291
252,706566.4389117049,221262.77779130716,138322.23624927137
253,630062.469423506,185783.01113311082,119065.7672777246
254,579203.4817662813,164099.73951000004,105524.87929723799
255,593556.8204373013,161434.62189580986,99041.96300169913
256,603209.8165441231,159991.34446860445,91355.1069365086
257,632315.7000805327,159080.30100573975,87520.07203227362
258,642239.1981858381,144676.0880983895,80850.66527160363
259,612339.1579799252,124926.88118739672,73831.37621865427
260,566923.9780955655,125763.45619951932,69332.41798662052
261,532180.347820329,115523.61279455075,63696.2708133231
262,455386.2855523981,113807.44879099797,60568.185133434825
263,390490.54668953386,92284.53960299196,54648.07134439325
264,337047.06998022087,89421.21724579307,53066.22548611101
265,301123.57595109096,73770.16569122617,52358.072638554586
266,280381.8855999823,74558.34105411581,56325.67692241868
267,290081.15912339,77331.12615188578,60837.1757897519
268,316155.44095048547,92083.9225433771,66621.03038469149
269,354756.73007189314,114247.84374610493,72214.55071394195
270,448243.7923845985,133136.24328428393,85849.30956034402
271,522771.4591904971,157397.35456849594,94647.81508745656
