,Total electric load (kW),Total NG load (kW),Total fuel oil load (kW)
0,484242.4563524289,88085.39322982327,111337.60297284187
1,446230.69824516913,86505.0432449422,111630.75662805304
2,442073.047779831,86982.19802205921,112543.73673284544
3,441131.9306866448,91658.48930517296,111488.13351629542
4,461749.231868355,94054.54261942458,117591.49414449869
5,495247.36189097655,103325.7268978501,127241.8319024612
6,533467.2749553537,113193.58273213892,130134.06779324707
7,594493.8757131239,128214.6435747408,134231.22595719114
8,678435.0707814421,139637.66387110567,152531.230953356
9,753345.3147258534,145359.89860207372,161835.88271817763
10,781308.7221451632,158807.708420002,167727.06402899697
11,779598.4656319327,161256.17618885776,172159.83490684885
12,750291.6352602569,146642.92126634732,166164.72752921787
13,694496.1558473961,119880.46130812872,148673.2705154767
14,638231.1812199046,98956.28750544837,126784.69292223784
15,597308.2163694641,94200.7752388267,107520.07269598891
16,625801.2850504998,104264.34937575983,109161.27919205879
17,705187.5754262389,111854.24428240917,108294.4173696778
18,734496.6687426001,111385.01951125654,105049.19905142166
19,721713.6570908272,119710.07675646692,109384.22505937793
20,739228.5401142458,123815.58661077375,116911.20679810857
21,710410.1020900665,125889.87922717503,150479.5927308208
22,696187.7991138275,123062.75654631769,154445.95661249393
23,613082.6328891114,187479.7593151308,228828.2210751797
24,571289.3749846857,183646.50709682493,230989.2198598387
25,546900.6660950844,182117.27265658978,243080.37304170628
26,560441.368890753,193269.33537721698,251375.03197186286
27,573444.4048870052,200415.43621836306,253485.54775095644
28,595152.6750567467,209448.447462612,268196.9262523557
29,631487.8544231185,224827.62700664296,284266.22548831854
30,720868.282066559,248179.9330579887,298084.885071433
31,803618.7898824877,264356.6030059975,309559.1328241926
32,824169.4520717365,265123.9563983611,334414.2332407937
33,834193.6655974322,264810.58660781395,349687.9569452075
34,824287.4797524912,270762.2777377162,346654.3295630172
35,819920.8366197986,285083.1357613306,339169.6086940498
36,785298.7771794484,263265.7378556115,321604.0250256102
37,757922.975610436,158214.23510389205,211258.69634826772
38,726662.438621558,145999.23166597026,189673.24545770272
39,697131.2742290637,139959.44000745463,179871.79519441433
40,757406.0543583462,159636.97127975375,184212.01293566142
41,832067.5873978573,158951.93024173277,184924.57886722003
42,866661.4282033576,152207.76649986187,184433.6958081231
43,826295.0581106722,138794.42754446535,188681.37138549576
44,818051.048314229,142507.9217378975,191194.9131583158
45,818170.4452464954,164289.69890501088,198580.62204369798
46,743916.630405113,140620.0530423545,201367.98624121153
47,658263.1312704578,139163.72103971525,194966.97541029856
48,616664.8881583575,133540.41452259934,186613.4788359411
49,585258.463247406,122538.31431318598,185387.0227556595
50,577989.1432107139,128197.73287432212,187703.51007865014
51,585461.9256662285,134750.38187835066,188163.70577442902
52,599121.1810913719,141009.77575531864,191985.16796145102
53,637799.3141306568,151426.3311109168,202587.50935934024
54,698080.5780658864,169636.26148638726,204126.8092277725
55,777865.194954154,184444.61322749176,211807.5256098582
56,817441.7057360938,170901.65821306384,223790.23757050198
57,810958.9858972789,169492.06577595606,230879.72382683321
