,Total electric load (kW),Total NG load (kW),Total fuel oil load (kW)
0,249612.38126592062,550055.0269621514,403130.1367462814
1,239714.5784589482,566685.377959636,422391.481677242
2,237206.33456010107,572229.4473076565,438872.26885759505
3,243680.31844532138,585243.5690800241,466568.5840682029
4,246273.47592754866,612994.0785554665,499114.99866260996
5,260563.5805919861,664471.4601407963,530527.3458954219
6,288742.20716243924,690301.0857225065,546024.3903997948
7,333784.8293268928,746988.0876341012,545110.5982486719
8,395627.7101852513,862806.4732480712,634490.8678460928
9,421606.0660486486,898451.1739606283,675631.3295880168
10,403054.6394799398,925334.2003715534,692491.3752479133
11,402085.7439554459,939182.6562026356,687235.5609416793
12,409476.14305213955,860988.1766263733,624041.869706748
13,370698.25868177967,749255.5660837288,551588.9703068538
14,364707.4856966334,643480.8834569423,478216.6892253581
15,356742.240757033,577663.0439268686,423040.4533241284
16,388057.0285841334,572433.2203234732,416303.0237208263
17,423961.1531048973,545387.3661133148,408688.9804109869
18,458970.50550156145,554330.7281391864,375824.68654474965
19,462622.7827652577,577875.0968029234,373937.74973787286
20,434073.1079402078,664363.9207490762,462063.92973301536
21,406981.43730475986,756031.0016231884,499735.7558978371
22,347024.93128369754,773869.4547912795,550248.2368856374
23,300395.9727230026,818066.0130882588,581889.5301585239
24,265308.17879362166,782061.0617064781,550826.6264766526
25,256719.14797552463,795541.9997868246,590793.9738659571
26,248285.7312503084,805624.2161608088,602924.274415528
27,272630.1668215845,881377.9691150932,687363.9415510888
28,276199.3728951549,957664.5211749314,768268.3284915115
29,274055.7611264647,995901.0426640445,778325.5864316726
30,347508.03051139385,1096505.7384135867,847563.1601465369
31,390356.6285202723,1101372.5026186716,837276.984037976
32,407262.64496493334,1159156.9788757602,890804.344986113
33,416453.4810120664,1180754.3133197178,924902.1951915084
34,419513.75802988256,1234299.5622978148,943025.7242832154
35,426314.32833016536,1253100.3834865605,955246.9150533042
36,418950.2302733183,1216532.279064113,922863.3040516463
37,402703.45403799,1072478.5131320297,844611.245750948
38,367345.4031064056,934599.8007508186,734668.8233002059
39,339459.5313112099,807458.0750330256,651878.4952503375
40,395618.91456072306,838689.0487086303,669536.9526964384
41,439327.2978868768,857319.4071404957,653928.1376802627
42,484188.4046239573,867636.7273356786,597680.0748994561
43,464580.0858921587,848952.234771923,594247.3155671897
44,436147.4702015359,866633.2250998728,594744.4270631992
45,416449.10420288926,894699.390199238,617392.1238527071
46,367246.59754084586,940844.1366773006,663503.0494225731
47,301247.5407448738,925123.8869745132,662067.3906156378
48,278229.71491121466,869187.2735711482,620900.1992464697
49,253326.3601495767,836283.6577798339,613251.9356546449
50,247255.4982826063,828727.0759485395,618415.3158153816
51,264833.6211887595,830285.1670607553,659409.4617380762
52,253496.31065447823,849100.8358066154,689262.420837314
53,265661.4467478528,907934.7318098062,715647.5939712693
54,318333.40178831393,945868.9430675064,719457.7444528447
55,370812.439118339,967285.8964478504,702339.18089485
56,378352.51852312183,957193.0799680987,721241.429025895
57,395947.56187682314,959692.1332052568,756610.011558817
58,376954.1028317715,984178.6344366823,765255.7228425989
59,384058.10973766167,944549.7857839477,719136.4278907602
60,402987.4109825584,962098.6457400075,733677.6619009156
61,394245.6084873775,914489.9440913727,703950.384340036
62,373691.09752392065,846191.5443568204,675061.3194980327
63,372817.6283425973,862694.1440499355,676164.8351016748
64,404685.3581557496,905794.2880476314,671849.4793690164
65,469233.05095927406,911026.4316941963,661616.153880789
66,517139.82256663847,866590.4859398607,605866.3374928489
67,492797.1939556921,827202.530342531,581798.9093217094
68,471089.2164572527,758856.5041275177,532105.7240038862
69,425564.97293358337,785030.8091774697,531178.8818314816
70,355831.8456745091,795868.9489813753,574526.9720825844
71,295742.697606187,779916.8641710948,542428.8195932215
72,266065.2008093073,689117.5527188492,483913.9487276007
73,242102.01300543232,626326.2029451693,462326.1455827722
74,236988.59876202646,622600.2415876222,459836.30825786915
75,242819.08695086374,615821.862985534,497037.6313148096
76,242820.97456692043,665216.6255501877,537883.6580657803
77,253271.93388577405,701257.3452397992,561883.4824351042
78,307404.95545871474,756460.718424757,595322.2340707611
79,352863.75818748696,779972.709432714,583662.5637967718
80,358450.23200633086,743801.1967383369,586413.9230316065
81,364769.4731908708,779368.6152409135,616988.1899417805
82,376264.6098675923,828722.4808175818,641639.4810763289
83,372316.78414160263,850072.9013821665,654120.8727201446
84,380827.87664021074,862228.143944282,645219.1426349529
85,368184.2429493118,778891.9213490756,604279.3232214847
86,363394.46839871205,716362.2476622124,555445.5711927708
87,348865.57526069,669231.5887698748,531473.6773623469
88,348774.67432603525,684325.7146173343,513186.5719995223
89,397266.8325511531,649586.9236726034,462716.4549145686
90,434347.2236360959,583316.4435966382,410736.89550284826
91,424533.23503638955,598926.2971649783,390859.42587556393
92,436358.00095690344,633474.9381237682,411802.7715430674
93,407799.7605073723,666370.0765138238,441453.9206467983
94,367098.733019083,729644.2784080848,501641.2412791952
95,313169.5075457646,741367.7532277592,518344.49873263354
96,279509.0138947448,730232.8153601417,505891.6504716356
97,253161.00473091903,789977.1931206894,581583.3193273429
98,250532.09492647008,845688.3881453734,617213.5504550694
99,273103.76834991993,901998.8047225191,710478.3071160543
100,276389.1398737349,982184.6709569382,783831.3337324873
101,292685.44378545234,1055744.3279126848,826200.7784732338
102,337601.6859581459,1146453.3951869872,875583.0988030881
103,388562.6552721804,1233301.383161525,901263.1140230906
104,428275.0826504429,1231497.5831212602,940210.6117261269
105,429768.9051727902,1292419.1112643178,992037.220190584
106,441743.77901912294,1365102.1660151684,1030199.8568725026
107,438407.41723563854,1384189.5502930759,1055097.3223153544
108,438433.2260826016,1370062.094962055,1073192.5623146596
109,413031.05968647124,1264196.7289615718,958400.8238224782
110,371961.3492172039,1073394.005520635,845280.2192331043
111,393412.1772704187,999464.1322574886,803350.739227191
112,430903.0976358857,1026573.5799983544,805516.6857582782
113,462625.21799283737,1057942.8868581671,788868.3619210485
114,487496.86088609666,1067524.4850156307,743167.1958865173
115,489240.78464194015,1064385.93623919,744615.5464274992
116,481618.1019723301,1087654.145687792,771773.3376754276
117,479024.2368305075,1139185.660158909,792360.5350873166
118,417041.6468972498,1178901.8194475563,842107.0493535725
119,363246.3777951809,1174592.8664882693,835417.1612937524
120,318567.98347695544,1124919.985542285,801175.3821319479
121,287790.07232175913,1078361.7555177186,796927.9904288994
122,282681.3282020114,1074498.9555555575,807391.0943559576
123,296471.4192139456,1089199.5024456535,848214.4647050486
124,296055.75705746125,1125347.6580061254,893198.6439927664
125,303999.2267201942,1168596.134112088,925262.0557472344
126,353500.24047257885,1240263.0884510737,954718.98336448
127,404638.4812321924,1260000.2305909886,939358.8258685368
128,426231.84300151473,1286644.5031030893,964152.893512392
129,434741.5391715163,1300424.3135381069,1006364.4080425331
130,450026.92698192986,1328341.1175410585,1020737.381592581
131,433256.38737450936,1328829.238331284,1013861.6006481611
132,452255.07324205415,1356054.7990727448,1038041.1441035337
133,444512.0682624248,1277550.0059765808,998130.656577329
134,402494.87490593095,1160774.5142731033,902557.379356939
135,383458.1598634046,1036714.9801117439,831503.9674002249
136,403430.0931882089,1072281.2596804383,844091.5356665
137,485722.87597521604,1096685.4884690968,838772.0017167266
138,518888.4084638917,1108836.9206876939,800220.4138249188
139,493908.93633963965,1124075.2472915712,802137.1384632348
140,477994.46517544653,1170553.0122639516,827260.3436820064
141,471283.9626047342,1217431.1776761564,860006.8475084009
142,424972.4484960532,1274208.9029322055,918962.4260196825
143,363557.4475937801,1291560.548870561,933731.8886007122
144,336809.18469856796,1275658.1850360269,904732.8630750268
145,315468.80908864504,1246482.1861829346,926505.1891732417
146,318311.3586294826,1288606.9524796018,961059.0941825066
147,328494.9251224877,1325390.9223881871,1025495.6295918582
148,337028.7368626072,1395941.9461567532,1091768.7127672234
149,350659.1194822934,1463719.6985645883,1139556.6484284955
150,372487.78001481696,1530241.0771864036,1169763.6603523775
151,447092.89556594414,1614169.3692000294,1191597.781102034
152,480797.0168900126,1627813.0033335676,1214721.4434908875
153,508085.12301427557,1694444.8475824643,1244745.7173269128
154,529472.8564309458,1743404.7499822238,1268297.0750212725
155,526944.3425834996,1757293.6777355229,1257887.1136832405
156,533256.7560969875,1769237.636507717,1279829.1746673146
157,518329.6557542141,1743317.420978262,1253057.4615652282
158,500205.79830374673,1690594.65073879,1241114.1949002845
159,496601.3940230095,1681466.5460125145,1224641.8477397796
160,555175.7604399194,1695758.6487722108,1222196.374566198
161,600688.3750318752,1715711.9950802592,1227098.3091995334
162,611265.2396626577,1731498.036698875,1207180.9910713753
163,598033.0219469754,1703274.0800089191,1203444.791653723
164,568274.5637337974,1702363.4209312398,1199895.339894323
165,551221.4805494567,1700425.363067646,1204138.8987053789
166,498985.3204685403,1706507.9393175193,1229453.0621625162
167,430228.45470372686,1683705.3260633475,1209280.1585976083
168,391250.51905509306,1608201.319161481,1155625.721618978
169,364619.9544898594,1568182.1588255928,1152852.0428803058
170,359829.66968472424,1547624.9331099929,1153465.3549609696
171,371050.53664288204,1563935.6923500304,1202755.406973973
172,376134.7374082931,1629202.939668109,1271952.6070359424
173,389631.6887505711,1707974.474571448,1316832.0011361786
174,425582.4548596233,1867630.6734702156,1412335.5025563452
175,492916.0099675551,2060314.7076206843,1518159.1748754524
176,547203.8954676072,2093458.893440527,1557409.5017912937
177,602847.1413540741,2301075.4624683987,1693057.6061663905
178,629790.5382154628,2372073.10147772,1743881.7384095574
179,620417.5540580482,2379887.651520138,1746549.305586999
180,610010.0134325789,2251467.188797682,1636444.0496885239
181,549174.6509260489,1971315.0111941884,1431513.594320522
182,505485.59406505135,1775982.1085497164,1300911.6969214412
183,473104.94995276665,1599216.9865375008,1185907.094581107
184,515345.7174300579,1546345.844920626,1138072.4999487083
185,551859.084361802,1511414.860681148,1131250.8004425298
186,583354.4949441273,1504016.4499913938,1091322.4111151753
187,563828.2996084507,1471625.5478420618,1069094.867370604
188,556489.7045490375,1542686.6169267285,1130516.6515535284
189,538389.269085955,1604115.6987211255,1166050.7884835023
190,480761.76453698246,1625782.030727144,1193656.9284735147
191,424632.0847220974,1648538.865589679,1218818.0077117647
192,403693.6658263475,1668392.5307261369,1220124.4867226486
193,382786.9732725401,1679354.5322276223,1257425.096501245
194,383124.68990659836,1720964.0508214734,1288718.6991649636
195,397226.06813073694,1770419.0813134534,1358970.0645842343
196,399709.17679479695,1839383.8450496045,1437821.6919773717
197,415074.0310765537,1970801.7611761536,1524409.0993497465
198,489355.78441375104,2189858.402891706,1651504.4118913906
199,563198.4323047,2285948.638477203,1689744.6881076451
200,567245.5039797085,2272243.2899819673,1690483.5903207944
201,599391.9458393371,2282914.621094924,1749065.7464238955
202,599910.7257845389,2409137.4060840406,1813283.932184413
203,611318.7764616838,2420603.9696007324,1817134.2405293747
204,592767.4357092081,2286380.974459198,1715853.2628812087
205,533872.0048939299,2025162.8128960493,1544256.2678111955
206,465515.35667257756,1761211.9822908724,1339310.5962037444
207,445616.1529304643,1554658.9281587324,1215923.5629033884
208,390729.2127167895,878781.1939153107,728676.0473287455
209,472208.307379047,1027324.7888873796,803287.9173916539
210,515033.6603467889,1118815.5195086398,824575.3694497588
211,519885.2300864074,1196926.0787521375,886392.8916463335
212,531068.2670884375,1347474.0358851731,988741.0716334935
213,554114.1143603756,1503813.4501277595,1112152.778474172
214,509767.9251708845,1658122.106229552,1227845.6150648496
215,428075.0423128758,1701510.3806478123,1255031.885768541
216,393108.2177527145,1662214.3400298236,1227882.025605658
217,378962.24552172906,1692997.0325896388,1266588.9697293637
218,379982.62839309114,1707619.7022225691,1279564.5970118612
219,384519.5966949867,1728390.2759691954,1326092.9339040667
220,386630.6103889101,1785517.3485144975,1399813.9331679938
221,400107.737726469,1853490.2771736505,1446939.635525304
222,485846.3064506826,2019519.6577947421,1533158.0403991276
223,530708.7776741091,2118893.3996582753,1585912.3017272612
224,557260.3840983072,2197328.276917996,1638761.4438502472
225,567057.2083054181,2213369.5715139243,1687162.3238966318
226,581552.9607091979,2275443.304475342,1709762.4118204634
227,554747.2857979662,2296281.464438519,1725361.400613417
228,556802.5072406991,2103158.8282710933,1612876.213348648
229,488517.8988691312,1789915.1550464833,1390577.9257434944
230,437130.1469832276,1494708.0098552546,1173552.655956869
231,405580.63706576667,1293679.4681635078,1023566.4015807952
232,403052.84786631947,1063304.6796550541,835779.6512074152
233,443940.83084650064,1023521.0071729901,802558.6196529837
234,486246.93738432234,1022576.0100565563,739986.7366765159
235,471975.13677537994,1019992.4657945142,733509.1460606647
236,458196.1820769215,1026496.9261283275,738538.5895421121
237,431301.78836110665,1045493.4197987625,734145.7121535018
238,396552.5313577573,1069143.5546194275,777905.8632023379
239,332772.0489724413,1093522.3384672683,789164.7193233477
240,300435.889070278,943205.0982503374,688421.3506691512
241,280906.35818262957,913116.5683860102,685208.2024209381
242,278133.2505235502,906571.677053829,689282.6118016663
243,285174.05822251516,885946.8342356773,714686.072394636
244,278787.7128988901,887432.0234154788,715902.0308852204
245,277610.175589718,870973.1568017632,712974.4541174928
246,317845.0823251726,907406.8234046331,708125.0707254743
247,336422.2979462768,908907.4500888864,682084.3556451078
248,364696.38456406805,853068.4926572754,651244.6591852804
249,380571.65940896544,840901.4468726068,661894.3223292487
250,379259.553121229,857112.8363629992,667581.9969832898
251,372690.34620877734,842261.4207513423,650828.622013351
252,382803.5953559599,814458.5269010243,640886.9086658348
253,335347.671161582,681364.3276106835,537787.2628148946
254,284458.1823243837,527234.0514171585,429660.6303256919
255,292419.3284074005,432000.71727351093,363141.0154295917
256,314669.60362454446,420428.9268865805,320539.1327494904
257,375489.35155578086,453622.7672410512,317584.4989407102
258,424038.35952741734,435130.54354828934,288914.25168923964
259,422912.67785963876,470742.55719372624,313002.37685310084
260,426978.61350942566,569777.9640435652,372556.7415889735
261,404839.9679275475,617225.5915406054,410852.4755685988
262,344573.0797186185,673829.9358210356,470343.65109281935
263,275043.95080704754,683228.5816472389,481255.1657019657
264,247683.16627500858,630716.3985431313,452729.2749694202
265,239260.02427243255,612221.6773802072,462755.6236471924
266,238527.12620145475,622075.1301994185,470862.0740289219
267,244299.31098784463,615782.320430851,498623.17759187415
268,243248.17450334976,635600.7208529148,532404.6716897582
269,253086.74313803588,668846.6233237697,545291.8667837405
270,304947.3258030504,720094.6242396354,567361.9186554725
271,333183.6165816396,721127.3115342795,533896.837363147
272,340955.3290442023,639692.8609817127,499785.09002508654
273,337279.52758981235,648146.9659270335,528401.1146863818
274,333970.31111376756,673480.4312478903,521496.96892506833
275,326164.39376790466,646503.8996270845,515368.3402669294
276,319590.69526213844,655860.4876645228,504205.11608318967
277,332984.11225107807,596509.8679069557,465709.3414768425
278,293338.115652344,520929.2878377275,418479.17814600386
279,291338.64366556145,484561.5901647724,378760.6583642204
280,320092.59714502696,268824.2016777934,180234.48434645057
281,376130.4951288043,293812.0131777026,195725.152009013
282,403921.51383077673,303272.9244524213,191325.14914071248
283,390412.3023570209,326999.2041801493,206885.91858605115
284,370957.3712678983,330760.7666739634,194575.31437389253
285,338288.8221398553,348885.6588845241,204515.11420104193
286,295649.9167337361,376057.399776196,244337.59925114005
287,228635.91078602543,366443.8217838757,257519.5605965837
288,206395.17271692547,358053.4831479226,222934.05140702642
289,177399.26344472618,332497.9456138717,233670.05764902348
290,170760.3051779504,314411.12597685354,229531.00117677005
291,174760.28797517507,294403.31490849884,241026.47799240795
292,175167.44629801513,314347.22084840806,264208.9288435536
293,183136.68807541626,330516.59569997044,272461.9647362007
294,246731.46438703462,366259.7886813994,283604.2151067017
295,291206.69317017775,439037.9980162846,302158.7164730001
296,303461.81520528573,475637.03180707025,369824.7616387881
297,337688.4344754325,558224.1193292032,444570.69388840615
298,358154.46554781165,636707.7169998394,489524.5168604218
299,343283.7029937643,677086.2296818817,524458.0500157176
300,347485.2028994308,693956.1682749667,550210.6722006518
301,340276.7404457318,662651.8583419669,525924.6888374753
302,298650.2644247909,574572.4290536228,458988.10104874545
303,315239.5042886074,543468.002724862,434962.669786129
304,377206.294006217,562448.6115104996,422205.00797160965
305,436442.998259101,591990.6264795949,439928.2517546029
306,450701.0250740262,643276.7012253297,445318.28006279416
307,450969.08510043274,692655.6320419045,493756.0045082554
308,454765.82737597526,804587.3601352922,568760.478084762
309,433760.6158914831,895367.467004004,609140.6598247843
310,404173.0062581192,993831.9065973912,702002.1945321693
311,340065.4686041673,1039435.6598110026,729053.6129507818
312,304465.181960159,1021501.9155267386,716706.1844556443
313,280962.8369261267,1008289.1631281058,746839.6043571518
314,280734.37415162905,1060193.7795720908,776947.4229620494
315,296983.7887514214,1057413.3130080604,839265.8706283914
316,299834.01544153324,1133973.0064861022,890548.1879508321
317,309572.49250477325,1180528.5598501374,931246.1039992637
318,335957.5844229597,1254811.563760205,978632.2893903501
319,390709.44862410176,1339131.216584215,1011945.3761541545
320,443852.7510036948,1433981.392237364,1089734.4448312824
321,481252.71126419207,1523858.833144537,1144227.2362520364
322,490362.60551226995,1594468.0220908376,1181987.0745846187
323,499425.80061680765,1616186.3233224384,1175582.506463339
324,501760.4388442621,1590778.6620273665,1150769.9388546715
325,475691.3583401531,1439974.724781126,1033780.4316765706
326,418298.79816306994,1237254.5248702194,903429.5572407104
327,390565.454714244,1088669.296088187,798046.9314603187
328,429271.6228836685,1033433.1855429211,765468.9244893137
329,484100.4045416782,1062360.76577521,768591.5208472351
330,523239.3144563313,1111804.110148369,771337.2625170713
331,522594.0463096872,1104244.4498590576,789410.1347147975
332,483237.00850901357,1131352.8889331457,811710.8194586799
333,471787.5444157099,1147249.6350730772,825619.8919989121
334,422671.9553001582,1178196.2042216354,858685.8176404051
335,360747.69257779967,1188376.7799688042,856888.4838598756
336,319427.4851058611,1128933.2057552391,823301.9842103573
337,292596.33607432444,1092407.435054601,821147.8495993689
338,287748.478248267,1088623.5342528683,824891.1158242128
339,298823.6480168515,1099382.9435427468,869486.0468905322
340,304051.29397865984,1161724.2074576535,921202.3211039591
341,316320.9036425081,1224887.100608598,956855.2743635564
342,341142.06665570603,1274415.2967845723,996425.128273082
343,391207.1338920954,1351979.5411315535,1022862.5884567808
344,444708.38582412613,1427016.6394712937,1074577.9095181755
345,472459.86158494424,1498755.0128628826,1115920.5857469474
346,486357.67350897094,1521560.1799864622,1154075.18309682
347,500078.9085710277,1542985.4499497947,1128961.0409525342
348,490897.4591256281,1481489.1028716716,1088772.746969129
349,441653.4135739772,1296323.84853622,941080.2920203676
350,385485.55388430436,1079273.2936486143,809572.211585783
351,376407.9387351492,928886.6377763741,692764.9437538096
352,426327.500465004,793084.0117814451,591540.100929691
353,479796.5880178929,791191.0853911245,579316.4122098746
354,488310.40889461193,788499.7988800391,551131.759338777
355,480596.1837158694,783824.7298787235,554159.0213095504
356,448830.0148190513,899745.7717317796,651385.252329926
357,432517.1453108649,998728.0891724811,703561.0904284272
358,406287.92086055304,1051763.8670368223,766283.0715326836
359,335767.0775885484,1106446.4813977852,818201.3073411123
360,317923.6503707722,1107943.7540330172,818314.124174982
361,300137.93893631327,1122247.1636503462,856291.326123459
362,300442.9059462103,1170400.3185648804,891178.52733476
363,315578.8983030388,1202514.7245552328,955175.3581459869
